No,管轄コード,管轄名,行政区コード,行政区名,大字コード,大字名,小字コード,小字名,年齢,男,女,計
259,0,,,,3,大字東三蒲,,,71,3,5,8
260,0,,,,3,大字東三蒲,,,72,5,10,15
261,0,,,,3,大字東三蒲,,,73,11,5,16
262,0,,,,3,大字東三蒲,,,74,12,10,22
263,0,,,,3,大字東三蒲,,,75,6,9,15
264,0,,,,3,大字東三蒲,,,76,9,9,18
265,0,,,,3,大字東三蒲,,,77,3,4,7
266,0,,,,3,大字東三蒲,,,78,5,2,7
267,0,,,,3,大字東三蒲,,,79,4,6,10
268,0,,,,3,大字東三蒲,,,80,5,7,12
269,0,,,,3,大字東三蒲,,,81,1,2,3
270,0,,,,3,大字東三蒲,,,82,6,5,11
271,0,,,,3,大字東三蒲,,,83,7,3,10
272,0,,,,3,大字東三蒲,,,84,2,2,4
273,0,,,,3,大字東三蒲,,,85,1,5,6
274,0,,,,3,大字東三蒲,,,86,5,8,13
275,0,,,,3,大字東三蒲,,,87,3,0,3
276,0,,,,3,大字東三蒲,,,88,3,5,8
277,0,,,,3,大字東三蒲,,,89,1,3,4
278,0,,,,3,大字東三蒲,,,90,1,2,3
279,0,,,,3,大字東三蒲,,,91,2,4,6
280,0,,,,3,大字東三蒲,,,92,2,4,6
281,0,,,,3,大字東三蒲,,,93,4,3,7
282,0,,,,3,大字東三蒲,,,94,1,4,5
283,0,,,,3,大字東三蒲,,,95,0,5,5
284,0,,,,3,大字東三蒲,,,96,2,1,3
285,0,,,,3,大字東三蒲,,,97,1,1,2
286,0,,,,3,大字東三蒲,,,98,0,3,3
287,0,,,,3,大字東三蒲,,,100,0,2,2
288,0,,,,4,大字西三蒲,,,0,2,0,2
289,0,,,,4,大字西三蒲,,,1,1,0,1
290,0,,,,4,大字西三蒲,,,3,2,0,2
291,0,,,,4,大字西三蒲,,,4,1,1,2
292,0,,,,4,大字西三蒲,,,5,2,0,2
293,0,,,,4,大字西三蒲,,,6,2,1,3
294,0,,,,4,大字西三蒲,,,7,1,1,2
295,0,,,,4,大字西三蒲,,,8,0,1,1
296,0,,,,4,大字西三蒲,,,9,2,1,3
297,0,,,,4,大字西三蒲,,,10,2,1,3
298,0,,,,4,大字西三蒲,,,11,0,3,3
299,0,,,,4,大字西三蒲,,,12,0,1,1
300,0,,,,4,大字西三蒲,,,13,1,3,4
301,0,,,,4,大字西三蒲,,,14,1,3,4
302,0,,,,4,大字西三蒲,,,15,5,0,5
303,0,,,,4,大字西三蒲,,,16,0,2,2
304,0,,,,4,大字西三蒲,,,17,3,0,3
305,0,,,,4,大字西三蒲,,,21,1,0,1
306,0,,,,4,大字西三蒲,,,22,0,1,1
307,0,,,,4,大字西三蒲,,,23,1,2,3
308,0,,,,4,大字西三蒲,,,24,2,4,6
309,0,,,,4,大字西三蒲,,,25,1,0,1
310,0,,,,4,大字西三蒲,,,26,2,0,2
311,0,,,,4,大字西三蒲,,,27,0,1,1
312,0,,,,4,大字西三蒲,,,28,1,0,1
313,0,,,,4,大字西三蒲,,,29,2,0,2
314,0,,,,4,大字西三蒲,,,30,0,1,1
315,0,,,,4,大字西三蒲,,,31,1,1,2
316,0,,,,4,大字西三蒲,,,32,1,0,1
317,0,,,,4,大字西三蒲,,,33,1,3,4
318,0,,,,4,大字西三蒲,,,34,1,0,1
319,0,,,,4,大字西三蒲,,,37,2,1,3
320,0,,,,4,大字西三蒲,,,38,0,2,2
321,0,,,,4,大字西三蒲,,,39,2,2,4
322,0,,,,4,大字西三蒲,,,40,1,4,5
323,0,,,,4,大字西三蒲,,,41,2,1,3
324,0,,,,4,大字西三蒲,,,42,1,3,4
325,0,,,,4,大字西三蒲,,,43,0,2,2
326,0,,,,4,大字西三蒲,,,44,3,3,6
327,0,,,,4,大字西三蒲,,,45,3,1,4
328,0,,,,4,大字西三蒲,,,46,5,2,7
329,0,,,,4,大字西三蒲,,,47,2,2,4
330,0,,,,4,大字西三蒲,,,48,1,2,3
331,0,,,,4,大字西三蒲,,,49,2,2,4
332,0,,,,4,大字西三蒲,,,50,1,1,2
333,0,,,,4,大字西三蒲,,,51,0,4,4
334,0,,,,4,大字西三蒲,,,52,1,4,5
335,0,,,,4,大字西三蒲,,,53,3,1,4
336,0,,,,4,大字西三蒲,,,54,2,3,5
337,0,,,,4,大字西三蒲,,,55,0,4,4
338,0,,,,4,大字西三蒲,,,56,1,1,2
339,0,,,,4,大字西三蒲,,,57,1,3,4
340,0,,,,4,大字西三蒲,,,58,2,3,5
341,0,,,,4,大字西三蒲,,,59,2,0,2
342,0,,,,4,大字西三蒲,,,60,2,2,4
343,0,,,,4,大字西三蒲,,,61,3,3,6
344,0,,,,4,大字西三蒲,,,62,0,3,3
345,0,,,,4,大字西三蒲,,,63,5,2,7
346,0,,,,4,大字西三蒲,,,64,4,4,8
347,0,,,,4,大字西三蒲,,,65,6,0,6
348,0,,,,4,大字西三蒲,,,66,0,2,2
349,0,,,,4,大字西三蒲,,,67,2,2,4
350,0,,,,4,大字西三蒲,,,68,3,4,7
351,0,,,,4,大字西三蒲,,,69,2,4,6
352,0,,,,4,大字西三蒲,,,70,1,3,4
353,0,,,,4,大字西三蒲,,,71,3,6,9
354,0,,,,4,大字西三蒲,,,72,3,3,6
355,0,,,,4,大字西三蒲,,,73,9,4,13
356,0,,,,4,大字西三蒲,,,74,4,7,11
357,0,,,,4,大字西三蒲,,,75,4,5,9
358,0,,,,4,大字西三蒲,,,76,7,2,9
359,0,,,,4,大字西三蒲,,,77,4,4,8
360,0,,,,4,大字西三蒲,,,78,6,1,7
361,0,,,,4,大字西三蒲,,,79,4,2,6
362,0,,,,4,大字西三蒲,,,80,2,4,6
363,0,,,,4,大字西三蒲,,,81,0,3,3
364,0,,,,4,大字西三蒲,,,82,1,7,8
365,0,,,,4,大字西三蒲,,,83,6,4,10
366,0,,,,4,大字西三蒲,,,84,3,3,6
367,0,,,,4,大字西三蒲,,,85,2,1,3
368,0,,,,4,大字西三蒲,,,86,2,8,10
369,0,,,,4,大字西三蒲,,,87,0,2,2
370,0,,,,4,大字西三蒲,,,88,0,1,1
371,0,,,,4,大字西三蒲,,,89,1,0,1
372,0,,,,4,大字西三蒲,,,90,3,1,4
373,0,,,,4,大字西三蒲,,,91,2,2,4
374,0,,,,4,大字西三蒲,,,92,0,4,4
375,0,,,,4,大字西三蒲,,,93,1,5,6
376,0,,,,4,大字西三蒲,,,94,0,3,3
377,0,,,,4,大字西三蒲,,,95,1,2,3
378,0,,,,4,大字西三蒲,,,96,0,1,1
379,0,,,,4,大字西三蒲,,,99,0,2,2
380,0,,,,4,大字西三蒲,,,101,0,3,3
381,0,,,,4,大字西三蒲,,,102,2,0,2
382,0,,,,5,大字東屋代,,,1,0,1,1
383,0,,,,5,大字東屋代,,,4,1,2,3
384,0,,,,5,大字東屋代,,,5,0,2,2
385,0,,,,5,大字東屋代,,,6,1,1,2
386,0,,,,5,大字東屋代,,,7,1,0,1
387,0,,,,5,大字東屋代,,,10,2,0,2
388,0,,,,5,大字東屋代,,,12,1,0,1
389,0,,,,5,大字東屋代,,,13,0,1,1
390,0,,,,5,大字東屋代,,,14,0,1,1
391,0,,,,5,大字東屋代,,,16,1,1,2
392,0,,,,5,大字東屋代,,,17,1,1,2
393,0,,,,5,大字東屋代,,,18,1,1,2
394,0,,,,5,大字東屋代,,,21,1,0,1
395,0,,,,5,大字東屋代,,,22,0,1,1
396,0,,,,5,大字東屋代,,,23,0,1,1
397,0,,,,5,大字東屋代,,,25,0,2,2
398,0,,,,5,大字東屋代,,,28,1,0,1
399,0,,,,5,大字東屋代,,,30,1,0,1
400,0,,,,5,大字東屋代,,,31,0,1,1
401,0,,,,5,大字東屋代,,,34,1,1,2
402,0,,,,5,大字東屋代,,,35,0,2,2
403,0,,,,5,大字東屋代,,,36,1,0,1
404,0,,,,5,大字東屋代,,,37,1,1,2
405,0,,,,5,大字東屋代,,,38,0,1,1
406,0,,,,5,大字東屋代,,,39,1,0,1
407,0,,,,5,大字東屋代,,,40,1,0,1
408,0,,,,5,大字東屋代,,,41,2,0,2
409,0,,,,5,大字東屋代,,,42,1,2,3
410,0,,,,5,大字東屋代,,,43,4,0,4
411,0,,,,5,大字東屋代,,,44,1,3,4
412,0,,,,5,大字東屋代,,,45,0,1,1
413,0,,,,5,大字東屋代,,,46,2,0,2
414,0,,,,5,大字東屋代,,,47,1,1,2
415,0,,,,5,大字東屋代,,,48,0,3,3
416,0,,,,5,大字東屋代,,,49,1,2,3
417,0,,,,5,大字東屋代,,,50,2,2,4
418,0,,,,5,大字東屋代,,,51,1,3,4
419,0,,,,5,大字東屋代,,,52,1,1,2
420,0,,,,5,大字東屋代,,,53,2,1,3
421,0,,,,5,大字東屋代,,,54,1,2,3
422,0,,,,5,大字東屋代,,,55,0,1,1
423,0,,,,5,大字東屋代,,,56,0,1,1
424,0,,,,5,大字東屋代,,,57,2,3,5
425,0,,,,5,大字東屋代,,,58,2,1,3
426,0,,,,5,大字東屋代,,,59,4,1,5
427,0,,,,5,大字東屋代,,,60,1,3,4
428,0,,,,5,大字東屋代,,,61,0,1,1
429,0,,,,5,大字東屋代,,,62,0,1,1
430,0,,,,5,大字東屋代,,,63,0,1,1
431,0,,,,5,大字東屋代,,,64,2,5,7
432,0,,,,5,大字東屋代,,,65,2,2,4
433,0,,,,5,大字東屋代,,,66,2,4,6
434,0,,,,5,大字東屋代,,,67,2,2,4
435,0,,,,5,大字東屋代,,,68,4,6,10
436,0,,,,5,大字東屋代,,,69,6,3,9
437,0,,,,5,大字東屋代,,,70,2,3,5
438,0,,,,5,大字東屋代,,,71,3,2,5
439,0,,,,5,大字東屋代,,,72,9,1,10
440,0,,,,5,大字東屋代,,,73,4,4,8
441,0,,,,5,大字東屋代,,,74,5,3,8
442,0,,,,5,大字東屋代,,,75,3,7,10
443,0,,,,5,大字東屋代,,,76,5,4,9
444,0,,,,5,大字東屋代,,,77,4,4,8
445,0,,,,5,大字東屋代,,,78,0,1,1
446,0,,,,5,大字東屋代,,,79,3,6,9
447,0,,,,5,大字東屋代,,,80,4,6,10
448,0,,,,5,大字東屋代,,,81,2,4,6
449,0,,,,5,大字東屋代,,,82,5,3,8
450,0,,,,5,大字東屋代,,,83,4,3,7
451,0,,,,5,大字東屋代,,,84,4,2,6
452,0,,,,5,大字東屋代,,,85,1,3,4
453,0,,,,5,大字東屋代,,,86,1,2,3
454,0,,,,5,大字東屋代,,,87,4,2,6
455,0,,,,5,大字東屋代,,,88,2,4,6
456,0,,,,5,大字東屋代,,,89,1,1,2
457,0,,,,5,大字東屋代,,,90,0,3,3
458,0,,,,5,大字東屋代,,,91,2,4,6
459,0,,,,5,大字東屋代,,,92,3,4,7
460,0,,,,5,大字東屋代,,,93,1,3,4
461,0,,,,5,大字東屋代,,,94,2,2,4
462,0,,,,5,大字東屋代,,,95,0,1,1
463,0,,,,5,大字東屋代,,,96,0,4,4
464,0,,,,5,大字東屋代,,,97,0,2,2
465,0,,,,5,大字東屋代,,,98,0,6,6
466,0,,,,5,大字東屋代,,,99,1,1,2
467,0,,,,5,大字東屋代,,,100,0,1,1
468,0,,,,6,大字西屋代,,,0,0,1,1
469,0,,,,6,大字西屋代,,,1,1,1,2
470,0,,,,6,大字西屋代,,,2,0,1,1
471,0,,,,6,大字西屋代,,,3,2,1,3
472,0,,,,6,大字西屋代,,,4,2,2,4
473,0,,,,6,大字西屋代,,,5,2,3,5
474,0,,,,6,大字西屋代,,,6,5,1,6
475,0,,,,6,大字西屋代,,,7,1,2,3
476,0,,,,6,大字西屋代,,,8,3,2,5
477,0,,,,6,大字西屋代,,,9,2,4,6
478,0,,,,6,大字西屋代,,,10,0,1,1
479,0,,,,6,大字西屋代,,,11,2,2,4
480,0,,,,6,大字西屋代,,,12,1,0,1
481,0,,,,6,大字西屋代,,,13,2,0,2
482,0,,,,6,大字西屋代,,,14,1,1,2
483,0,,,,6,大字西屋代,,,15,3,1,4
484,0,,,,6,大字西屋代,,,16,0,1,1
485,0,,,,6,大字西屋代,,,17,0,2,2
486,0,,,,6,大字西屋代,,,18,1,1,2
487,0,,,,6,大字西屋代,,,19,1,1,2
488,0,,,,6,大字西屋代,,,20,2,1,3
489,0,,,,6,大字西屋代,,,22,0,2,2
490,0,,,,6,大字西屋代,,,23,1,0,1
491,0,,,,6,大字西屋代,,,24,0,1,1
492,0,,,,6,大字西屋代,,,25,1,0,1
493,0,,,,6,大字西屋代,,,26,1,2,3
494,0,,,,6,大字西屋代,,,27,5,1,6
495,0,,,,6,大字西屋代,,,28,0,3,3
496,0,,,,6,大字西屋代,,,29,0,2,2
497,0,,,,6,大字西屋代,,,30,3,2,5
498,0,,,,6,大字西屋代,,,31,2,4,6
499,0,,,,6,大字西屋代,,,32,2,0,2
500,0,,,,6,大字西屋代,,,33,1,1,2
501,0,,,,6,大字西屋代,,,34,2,3,5
502,0,,,,6,大字西屋代,,,35,2,3,5
503,0,,,,6,大字西屋代,,,36,4,1,5
504,0,,,,6,大字西屋代,,,37,4,2,6
505,0,,,,6,大字西屋代,,,38,2,3,5
506,0,,,,6,大字西屋代,,,39,2,3,5
507,0,,,,6,大字西屋代,,,40,2,0,2
508,0,,,,6,大字西屋代,,,41,1,0,1
509,0,,,,6,大字西屋代,,,42,4,1,5
510,0,,,,6,大字西屋代,,,43,1,2,3
511,0,,,,6,大字西屋代,,,44,1,1,2
512,0,,,,6,大字西屋代,,,45,4,2,6
513,0,,,,6,大字西屋代,,,46,4,2,6
514,0,,,,6,大字西屋代,,,47,3,4,7
515,0,,,,6,大字西屋代,,,48,2,3,5
516,0,,,,6,大字西屋代,,,49,1,2,3
517,0,,,,6,大字西屋代,,,50,0,6,6
518,0,,,,6,大字西屋代,,,51,3,4,7
519,0,,,,6,大字西屋代,,,52,2,3,5
520,0,,,,6,大字西屋代,,,53,2,0,2
521,0,,,,6,大字西屋代,,,54,5,1,6
522,0,,,,6,大字西屋代,,,55,5,6,11
523,0,,,,6,大字西屋代,,,56,3,3,6
524,0,,,,6,大字西屋代,,,57,6,5,11
525,0,,,,6,大字西屋代,,,58,1,1,2
526,0,,,,6,大字西屋代,,,59,9,4,13
527,0,,,,6,大字西屋代,,,60,0,2,2
528,0,,,,6,大字西屋代,,,61,3,3,6
529,0,,,,6,大字西屋代,,,62,2,7,9
530,0,,,,6,大字西屋代,,,63,5,4,9
531,0,,,,6,大字西屋代,,,64,6,6,12
532,0,,,,6,大字西屋代,,,65,8,3,11
533,0,,,,6,大字西屋代,,,66,6,10,16
534,0,,,,6,大字西屋代,,,67,7,5,12
