NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
35,浅田小学校（屋内運動場）,,山口県長門市三隅下2002-2,,34.370095,131.22265,,(0837)43-0759,,352110,山口県,長門市,1,1,,1,,1,1,,1,255人,,,
36,三隅勤労者スポーツセンター,,山口県長門市三隅下2378-28,,34.370975,131.220271,,(0837)43-2120,,352110,山口県,長門市,1,1,,,,1,1,,,402人,,,
37,神田小学校（屋内運動場）,,山口県長門市日置上2123,,34.386752,131.135719,,(0837)37-3012,,352110,山口県,長門市,1,,1,1,1,1,1,,,290人,,,
38,日置農村活性化交流センター,,山口県長門市日置上3137-1,,34.396191,131.132026,,(0837)37-4320,,352110,山口県,長門市,1,1,1,1,1,1,1,,,96人,,,
39,日置中学校（屋内運動場）（日置地域づくりセンターを含む。）,,山口県長門市日置上6215,,34.386278,131.096558,,(0837)37-2036,,352110,山口県,長門市,1,1,1,1,1,1,,,1,459人,,,
40,日置小学校（屋内運動場）,,山口県長門市日置上6150-1,,34.38574,131.097124,,(0837)37-2069,,352110,山口県,長門市,1,1,1,1,1,1,,,1,392人,,,
41,日置保健センター,,山口県長門市日置上5914-3,,34.384518,131.104131,,(0837)37-2111,,352110,山口県,長門市,1,1,1,1,1,1,1,,,78人,,,
42,日置農村環境改善センター,,山口県長門市日置上5880-1,,34.38359,131.10552,,(0837)37-2340,,352110,山口県,長門市,1,1,1,,1,1,1,,,369人,,,
43,山口県立大津緑洋高等学校　日置校舎（屋内運動場）,,山口県長門市日置上401-2,,34.380803,131.114403,,(0837)37-2511,,352110,山口県,長門市,1,1,1,1,1,1,1,,,385人,,,
44,あけぼの園(地域交流ホーム）,,山口県長門市油谷久富10045,,,,,(0837)32-1688,,352110,山口県,長門市,1,1,1,1,1,1,1,,,126人,,,
45,わいわい子どもセンター,,山口県長門市油谷新別名10672-1,,,,,,,352110,山口県,長門市,1,,1,1,1,1,1,,,51人,,,
46,ラポールゆや,,山口県長門市油谷新別名10833,,,,,(0837)33-0051,,352110,山口県,長門市,1,1,1,1,1,1,1,,1,429人,,,
47,油谷保健福祉センター,,山口県長門市油谷新別名10803,,,,,(0837)33-3021,,352110,山口県,長門市,1,1,1,1,1,1,1,,,138人,,,
48,油谷小学校（屋内運動場）,,山口県長門市油谷新別名10666,,,,,(0837)32-1102,,352110,山口県,長門市,1,1,1,1,1,1,1,,1,300人,,,
49,菱海中学校（屋内運動場）,,山口県長門市油谷河原1016,,34.367404,131.042609,,(0837)32-1104,,352110,山口県,長門市,1,,1,1,1,1,1,,,826人,,,
50,油谷河原農業研修所,,山口県長門市油谷河原1391,,,,,(0837)32-1111,,352110,山口県,長門市,1,1,1,1,,1,1,,,85人,,,
51,油谷勤労者体育センター,,山口県長門市油谷河原2016,,34.374026,131.036871,,(0837)33-0051,,352110,山口県,長門市,1,1,,,,1,1,,,516人,,,
52,蔵小田交流館,,山口県長門市油谷蔵小田1013,,34.380202,131.054925,,(0837)32-1111,,352110,山口県,長門市,1,,1,,,1,1,,,100人,,,
53,旧伊上小学校　校舎,,山口県長門市油谷伊上2391,,34.371347,131.020046,,(0837)32-1111,,352110,山口県,長門市,1,1,1,1,1,1,1,,,263人,,,
54,宇津賀多目的交流館,,山口県長門市油谷後畑151,,,,,(0837)32-1140,,352110,山口県,長門市,1,,1,1,1,1,1,,,88人,,,
55,宇津賀集落センター,,山口県長門市油谷後畑1894-1,,34.404401,131.049008,,(0837)32-1140,,352110,山口県,長門市,1,,1,,1,1,1,,,70人,,,
56,向津具公民館,,山口県長門市油谷向津具下3265-2,,34.409963,130.972364,,(0837)34-1111,,352110,山口県,長門市,1,,1,,1,1,1,,,88人,,,
57,向津具小学校（屋内運動場）,,山口県長門市油谷向津具下4102-1,,34.414547,130.976952,,(0837)34-0002,,352110,山口県,長門市,1,1,1,1,1,1,1,,1,225人,,,
58,山口県漁協大浦支店,,山口県長門市油谷向津具下1878-3,,34.408139,130.958045,,(0837)34-1010,,352110,山口県,長門市,1,1,,,,1,,,,65人,,,
59,川尻漁村センター,,山口県長門市油谷川尻631,,34.422331,131.002855,,(0837)34-1121,,352110,山口県,長門市,1,1,1,,,1,1,,,94人,,,
60,萩・長門清掃工場「はなもゆ」,,山口県萩市大字山田2406,,34.397376,131.352896,,,,352047,山口県,萩市,1,1,,1,1,,,,1,50人,,,
