NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ_土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考,マッチングレベル,世界_10進_X,世界_10進_Y
36,下関商業高等学校,シモノセキショウギョウコウトウガッコウ,山口県下関市後田町4丁目11-1,,33.973194,130.92742,,083-223-4278,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,420,,,,,130.92742,33.973194
37,下関南総合支援学校,シモノセキミナミソウゴウシエンガッコウ,山口県下関市幡生町1丁目1-22,,33.976178,130.93738,,083-232-1431,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,264,,,,,130.93738,33.976178
38,下関市立大学,シモノセキシリツダイガク,山口県下関市大学町2丁目1-1,,33.987974,130.933514,,083-252-0288,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,1092,,,,,130.933514,33.987974
39,下関市民センター,シモノセキシミンセンター,山口県下関市東神田町9-1,,33.961123,130.927131,,083-231-9616,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,353,,,,,130.927131,33.961123
40,西の尾団地集会所,ニシノオダンチシュウカイジョ,山口県下関市後田町5丁目2-5,,33.971203,130.9305,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,40,,,,,130.9305,33.971203
41,伝武館,デンブカン,山口県下関市武久町1丁目57-10,,33.981338,130.923566,,083-231-9333,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,40,,,,,130.923566,33.981338
42,大坪ふれあい会館,オオツボフレアイカイカン,山口県下関市藤附町2-4,,33.966697,130.921619,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,70,,,,,130.921619,33.966697
43,椋野町民館,ムクノチョウミンカン,山口県下関市椋野町2丁目13-4,,33.976198,130.947686,,083-231-9333,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,40,,,,,130.947686,33.976198
44,複合福祉施設フロイデ金比羅,フクゴウフクシシセツフロイデコンピラ,山口県下関市金比羅町10-1,,33.969655,130.919388,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,51,,,,,130.919388,33.969655
45,下関運動公園,シモノセキウンドウコウエン,山口県下関市向洋町1丁目,,33.966134,130.931697,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.931697,33.966134
46,戦場ヶ原公園,センジョウガハラコウエン,山口県下関市後田町5丁目,,33.975718,130.931538,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,130.931538,33.975718
47,幡生宮の下近隣公園,ハタブミヤノシタキンリンコウエン,山口県下関市幡生宮の下町,,33.981634,130.930874,,083-231-9333,,352012,山口県,下関市,×,○,○,○,○,,,,避難場所,,,,,,130.930874,33.981634
48,三河公園,ミカワコウエン,山口県下関市三河町15,,33.985913,130.942158,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.942158,33.985913
49,権現山公園,ゴンゲンヤマコウエン,山口県下関市大学町3丁目,,33.990247,130.937849,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.937849,33.990247
50,武久永命寺公園,タケヒサヨウメイジコウエン,山口県下関市武久町1丁目,,33.981211,130.921968,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.921968,33.981211
51,金比羅公園,コンピラコウエン,山口県下関市金比羅町,,33.969162,130.915815,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,130.915815,33.969162
52,一里山公園,イチリヤマコウエン,山口県下関市椋野町1丁目,,33.974049,130.941923,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,130.941923,33.974049
53,彦島公民館,ヒコシマコウミンカン,山口県下関市彦島江の浦町1丁目3-1,,33.937097,130.914452,,083-267-1344,,352012,山口県,下関市,○,○,○(2階),○,○,,,,避難所,415,,,,,130.914452,33.937097
54,玄洋公民館,ゲンヨウコウミンカン,山口県下関市彦島西山町4丁目1-28,,33.946644,130.882931,,083-266-5455,,352012,山口県,下関市,○,○,×,○(グ),○,,,,避難所,433,,,,,130.882931,33.946644
55,本村小学校,ホンムラショウガッコウ,山口県下関市彦島本村町3丁目16-1,,33.945293,130.910569,,083-266-3288,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,268,,,,,130.910569,33.945293
56,西山小学校,ニシヤマショウガッコウ,山口県下関市彦島迫町5丁目13-21,,33.942593,130.896056,,083-266-0159,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,296,,,,,130.896056,33.942593
57,江浦小学校,エノウラショウガッコウ,山口県下関市彦島江の浦町3丁目4-1,,33.930646,130.915518,,083-266-0067,,352012,山口県,下関市,○,○,×,○,○,,,,避難所,306,,,,,130.915518,33.930646
58,角倉小学校,スマクラショウガッコウ,山口県下関市彦島角倉町3丁目5-5,,33.924632,130.915211,,083-266-0718,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,348,,,,,130.915211,33.924632
59,向井小学校,ムカイショウガッコウ,山口県下関市彦島向井町2丁目20-1,,33.917152,130.917649,,083-267-6700,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,296,,,,,130.917649,33.917152
60,玄洋中学校,ゲンヨウチュウガッコウ,山口県下関市彦島本村町2丁目8-1,,33.943019,130.906071,,083-266-3269,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,380,,,,,130.906071,33.943019
61,彦島中学校,ヒコシマチュウガッコウ,山口県下関市彦島江の浦町2丁目25-1,,33.933333,130.911155,,083-266-5266,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,272,,,,,130.911155,33.933333
62,下関中等教育学校,シモノセキチュウトウキョウイクガッコウ,山口県下関市彦島老町2丁目21-1,,33.947997,130.906287,,083-266-4100,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,694,,,,,130.906287,33.947997
63,船員宿舎,センインシュクシャ,山口県下関市大字六連島字空方137-2,,33.974754,130.865246,,083-261-1010,,352012,山口県,下関市,○,×,○,×,○,,,,避難所,15,,,,,130.865246,33.974754
64,彦島体育館,ヒコシマタイイクカン,山口県下関市彦島迫町4丁目16-1,,33.938495,130.905303,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,420,,,,,130.905303,33.938495
65,彦島武道館,ヒコシマブドウカン,山口県下関市彦島江の浦町1丁目1-1,,33.937629,130.915122,,083-231-9333,,352012,山口県,下関市,○,○,×,×,○,,,,避難所,502,,,,,130.915122,33.937629
66,老町公会堂,オイマチコウカイドウ,山口県下関市彦島老町1丁目10-24,,33.946453,130.912932,,083-231-9333,,352012,山口県,下関市,○,×,×,×,○,,,,避難所,40,,,,,130.912932,33.946453
67,本村公会堂,ホンムラコウカイドウ,山口県下関市彦島本村町5丁目4-7,,33.942123,130.911066,,083-231-9333,,352012,山口県,下関市,○,○,×,×,○,,,,避難所,50,,,,,130.911066,33.942123
68,西山町自治会館,ニシヤマチョウジチカイカン,山口県下関市彦島西山町1丁目9-29,,33.94337,130.887585,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,95,,,,,130.887585,33.94337
69,山中町民館,ヤマナカチョウミンカン,山口県下関市彦島山中町2丁目4-8,,33.922672,130.920722,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,50,,,,,130.920722,33.922672
70,角倉町民館,スマクラチョウミンカン,山口県下関市彦島角倉町3丁目3-28,,33.926291,130.9166,,083-231-9333,,352012,山口県,下関市,○,○,×,○,○,,,,避難所,50,,,,,130.9166,33.926291
71,フロイデ彦島,フロイデヒコシマ,山口県下関市彦島西山町3丁目12-1,,33.944657,130.879873,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,30,,,,,130.879873,33.944657
72,特別養護老人ホームアイユウの苑,トクベツヨウゴロウジンホームアイユウノソノ,山口県下関市彦島迫町3丁目17-2,,33.938403,130.900274,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,137,,,,,130.900274,33.938403
73,老の山公園,オイノヤマコウエン,山口県下関市彦島老の山公園,,33.946305,130.904249,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,130.904249,33.946305
74,彦島地区公園,ヒコシマチクコウエン,山口県下関市彦島迫町4丁目,,33.938968,130.904654,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,130.904654,33.938968
75,彦島南公園,ヒコシマミナミコウエン,山口県下関市彦島弟子待町3丁目,,33.917578,130.923151,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.923151,33.917578
76,京野第２公園,キョウノダイニコウエン,山口県下関市彦島塩浜町3丁目,,33.917417,130.909519,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.909519,33.917417
77,福浦第２公園,フクウラダイニコウエン,山口県下関市彦島福浦町1丁目,,33.927699,130.904745,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,130.904745,33.927699
78,長府公民館,チョウフコウミンカン,山口県下関市長府土居の内町1-6,,33.998861,130.990789,,083-246-3413,,352012,山口県,下関市,○,○,×,○,○,,,,避難所,220,,,,,130.990789,33.998861
79,長府東公民館,チョウフヒガシコウミンカン,山口県下関市長府松小田本町4-15,,34.019102,130.999769,,083-246-1266,,352012,山口県,下関市,○,○,×,○,○,,,,避難所,273,,,,,130.999769,34.019102
80,豊浦小学校,トヨウラショウガッコウ,山口県下関市長府亀の甲2丁目2-1,,34.002954,130.988601,,083-246-1681,,352012,山口県,下関市,○,○,×,○,○,,,,避難所,468,,,,,130.988601,34.002954
81,長府小学校,チョウフショウガッコウ,山口県下関市長府松小田北町14-1,,34.021174,130.996276,,083-246-0920,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,377,,,,,130.996276,34.021174
82,長府中学校,チョウフチュウガッコウ,山口県下関市長府逢坂町3-1,,33.997819,130.981941,,083-246-2157,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,411,,,,,130.981941,33.997819
83,長成中学校,チョウセイチュウガッコウ,山口県下関市長府日の出町4-1,,34.01572,130.99348,,083-245-6490,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,708,,,,,130.99348,34.01572
84,長府第二保育園,チョウフダイニホイクエン,山口県下関市長府中六波町12-26,,34.013221,130.99143,,083-245-0044,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,84,,,,,130.99143,34.013221
85,豊浦高等学校,トヨラコウトウガッコウ,山口県下関市長府宮崎町1-1,,33.990883,130.992228,,083-245-2161,,352012,山口県,下関市,○,○,×,○,○,,,,避難所,510,,,,,130.992228,33.990883
86,西部高等産業技術学校,セイブコウトウサンギョウギジュツガッコウ,山口県下関市千鳥ヶ丘町21-3,,34.031208,131.006864,,083-248-3505,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,476,,,,,131.006864,34.031208
87,すみれ保育園,スミレホイクエン,山口県下関市前田1丁目9-1,,33.974267,130.969882,,083-223-3574,,352012,山口県,下関市,○,○,○,○(グ),○,,,,避難所,105,,,,,130.969882,33.974267
88,長府武道館,チョウフブドウカン,山口県下関市長府宮の内町3-8,,33.999476,130.986384,,083-231-9333,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,232,,,,,130.986384,33.999476
89,長府体育館,チョウフタイイクカン,山口県下関市長府江下町3-15,,34.011387,130.996099,,083-231-9333,,352012,山口県,下関市,○,○,×,○,○,,,,避難所,558,,,,,130.996099,34.011387
90,関見台公園,セキミダイコウエン,山口県下関市長府宮崎町,,33.989435,130.994006,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,130.994006,33.989435
91,さつきヶ丘児童公園,サツキガオカジドウコウエン,山口県下関市長府満珠町,,34.014827,130.98649,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.98649,34.014827
92,長府運動場,チョウフウンドウジョウ,山口県下関市長府江下町,,34.011845,130.996286,,083-231-9333,,352012,山口県,下関市,○,○,×,○,○,,,,避難場所,,,,,,130.996286,34.011845
93,扇町運動広場,オウギマチウンドウヒロバ,山口県下関市長府扇町,,34.016835,131.013583,,083-231-9333,,352012,山口県,下関市,○,○,×,○,○,,,,避難場所,,,,,,131.013583,34.016835
94,下関市長府扇町第１運動場,シモノセキシチョウフオウギマチダイイチウンドウジョウ,山口県下関市長府扇町4,,34.019204,131.008291,,083-231-9333,,352012,山口県,下関市,○,○,×,○,○,,,,避難場所,,,,,,131.008291,34.019204
95,掛州公園,カケスコウエン,山口県下関市長府才川2丁目,,34.024542,131.005221,,083-231-9333,,352012,山口県,下関市,○,×,×,○,○,,,,避難場所,,,,,,131.005221,34.024542
96,陽向台公園,ヨウコウダイコウエン,山口県下関市長府才川2丁目,,34.022749,131.000447,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,131.000447,34.022749
97,千鳥ヶ丘２号公園,チドリガオカニゴウコウエン,山口県下関市千鳥ヶ丘町,,34.033331,131.006518,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,131.006518,34.033331
98,王司公民館,オウジコウミンカン,山口県下関市王司神田1丁目9-1,,34.046119,131.015079,,083-248-3176,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,286,,,,,131.015079,34.046119
99,王司小学校,オウジショウガッコウ,山口県下関市王司神田6丁目9-1,,34.050205,131.013354,,083-248-1130,,352012,山口県,下関市,×,○,×,○,○,,,,避難所,327,,,,,131.013354,34.050205
100,乃木浜総合公園,ノギハマソウゴウコウエン,山口県下関市乃木浜2丁目,,34.044058,131.026248,,083-231-9333,,352012,山口県,下関市,×,○,×,○,×,,,,避難場所,,,,,,131.026248,34.044058
101,王司観音第２公園,オウジカンノンダイニコウエン,山口県下関市東観音町21,,34.048057,131.006227,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,131.006227,34.048057
102,王司湯田１号公園,オウジユダイチゴウコウエン,山口県下関市員光町2丁目,,34.053235,131.00022,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,131.00022,34.053235
103,清末公民館,キヨスエコウミンカン,山口県下関市清末陣屋5-20,,34.064018,131.021468,,083-282-1056,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,153,,,,,131.021468,34.064018
104,清末小学校,キヨスエショウガッコウ,山口県下関市清末西町1丁目6-1,,34.063518,131.018587,,083-282-0114,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,267,,,,,131.018587,34.063518
105,東部中学校,トウブチュウガッコウ,山口県下関市清末陣屋5-10,,34.065593,131.021966,,083-282-0032,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,273,,,,,131.021966,34.065593
106,清末公園,キヨスエコウエン,山口県下関市清末中町1丁目5,,34.058422,131.02407,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,131.02407,34.058422
107,小月公民館,オヅキコウミンカン,山口県下関市小月本町1丁目7-7,,34.071428,131.033963,,083-282-0661,,352012,山口県,下関市,○,○,×,○,○(2階),,,,避難所,275,,,,,131.033963,34.071428
108,小月小学校,オヅキショウガッコウ,山口県下関市小月西の台6-1,,34.070927,131.039461,,083-282-0152,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,385,,,,,131.039461,34.070927
109,小月武道館,オヅキブドウカン,山口県下関市小月駅前1丁目7-1,,34.068728,131.031327,,083-231-9333,,352012,山口県,下関市,×,○,×,×,×,,,,避難所,127,,,,,131.031327,34.068728
110,小月公園,オヅキコウエン,山口県下関市小月公園町7,,34.074256,131.030977,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,131.030977,34.074256
111,小月宮の尾公園,オヅキミヤノオコウエン,山口県下関市小月京泊,,34.071644,131.042543,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,131.042543,34.071644
112,王喜公民館,オウキコウミンカン,山口県下関市王喜本町2丁目15-10,,34.064016,131.053223,,083-282-0219,,352012,山口県,下関市,○,○,×,×,○,,,,避難所,122,,,,,131.053223,34.064016
113,王喜小学校,オウキショウガッコウ,山口県下関市王喜本町2丁目12-30,,34.063423,131.054424,,083-282-0332,,352012,山口県,下関市,○,○,×,○,○,,,,避難所,302,,,,,131.054424,34.063423
114,木屋川中学校,コヤガワチュウガッコウ,山口県下関市木屋川南町2丁目660,,34.073591,131.05669,,083-282-0354,,352012,山口県,下関市,○,○,×,○,○,,,,避難所,331,,,,,131.05669,34.073591
115,木屋川近隣公園,コヤガワキンリンコウエン,山口県下関市木屋川1丁目,,34.075103,131.070048,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,131.070048,34.075103
116,木屋川ラブリバーパーク,コヤガワラブリバーパーク,山口県下関市王喜本町4丁目,,34.071393,131.049652,,083-231-9333,,352012,山口県,下関市,×,○,×,×,×,,,,避難場所,,,,,,131.049652,34.071393
117,吉田公民館,ヨシダコウミンカン,山口県下関市大字吉田地方2499,,34.091233,131.073089,,083-284-0205,,352012,山口県,下関市,○（２階）,○,○（2階）,×,○,,,,避難所,136,,,,,131.073089,34.091233
118,吉田小学校,ヨシダショウガッコウ,山口県下関市大字吉田字高田1044-2,,34.088264,131.071629,,083-284-0136,,352012,山口県,下関市,×,○,×,○,○,,,,避難所,293,,,,,131.071629,34.088264
119,長慶寺,チョウケイジ,山口県下関市大字吉田1023,,34.089746,131.073901,,083-231-9333,,352012,山口県,下関市,×,○,×,×,○,,,,避難所,100,,,,,131.073901,34.089746
120,勝山公民館,カツヤマコウミンカン,山口県下関市秋根南町2丁目4-33,,34.00824,130.953562,,083-256-2779,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,408,,,,,130.953562,34.00824
121,一の宮小学校,イチノミヤショウガッコウ,山口県下関市一の宮住吉1丁目8-1,,34.002661,130.957145,,083-256-4055,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,339,,,,,130.957145,34.002661
122,勝山小学校,カツヤマショウガッコウ,山口県下関市秋根上町2丁目2-1,,34.009648,130.960747,,083-256-2251,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,378,,,,,130.960747,34.009648
123,勝山中学校,カツヤマチュウガッコウ,山口県下関市秋根上町2丁目5-1,,34.010705,130.958324,,083-256-2827,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,320,,,,,130.958324,34.010705
124,小野町上方公会堂,オノマチカミカタコウカイドウ,山口県下関市大字小野字上方,,34.038001,130.958951,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,20,,,,,130.958951,34.038001
125,秋根こども公園,アキネコドモコウエン,山口県下関市秋根本町2丁目,,34.011896,130.951803,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.951803,34.011896
126,秋根記念公園,アキネキネンコウエン,山口県下関市秋根西町1丁目,,34.009468,130.94776,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.94776,34.009468
127,勝谷北公園,ショウヤキタコウエン,山口県下関市勝谷新町3丁目,,34.00663,130.971407,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.971407,34.00663
128,住吉公園,スミヨシコウエン,山口県下関市一の宮住吉1丁目,,33.999305,130.958062,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,130.958062,33.999305
129,内日公民館,ウツイコウミンカン,山口県下関市大字内日下1146-5,,34.099865,130.970784,,083-289-2036,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,161,,,,,130.970784,34.099865
130,うつい小中学校,ウツイショウチュウガッコウ,山口県下関市大字内日下字坂本1031,,34.10139,130.96981,,083-289-2131,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,297,,,,,130.96981,34.10139
131,旧内日中学校,キュウウツイチュウガッコウ,山口県下関市大字内日下字福寿庵1196-2,,34.102646,130.96864,,083-289-2431,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,258,,,,,130.96864,34.102646
