NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
102020105,戸津つどい館,ヘツツドイカン,山口県熊毛郡上関町大字長島４７２３－１,,33.830969,132.110738,2,0820-62-0004,,,山口県,上関町,1,,,1,,,,,1,100,戸津地区,,
102020106,惣津ふれあい館,ソウヅフレアイカン,山口県熊毛郡上関町大字長島７０６－１,,33.8311483,132.1109287,14,0820-62-0184,501,,山口県,上関町,1,,1,1,1,,,,,40,上関地区,,
102020107,ほのぼの活性化センター,ホノボノカッセイカセンター,山口県熊毛郡上関町大字長島１８０－１９,,33.8308649,132.1109981,2.5,0820-62-0107,,,山口県,上関町,1,,,1,1,,,,,140,上関地区,,
102020108,上関町総合文化センター,カミノセキチョウソウゴウブンカセンター,山口県熊毛郡上関町大字室津９０４－１５,,33.8340553,132.1167474,2.5,0820-62-1460,,,山口県,上関町,1,1,,,,,,,1,150,室津地区,,
102020109,室津地区集会所,ムロツチクシュウカイジョ,山口県熊毛郡上関町大字室津７９８－１,,33.8359879,132.1184252,3,0820-62-0184,501,,山口県,上関町,1,1,,,,,,,,60,室津地区,,
102020110,白浜集会所（白浜分館）,シラハマシュウカイジョ(シラハマブンカン),山口県熊毛郡上関町大字室津１１８７,,33.8351178,132.1228942,5,0820-62-0184,501,,山口県,上関町,1,1,1,1,1,,,,,40,室津地区,,
102020111,上関海峡温泉,カミノセキカイキョウオンセン,山口県熊毛郡上関町大字室津９２４,,33.8326586,132.1171648,8.5,0820-62-1126,,,山口県,上関町,1,1,1,1,1,,,,,89,室津地区,,
102020112,上関町民体育館,カミノセキチョウミンタイイクカン,山口県熊毛郡上関町大字室津３４２－１,,33.8445416,132.1197998,65,0820-62-1752,,,山口県,上関町,1,1,1,1,1,,,,1,220,室津地区,,
102020113,上関町民グラウンド,カミノセキチョウミングラウンド,山口県熊毛郡上関町大字室津３４２－１,,33.8451146,132.1193287,62,0820-62-1752,,,山口県,上関町,1,1,1,1,1,,,,,1000,室津地区,,
102020114,竹の浦集会所,タケノウラシュウカイジョ,山口県熊毛郡上関町大字室津３９１－１,,33.840821,132.118045,13.5,0820-62-0184,501,,山口県,上関町,1,,1,1,1,,,,,45,室津地区,,
102020115,いこいの家大津千葉館,イコイノイエオオヅセンバカン,山口県熊毛郡上関町大字室津１６２３－５,,33.8377636,132.1442707,28.5,0820-62-0184,501,,山口県,上関町,1,,1,1,1,,,,1,40,室津地区,,
102020116,四季の里志田,シキノサトシダ,山口県熊毛郡上関町大字室津２２－１,,33.857572,132.118247,11,0820-62-0184,501,,山口県,上関町,1,,1,1,1,,,,1,67,室津地区,,
102020117,練尾小規模老人憩の家,ネリオショウキボロウジンイコイノイエ,山口県熊毛郡上関町大字室津１４５８,,33.837523,132.132063,121,0820-62-0184,501,,山口県,上関町,1,,1,,1,,,,1,30,室津地区,,
102020118,祝島小・中学校グラウンド,イワイシマショウ・チュウガッコウグラウンド,山口県熊毛郡上関町大字祝島３,,33.7842658,131.9890878,28,,,,山口県,上関町,1,1,1,1,1,,,,,250,祝島地区,,
102020119,祝島小・中学校屋内体育館,イワイシマショウ・チュウガッコウオクナイタイイクカン,山口県熊毛郡上関町大字祝島３,,33.785124,131.988013,28,,,,山口県,上関町,1,1,1,1,1,,,,1,300,祝島地区,,
102020120,祝島支所（祝島地区館）,イワイシマシショ（イワイシマチクカン）,山口県熊毛郡上関町大字祝島１８４－１,,33.787069,131.990132,3,0820-66-2003,,,山口県,上関町,1,1,,,,,,,1,80,祝島地区,,
102020121,旧八島小学校グラウンド,キュウヤシマショウガッコウグラウンド,山口県熊毛郡上関町大字八島２８０,,33.7288152,132.1402499,4,0820-62-0311,103,,山口県,上関町,1,1,1,1,1,,,,,100,八島地区,,
102020122,八島ふれあいセンター（八島地区館）,ヤシマフレアイセンター（ヤシマチクカン）,山口県熊毛郡上関町大字八島６８８－３,,33.728864,132.14012,5,0820-62-1822,,,山口県,上関町,1,1,1,1,1,,,,1,70,八島地区,,
102020123,中の浦小規模老人憩いの家,ナカノウラショウキボロウジンイコイノミセ,山口県熊毛郡上関町大字長島１１５４０－３１,,33.845409,132.081816,3,0820-62-0184,,,山口県,上関町,1,,,1,,,,,,30,中ノ浦地区,,指定避難所のみで指定緊急避難所に指定はなし
