NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
22,田布施西小学校,タブセニシショウガッコウ,田布施町下田布施2156,,33.95416877,132.0306828,,0820-52-2051,,35343,山口県,熊毛郡田布施町,1,,1,1,1,1,1,1,1,200,,http://www.town.tabuse.lg.jp/www/contents/1391998266387/index.html,
23,田布施農工高校,タブセノウコウコウコウ,田布施町波野195,,33.96222785,132.0408626,,0820-52-2157,,35343,山口県,熊毛郡田布施町,1,,1,1,1,1,1,1,1,300,,http://www.tabuse-at.ysn21.jp/,
24,田布施保育園,タブセホイクエン,田布施町下田布施419-6,,33.95699854,132.053599,,0820-52-3231,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,,1,,200,,http://tabusekids.jp/,
25,田布施南地域防災センター,タブセミナミチイキボウサイセンター,田布施町麻郷3399-5,,33.92448055,132.048247,,0820-55-0002,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,1,30,,,
26,天行居,テンコウキョ,田布施町波野1248,,33.97436232,132.0368267,,0820-52-2009,,35343,山口県,熊毛郡田布施町,1,　,1,　,1,1,1,1,,100,,http://tenkoukyo.jp/,
27,天照皇大神宮教本部,テンショウコウダイジングウキョウホンブ,田布施町波野123,,33.96144685,132.0376219,,0820-52-2153,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,,300,,,
28,西田布施公民館,ニシタブセコウミンカン,田布施町下田布施2210-1,,33.95157687,132.0292342,,0820-52-4448,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,1,100,,http://www.town.tabuse.lg.jp/www/contents/1528250121599/index.html,
29,のんびらんどうましま,ノンビランドウマシマ,田布施町馬島71,,33.8922151,132.0490019,,0820-55-5131,,35343,山口県,熊毛郡田布施町,1,1,,,　,1,1,1,,30,,http://nonbiland-umashima.net/,
30,東田布施公民館,ヒガシタブセコウミンカン,田布施町波野2208-7,,33.96220407,132.0557578,,0820-52-3786,,35343,山口県,熊毛郡田布施町,1,1,,1,1,1,,1,1,50,,http://www.town.tabuse.lg.jp/www/contents/1282872580027/index.html,
31,東田布施小学校,ヒガシタブセショウガッコウ,田布施町大波野152-1,,33.96417125,132.0562812,,0820-52-2050,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,1,200,,http://www.town.tabuse.lg.jp/www/contents/1391997104999/index.html,
32,麻里府公民館,マリフコウミンカン,田布施町別府1610,,33.91241844,132.043437,,0820-55-5237,,35343,山口県,熊毛郡田布施町,1,1,　,　,　,1,1,1,,50,,http://www.town.tabuse.lg.jp/www/contents/1511941701772/index.html,
33,麻里府保育園,マリフホイクエン,田布施町大字麻郷3651?5,,33.91714424,132.0471315,,0820-55-5228,,35343,山口県,熊毛郡田布施町,1,　,,1,,1,1,1,1,50,,http://www.town.tabuse.lg.jp/www/contents/1550124533776/index.html,
