全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考,Column1
352080,900012,平田小学校,ヒラタショウガッコウ,,352080,,山口県岩国市平田3-5-1,山口県,岩国市平田3-5-1,,,,34.14430557,132.1843716,40.1,0827-31-7312,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,,862,,,,,,
352080,900013,平田供用会館・住民ホール,ヒラタキョウヨウカイカン・ジュウミンホール,,352080,,山口県岩国市平田3-22-18,山口県,岩国市平田3-22-18,,,,34.14219881,132.1863351,8.3,0827-31-2514,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,208,,,,,,
352080,900014,岩国商業高校体育館,イワクニショウギョウコウコウタイイクカン,,352080,,山口県岩国市平田5-52-10,山口県,岩国市平田5-52-10,,,,34.14570003,132.1960253,51.1,0827-31-4133,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,,417,,,,,,
352080,900015,平田中学校,ヒラタチュウガッコウ,,352080,,山口県岩国市平田6-10-33,山口県,岩国市平田6-10-33,,,,34.13916678,132.1846124,45.9,0827-32-1111,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,,605,,,,,,
352080,900016,老人福祉センター,ロウジンフクシセンター,,352080,,山口県岩国市南岩国町2-65-38,山口県,岩国市南岩国町2-65-38,,,,34.14433651,132.1964669,38,0827-31-4355,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,125,,,,,,
352080,900017,白崎八幡宮（メモリアルコート）,シラサキハチマングウ,,352080,,山口県岩国市今津町6-12-23,山口県,岩国市今津町6-12-23,,,,34.15984051,132.2093391,25.6,0827-29-1122,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,85,,,,,,
352080,900018,岩国市市民文化会館,イワクニシシミンブンカカイカン,,352080,,山口県岩国市山手町1-15-3,山口県,岩国市山手町1-15-3,,,,34.1672854,132.2183397,1.5,0827-24-1221,,,,,,352080,山口県岩国市,,1,,1,,,,,,152,,,,,,
352080,900019,麻里布小学校,マリフショウガッコウ,,352080,,山口県岩国市山手町1-7-41,山口県,岩国市山手町1-7-41,,,,34.16931782,132.2155645,1.3,0827-21-7111,,,,,,352080,山口県岩国市,,1,,1,,,,,,931,,,,,,
352080,900020,ＮＴＴ岩国電話交換所,エヌテイテイイワクニデンワコウカンジョ,,352080,,山口県岩国市麻里布町3-7-9,山口県,岩国市麻里布町3-7-9,,,,34.168528,132.221794,1.8,0827-30-5190,,,,,,352080,山口県岩国市,,1,,1,,,,,,171,,,,,,
352080,900021,福祉会館,フクシカイカン,,352080,,山口県岩国市麻里布町7-1-2,山口県,岩国市麻里布町7-1-2,,,,34.171423,132.219119,1.2,0827-22-5877,,,,,,352080,山口県岩国市,,1,,,,,,,,367,,,,,,
352080,900022,麻里布中学校,マリフチュウガッコウ,,352080,,山口県岩国市室の木町2-7-11,山口県,岩国市室の木町2-7-11,,,,34.17393677,132.2125983,1.7,0827-22-2234,,,,,,352080,山口県岩国市,1,,,1,1,,,,,657,,,,,,
352080,900023,医師会病院,イシカイビョウイン,,352080,,山口県岩国市室の木町3-6-12,山口県,岩国市室の木町3-6-12,,,,34.1712248,132.2058726,4.6,0827-21-3211,,,,,,352080,山口県岩国市,1,,,1,1,,,,,102,,,,,,
352080,900024,保健センター,ホケンセンター,,352080,,山口県岩国市室の木町3-1-11,山口県,岩国市室の木町3-1-11,,,,34.17197374,132.2094105,4.6,0827-24-3751,,,,,,352080,山口県岩国市,1,,,1,1,,,,,105,,,,,,
352080,900025,室の木東供用会館,ムロノキヒガシキョウヨウカイカン,,352080,,山口県岩国市立石町4-7-60,山口県,岩国市立石町4-7-60,,,,34.17917429,132.2257819,0.5,0827-21-1005,,,,,,352080,山口県岩国市,1,1,,1,1,,,,,62,,,,,,
352080,900026,東小中学校（旧東中学校体育館）,ヒガシショウチュウガッコウ,,352080,,山口県岩国市三笠町2-1-9,山口県,岩国市三笠町2-1-9,,,,34.16776687,132.2270012,0.7,0827-22-0108,,,,,,352080,山口県岩国市,,1,,1,,,,,,211,,,,,,
352080,900028,こども館にっこり,コドモカンニッコリ,,352080,,山口県岩国市桂町2-6-1,山口県,岩国市桂町2-6-1,,,,34.17295494,132.2345836,0.8,0827-24-0888,,,,,,352080,山口県岩国市,,1,,1,,,,,,24,,,,,,
352080,900029,日本製紙岩国工場錦陽館,ニッポンセイシイワクニコウジョウキンヨウカン,,352080,,山口県岩国市昭和町2-18,山口県,岩国市昭和町2-18,,,,34.17489028,132.2319096,2.4,0827-24-6222,,,,,,352080,山口県岩国市,1,1,,1,,,,,,274,,,,,,
352080,900030,帝人岩国事業所体育館,テイジンイワクニジギョウショタイイクカン,,352080,,山口県岩国市日の出町2-1,山口県,岩国市日の出町2-1,,,,34.16872493,132.2320113,1.8,0827-24-6500,,,,,,352080,山口県岩国市,1,1,,1,,,,,,285,,,,,,
352080,900031,一文字終末処理場,イチモンジシュウマツショリジョウ,,352080,,山口県岩国市新港町2-7-145,山口県,岩国市新港町2-7-145,,,,34.1819669,132.2326425,2.8,0827-24-4501,,,,,,352080,山口県岩国市,1,1,,1,1,,,,,28,,,,,,
352080,900032,装港小学校,ショウコウショウガッコウ,,352080,,山口県岩国市新港町4-16-30,山口県,岩国市新港町4-16-30,,,,34.19242604,132.2299013,3.2,0827-21-5052,,,,,,352080,山口県岩国市,1,,,1,1,,,,,257,,,,,,
352080,900033,装港供用会館,ショウコウキョウヨウカイカン,,352080,,山口県岩国市装束町1-1-43,山口県,岩国市装束町1-1-43,,,,34.19305622,132.2300812,3.8,0827-23-6032,,,,,,352080,山口県岩国市,1,,,,1,,,,,71,,,,,,
352080,900034,HOTEL AZ 山口岩国店,ホテルエイゼットヤマグチイワクニテン,,352080,,山口県岩国市新港町2-6-30,山口県,岩国市新港町2-6-30,,,,34.18306656,132.2313513,2,0827-23-3301,,,,,,352080,山口県岩国市,1,1,,1,1,,,,,20,,,,,,
352080,900035,専念寺本堂・川下幼稚園,センネンジホンドウ・カワシモヨウチエン,,352080,,山口県岩国市楠町3-2-30,山口県,岩国市楠町3-2-30,,,,34.1567659,132.211642,2.7,0827-21-0725,,,,,,352080,山口県岩国市,,1,,1,1,,,,,85,,,,,,
352080,900036,万行寺本堂・保育園,マンギョウジホンドウ・ホイクエン,,352080,,山口県岩国市楠町3-7-21,山口県,岩国市楠町3-7-21,,,,34.15549706,132.2105736,2.3,0827-22-5215,,,,,,352080,山口県岩国市,,1,,1,1,,,,,91,,,,,,
352080,900037,川下供用会館,カワシモキョウヨウカイカン,,352080,,山口県岩国市中津町2-1-3,山口県,岩国市中津町2-1-3,,,,34.15624064,132.2166945,1.5,0827-23-0641,,,,,,352080,山口県岩国市,,1,,1,,,,,,66,,,,,,
352080,900038,漁業協同組合,ギョギョウキョウドウクミアイ,,352080,,山口県岩国市中津町2-15-25,山口県,岩国市中津町2-15-25,,,,34.15440702,132.2189132,1.4,0827-22-3238,,,,,,352080,山口県岩国市,,1,,1,,,,,,68,,,,,,
352080,900039,川下中学校,カワシモチュウガッコウ,,352080,,山口県岩国市中津町2-22-25,山口県,岩国市中津町2-22-25,,,,34.15220945,132.2169186,2.3,0827-21-5168,,,,,,352080,山口県岩国市,,1,,1,,,,,,611,,,,,,
352080,900040,川下小学校,カワシモショウガッコウ,,352080,,山口県岩国市車町1-1-43,山口県,岩国市車町1-1-43,,,,34.15796877,132.2137153,2.6,0827-22-1533,,,,,,352080,山口県岩国市,,1,,1,1,,,,,628,,,,,,
352080,900041,法寿寺本堂・法寿幼稚園,ホウジュジホンドウ・ホウジュヨウチエン,,352080,,山口県岩国市車町1-9-22,山口県,岩国市車町1-9-22,,,,34.15772248,132.2181111,2,0827-21-3881,,,,,,352080,山口県岩国市,,1,,1,,,,,,57,,,,,,
352080,900042,車供用会館,クルマキョウヨウカイカン,,352080,,山口県岩国市車町3-3-34,山口県,岩国市車町3-3-34,,,,34.15460541,132.2217166,1.6,0827-22-8761,,,,,,352080,山口県岩国市,,1,,1,,,,,,57,,,,,,
352080,900043,旭会館,アサヒカイカン,,352080,,山口県岩国市旭町2-12-27,山口県,岩国市旭町2-12-27,,,,34.16189857,132.2299653,1.4,0827-22-2067,,,,,,352080,山口県岩国市,,1,,,,,,,,68,,,,,,
352080,900044,愛宕小学校,アタゴショウガッコウ,,352080,,山口県岩国市尾津町1-1-11,山口県,岩国市尾津町1-1-11,,,,34.14544027,132.2133239,3.6,0827-31-7020,,,,,,352080,山口県岩国市,1,1,,1,1,,,,,520,,,,,,
352080,900045,高水高校体育館,タカミズコウコウタイイクカン,,352080,,山口県岩国市尾津町2-24-18,山口県,岩国市尾津町2-24-18,,,,34.13800861,132.2043645,7.1,0827-31-7191,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,480,,,,,,
352080,900046,なんわ荘,ナンワソウ,,352080,,山口県岩国市尾津町5-7-30,山口県,岩国市尾津町5-7-30,,,,34.13198787,132.2102898,2,0827-34-0100,,,,,,352080,山口県岩国市,1,1,,1,,,,,,62,,,,,,
352080,900047,地方卸売市場,チホウオロシウリイチバ,,352080,,山口県岩国市尾津町5-11-1,山口県,岩国市尾津町5-11-1,,,,34.12884325,132.2189315,1.8,0827-32-7355,,,,,,352080,山口県岩国市,1,1,,1,,,,,,57,,,,,,
352080,900048,愛宕供用会館,アタゴキョウヨウカイカン,,352080,,山口県岩国市門前町2-35-2,山口県,岩国市門前町2-35-2,,,,34.1458929,132.2122909,5,0827-32-6130,,,,,,352080,山口県岩国市,,1,,1,1,,,,,79,,,,,,
352080,900049,中央図書館,チュウオウトショカン,,352080,,山口県岩国市南岩国町4-52-1,山口県,岩国市南岩国町4-52-1,,,,34.13411881,132.1952872,4.1,0827-31-0046,,,,,,352080,山口県岩国市,1,1,,1,1,,,,,160,,,,,,
352080,900050,灘小学校,ナダショウガッコウ,,352080,,山口県岩国市南岩国町5-60-1,山口県,岩国市南岩国町5-60-1,,,,34.12129872,132.1983669,14.9,0827-31-7233,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,514,,,,,,
352080,900051,灘供用会館,ナダキョウヨウカイカン,,352080,,山口県岩国市藤生町1-10-14,山口県,岩国市藤生町1-10-14,,,,34.11488846,132.1996595,2.7,0827-31-8707,,,,,,352080,山口県岩国市,1,1,,,1,,,,,200,,,,,,
352080,900052,灘中学校,ナダチュウガッコウ,,352080,,山口県岩国市藤生町2-25-1,山口県,岩国市藤生町2-25-1,,,,34.10899254,132.1972528,19.7,0827-32-0211,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,485,,,,,,
352080,900053,岩国総合高校体育館,イワクニソウゴウコウコウタイイクカン,,352080,,山口県岩国市藤生町4-41-1,山口県,岩国市藤生町4-41-1,,,,34.11326443,132.1920873,33.1,0827-31-6155,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,565,,,,,,
352080,900054,中洋小学校,チュウヨウショウガッコウ,,352080,,山口県岩国市青木町2-33-1,山口県,岩国市青木町2-33-1,,,,34.0994948,132.2020536,3.5,0827-38-0338,,,,,,352080,山口県岩国市,1,,,1,1,,,,,771,,,,,,
352080,900055,柱島供用会館,ハシラジマキョウヨウカイカン,,352080,,山口県岩国市柱島132-7,山口県,岩国市柱島132-7,,,,34.02196894,132.4213602,3.3,0827-48-2001,,,,,,352080,山口県岩国市,1,,,1,,,,,,23,,,,,,
352080,900056,小瀬供用会館,オゼキョウヨウカイカン,,352080,,山口県岩国市小瀬285-2,山口県,岩国市小瀬285-2,,,,343.208813,132.192686,7.1,0827-52-3312,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,39,,,,,,
352080,900057,小瀬小学校,オゼショウガッコウ,,352080,,山口県岩国市小瀬288-1,山口県,岩国市小瀬288-1,,,,34.20904609,132.1931389,6.4,0827-52-2813,,,,,,352080,山口県岩国市,,,1,1,1,,,,,211,,,,,,
352080,900058,すばる,スバル,,352080,,山口県岩国市関戸299-2,山口県,岩国市関戸299-2,,,,34.18703663,132.1729983,26.2,0827-43-2727,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,14,,,,,,
352080,900059,ティエラ一番館,ティエライチバンカン,,352080,,山口県岩国市多田3-104-2,山口県,岩国市多田3-104-2,,,,34.18091437,132.1689001,10.4,0827-44-3003,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,85,,,,,,
352080,900060,藤河公民館,フジカワコウミンカン,,352080,,山口県岩国市多田2-117-1,山口県,岩国市多田2-117-1,,,,34.18064733,132.1669539,11,0827-41-0037,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,62,,,,,,
352080,900061,いしい記念病院,イシイキネンビョウイン,,352080,,山口県岩国市多田3-102-1,山口県,岩国市多田3-102-1,,,,34.18160145,132.1666857,11.4,0827-41-0114,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,74,,,,,,
352080,900062,藤河小学校,フジカワショウガッコウ,,352080,,山口県岩国市多田1365-2,山口県,岩国市多田1365-2,,,,34.18568255,132.1601984,20.7,0827-41-0774,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,240,,,,,,
352080,900063,デリカウィング,デリカウイング,,352080,,山口県岩国市田原266-3,山口県,岩国市田原266-3,,,,34.1715903,132.1434097,13.6,0827-43-4411,,,,,,352080,山口県岩国市,,,1,1,1,,,,,51,,,,,,
352080,900064,御庄小学校,ミショウショウガッコウ,,352080,,山口県岩国市御庄1362,山口県,岩国市御庄1362,,,,34.16250037,132.1473676,13.3,0827-46-0016,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,255,,,,,,
352080,900065,ベルコ東山口,ベルコヒガシヤマグチ,,352080,,山口県岩国市御庄4-110-8,山口県,岩国市御庄4-110-8,,,,34.17010556,132.1576258,12,0827-45-0444,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,142,,,,,,
352080,900066,杭名小学校,クイナショウガッコウ,,352080,,山口県岩国市杭名18-2,山口県,岩国市杭名18-2,,,,34.17280016,132.1090792,16,0827-47-3044,,,,,,352080,山口県岩国市,,,1,1,1,,,,,97,,,,,,
352080,900067,桜の園,サクラノソノ,,352080,,山口県岩国市下342-1,山口県,岩国市下342-1,,,,34.16051433,132.0934578,17,0827-47-3100,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,217,,,,,,
352080,900068,北河内公民館,キタゴウチコウミンカン,,352080,,山口県岩国市下446-2,山口県,岩国市下446-2,,,,34.16290326,132.0907,18,0827-47-3001,,,,,,352080,山口県岩国市,,,1,,1,,,,,44,,,,,,
352080,900069,天尾小学校（休校）,テンノオショウガッコウ（キュウコウ）,,352080,,山口県岩国市天尾262,山口県,岩国市天尾262,,,,34.172028,132.064851,34.4,0827-47-3215,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,40,,,,,,
352080,900070,南河内公民館,ミナミゴウチコウミンカン,,352080,,山口県岩国市土生39-3,山口県,岩国市土生39-3,,,,34.15221749,132.1034344,54,0827-47-2001,,,,,,352080,山口県岩国市,1,1,1,,1,,,,,35,,,,,,
352080,900071,河内小学校,コウチショウガッコウ,,352080,,山口県岩国市土生82,山口県,岩国市土生82,,,,34.1523574,132.1022235,75,0827-47-2005,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,,222,,,,,,
352080,900072,岩国西中学校,イワクニニシチュウガッコウ,,352080,,山口県岩国市角77-1,山口県,岩国市角77-1,,,,34.16694153,132.1054602,13,0827-47-2009,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,325,,,,,,
352080,900073,柱野小学校,ハシラノショウガッコウ,,352080,,山口県岩国市柱野1092-3,山口県,岩国市柱野1092-3,,,,34.13175119,132.1488798,36,0827-46-1006,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,,201,,,,,,
352080,900074,つづの里,ツヅノサト,,352080,,山口県岩国市通津1117-297,山口県,岩国市通津1117-297,,,,34.08027505,132.2034279,35,0827-39-1021,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,,62,,,,,,
352080,900075,通津公民館・供用会館,ツヅコウミンカン・キョウヨウカイカン,,352080,,山口県岩国市通津2571-5,山口県,岩国市通津2571-5,,,,34.07154217,132.2071804,2.7,0827-38-1001,,,,,,352080,山口県岩国市,1,1,,1,1,,,,,91,,,,,,
352080,900076,通津小学校,ツヅショウガッコウ,,352080,,山口県岩国市通津2720,山口県,岩国市通津2720,,,,34.07405798,132.2043361,4.8,0827-38-1011,,,,,,352080,山口県岩国市,1,1,,1,1,,,,,405,,,,,,
352080,900077,由宇文化会館,ユウブンカカイカン,,352080,,山口県岩国市由宇町中央1-1-15,山口県,岩国市由宇町中央1-1-15,,,,34.04676904,132.2116361,1.5,0827-63-0121,,,,,,352080,山口県岩国市,,1,,1,,,,,1,93,,,,,,
352080,900078,由宇文化スポーツセンター,ユウブンカスポーツセンター,,352080,,山口県岩国市由宇町南沖1-13-1,山口県,岩国市由宇町南沖1-13-1,,,,34.04017336,132.214756,3.9,0827-63-1400,,,,,,352080,山口県岩国市,1,1,,1,1,,,,,354,,,,,,
352080,900079,由宇中学校,ユウチュウガッコウ,,352080,,山口県岩国市由宇町北5-2-1,山口県,岩国市由宇町北5-2-1,,,,34.04652102,132.2001436,3.4,0827-63-0950,,,,,,352080,山口県岩国市,,,,1,1,,,,,577,,,,,,
352080,900080,由宇小学校,ユウショウガッコウ,,352080,,山口県岩国市由宇町中央2-10-1,山口県,岩国市由宇町中央2-10-1,,,,34.04435097,132.2087347,1.6,0827-63-0410,,,,,,352080,山口県岩国市,,,,1,1,,,,,742,,,,,,
352080,900081,由宇老人福祉センター,ユウロウジンフクシセンター,,352080,,山口県岩国市由宇町802,山口県,岩国市由宇町802,,,,34.02961068,132.1661083,25.8,0827-63-0675,,,,,,352080,山口県岩国市,1,,1,,1,,,,1,40,,,,,,
352080,900082,由西小学校,ユセイショウガッコウ,,352080,,山口県岩国市由宇町3300,山口県,岩国市由宇町3300,,,,34.03653264,132.1763715,25.5,0827-63-0920,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,91,,,,,,
352080,900083,神東小学校,シントウショウガッコウ,,352080,,山口県岩国市由宇町神東448-1,山口県,岩国市由宇町神東448-1,,,,34.0028522,132.211993,39,0827-63-2269,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,171,,,,,,
352080,900084,神東婦人の家・神東農家研修センター,シントウフジンノイエ・シントウノウカケンシュウセンター,,352080,,山口県岩国市由宇町神東451-5,山口県,岩国市由宇町神東451-5,,,,34.00139206,132.2111026,35.3,0827-63-0770,,,,,,352080,山口県岩国市,1,1,1,,1,,,,,35,,,,,,
352080,900085,玖珂東部コミュニティセンター,クガトウブコミュニティセンター,,352080,,山口県岩国市玖珂町1610,山口県,岩国市玖珂町1610,,,,34.10622395,132.1028739,84.7,0827-82-2511,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,34,,,,,,
352080,900086,玖珂野口コミュニティセンター,クガノグチコミュニティセンター,,352080,,山口県岩国市玖珂町1052-3,山口県,岩国市玖珂町1052-3,,,,34.09852731,132.091383,63,0827-82-2511,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,45,,,,,,
352080,900087,玖珂総合公園管理棟,クガソウゴウコウエンカンリトウ,,352080,,山口県岩国市玖珂町3800-1,山口県,岩国市玖珂町3800-1,,,,34.07897865,132.0993189,89,0827-81-0350,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,,34,,,,,,
352080,900088,玖珂柳井田コミュニティセンター,クガヤナイダコミュニティセンター,,352080,,山口県岩国市玖珂町3627-9,山口県,岩国市玖珂町3627-9,,,,34.08289576,132.1005318,66.8,0827-82-2511,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,57,,,,,,
352080,900089,玖珂大田コミュニティセンター,クガオオタコミュニティセンター,,352080,,山口県岩国市玖珂町4124-1,山口県,岩国市玖珂町4124-1,,,,34.08770367,132.0853197,52.4,0827-82-2511,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,,40,,,,,,
352080,900135,総合センター奏,ソウゴウセンターカナデ,,352080,,山口県岩国市玖珂町4933-2,山口県,岩国市玖珂町4933-2,,,,34.09048295,132.0838648,52,0827-82-2511,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,,186,,,,,,
352080,900091,玖珂小学校,クガショウガッコウ,,352080,,山口県岩国市玖珂町527-2,山口県,岩国市玖珂町527-2,,,,34.09580591,132.0805233,62.4,0827-82-2039,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,1,514,,,,,,
352080,900092,玖珂こどもの館,クガコドモカン,,352080,,山口県岩国市玖珂町5330,山口県,岩国市玖珂町5330,,,,34.09349729,132.0800914,59.3,0827-82-5446,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,1,125,,,,,,
352080,900093,玖珂中学校,クガチュウガッコウ,,352080,,山口県岩国市玖珂町6345,山口県,岩国市玖珂町6345,,,,34.0985044,132.076059,68.4,0827-82-2054,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,,462,,,,,,
352080,900094,高森高校体育館,タカモリコウコウタイイクカン,,352080,,山口県岩国市玖珂町1253,山口県,岩国市玖珂町1253,,,,34.09337303,132.057152,56.9,0827-82-3234,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,114,,,,,,
352080,900095,玖珂北部コミュニティセンター,クガホクブコミュニティセンター,,352080,,山口県岩国市玖珂町627-2,山口県,岩国市玖珂町627-2,,,,34.10241386,132.0803852,74.5,0827-82-2511,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,,38,,,,,,
352080,900096,周東川越健康増進センター,シュウトウカワゴエケンコウゾウシンセンター,,352080,,山口県岩国市周東町三瀬川482-1,山口県,岩国市周東町三瀬川482-1,,,,34.1564444,131.9714707,293,0827-86-0116,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,,80,,,,,,
352080,900136,周東川越交流センター,シュウトウカワゴエコウリュウセンター,,352080,,山口県岩国市周東町獺越10825-13,山口県,岩国市周東町獺越10825-13,,,,34.11298605,132.0030043,204,0827-86-0116,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,,12,,,,,,
352080,900098,周北小学校,シュウホクショウガッコウ,,352080,,山口県岩国市周東町獺越2161,山口県,岩国市周東町獺越2161,,,,34.12439692,132.0048785,182.5,0827-86-0212,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,165,,,,,,
352080,900099,修成小学校,シュウセイショウガッコウ,,352080,,山口県岩国市周東町西長野1141,山口県,岩国市周東町西長野1141,,,,34.09046052,132.0072371,87,0827-84-0614,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,217,,,,,,
352080,900100,周東米川公民館,シュウトウヨネガワコウミンカン,,352080,,山口県岩国市周東町下須通378,山口県,岩国市周東町下須通378,,,,34.09118566,132.012709,92,0827-84-0002,,,,,,352080,山口県岩国市,1,,1,,1,,,,,38,,,,,,
352080,900101,川上小学校,カワカミショウガッコウ,,352080,,山口県岩国市周東町下久原3032,山口県,岩国市周東町下久原3032,,,,34.10870045,132.0472314,61.5,0827-84-0507,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,222,,,,,,
352080,900102,周東中央公民館（総合センター日向）,シュウトウチュウオウコウミンカン,,352080,,山口県岩国市周東町下久原1208-1,山口県,岩国市周東町下久原1208-1,,,,34.09320454,132.0518586,47.9,0827-84-7709,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,136,,,,,,
352080,900103,高森小学校,タカモリショウガッコウ,,352080,,山口県岩国市周東町下久原1176,山口県,岩国市周東町下久原1176,,,,34.09096149,132.0523479,44.4,0827-84-0014,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,617,,,,,,
352080,900104,周東体育センター・周東勤労青少年ホーム,シュウトウタイイクセンター・シュウトウキンロウセイショウネンホーム,,352080,,山口県岩国市周東町用田137-8,山口県,岩国市周東町用田137-8,,,,34.08049089,132.0493237,58.1,0827-84-1400,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,1,343,,,,,,
