ＮＯ,名称,名称カナ,住所,緯度,経度,管理先電話番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収用人数,ＵＲＬ,備　考
11,日新中学校,ニッシンチュウガッコウ,山口県下関市上田中町1丁目15－1,33.96781351,130.9373714,083-223-7259,35201,山口県,下関市,1,,1,1,1,,,,1,270(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
12,向洋中学校,コウヨウチュウガッコウ,山口県下関市向洋町1丁目14－1,33.96475833,130.930144,083-223-8208,35201,山口県,下関市,1,1,1,1,1,,,,1,397(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
13,下関運動公園,シモノセキウンドウコウエン,山口県下関市向洋町1丁目,33.96474609,130.9315148,083-231-1933,35201,山口県,下関市,1,1,1,1,1,,,,,41600(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
14,名陵中学校,メイリョウチュウガッコウ,山口県下関市丸山町1丁目13－3,33.9584003,130.9366873,083-222-1435,35201,山口県,下関市,1,1,1,1,1,,,,1,252(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
15,日和山公園,ヒヨリヤマコウエン,山口県下関市丸山町5丁目,33.95462541,130.9310782,083-231-1933,35201,山口県,下関市,1,,1,1,1,,,,,3666(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
16,生涯学習プラザ,ショウガイガクシュウプラザ,山口県下関市細江町3丁目1‐1,33.95138594,130.9302451,083-231-1234,35201,山口県,下関市,1,1,,1,1,,,,1,271(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
17,茶山集会所（憩の家隣）,チャヤマシュウカイショ（イコイノイエトナリ）,山口県下関市長門町１-１,33.95345361,130.9265716,083-231-9333,35201,山口県,下関市,1,1,1,1,1,,,,1,27(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
18,西部公民館,セイブコウミンカン,山口県下関市伊崎町1丁目4-30,33.95353248,130.9197835,083-231-6587,35201,山口県,下関市,1,1,,,1,,,,1,241(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
19,文洋中学校,ブンヨウチュウガッコウ,山口県下関市上新地町5丁目6－1,33.95791765,130.9134494,083-223-8176,35201,山口県,下関市,1,,1,1,1,,,,1,249(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
20,桜山小学校,サクラヤマショウガッコウ,山口県下関市上新地町2丁目5－10,33.96067917,130.9201798,083-222-2649,35201,山口県,下関市,1,,1,1,1,,,,1,261(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
21,桜山近隣公園,サクラヤマキンリンコウエン,山口県下関市上新地町2丁目,33.96219052,130.9203412,083-231-1933,35201,山口県,下関市,1,,1,1,1,,,,,3333(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
22,神田小学校,カンダショウガッコウ,山口県下関市西神田町5－1,33.96007219,130.9229468,083-222-6795,35201,山口県,下関市,1,,1,1,1,,,,1,267(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
23,関西小学校,カンサイショウガッコウ,山口県下関市関西町12－1,33.95793097,130.9270496,083-222-3166,35201,山口県,下関市,1,,1,1,1,,,,1,321(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
24,大和町漁港町内会事務所,ヤマトマチギョコウチョウナイカイジムショ,山口県下関市大和町1丁目5－10,33.94800916,130.9197741,083-267-4898,35201,山口県,下関市,1,1,,,1,,,,1,30(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
25,公益社団法人下関市ｼﾙﾊﾞｰ人材ｾﾝﾀｰ,コウエキシャダンホウジンシモノセキシシルバージンザイセンター,山口県下関市東大和町2丁目4－3,33.94148879,130.9190673,083-267-5900,35201,山口県,下関市,1,1,,,1,,,,1,50(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
26,下関市民会館,シモノセキシミンカイカン,山口県下関市竹崎町4丁目5-1,33.94875571,130.9253547,083-231-6401,35201,山口県,下関市,1,1,,1,1,,,,1,3771(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
27,金比羅公園,コンピラコウエン,山口県下関市金比羅町,33.96916223,130.9158151,083-231-1933,35201,山口県,下関市,1,,1,1,1,,,,,36666(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
28,複合福祉施設フロイデ金比羅,フクゴウフクシシセツフロイデコンピラ,山口県下関市金比羅町10-1,33.9698671,130.9171779,083-231-9333,35201,山口県,下関市,1,1,1,1,1,,,,1,51(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
29,幡生保育園,ハタブホイクエン,山口県下関市幡生宮の下町25－13,33.9847506,130.9317994,083-253-5656,35201,山口県,下関市,1,1,1,,1,,,,1,114(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
30,生野小学校,イクノショウガッコウ,山口県下関市幡生本町7－14,33.97807295,130.9286527,083-252-2044,35201,山口県,下関市,1,1,1,1,1,,,,1,309(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
31,幡生宮の下近隣公園,ハタブミヤノシタキンリンコウエン,山口県下関市幡生宮の下町,33.98163443,130.9308743,083-231-1933,35201,山口県,下関市,1,1,1,1,1,,,,,4600(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
32,向山小学校,ムカイヤマショウガッコウ,山口県下関市向山町14－1,33.96766093,130.9259498,083-223-8366,35201,山口県,下関市,1,,1,1,1,,,,1,312(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
33,山の田中学校,ヤマノタチュウガッコウ,山口県下関市山の田本町8－1,33.9893755,130.9271175,083-252-0488,35201,山口県,下関市,1,1,1,1,1,,,,1,328(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
34,下関商業高等学校,シモノセキショウギョウコウトウガッコウ,山口県下関市後田町4丁目11－1,33.97331548,130.9278419,083-223-4278,35201,山口県,下関市,1,,1,1,1,,,,1,1061(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
35,一里山公園,イチリヤマコウエン,山口県下関市椋野町1丁目,33.97404901,130.9419229,083-231-1933,35201,山口県,下関市,1,,1,1,1,,,,,54000(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
36,椋野町民館,ムクノチョウミンカン,山口県下関市椋野町2丁目13－4,33.97619804,130.9476856,083-224-2512,35201,山口県,下関市,1,1,1,,1,,,,1,40(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
37,三河公園,ミカワコウエン,山口県下関市三河町１５番,33.98591305,130.9421576,083-231-1933,35201,山口県,下関市,1,1,1,1,1,,,,,1833(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
38,伝武館,デンブカン,山口県下関市武久町1丁目57－10,33.98133822,130.9235657,083-251-6678,35201,山口県,下関市,1,1,1,,1,,,,1,40(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
39,武久永命寺公園,タケヒサヨウメイジコウエン,山口県下関市武久町1丁目,33.98121124,130.9219684,083-231-1933,35201,山口県,下関市,1,1,1,1,1,,,,,533(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
40,武久会館,タケヒサカイカン,山口県下関市武久町2丁目24-5,33.97958922,130.917519,083-252-0971,35201,山口県,下関市,1,1,,1,,,,,1,50(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
41,西の尾団地集会所,ニシノオダンチシュウカイショ,山口県下関市後田町5丁目2－5,33.97120302,130.9304999,083-232-9584,35201,山口県,下関市,1,1,1,1,1,,,,1,40(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
42,戦場ヶ原公園,センジョウガハラコウエン,山口県下関市後田町5丁目,33.9757183,130.9315379,083-231-1933,35201,山口県,下関市,1,,1,1,1,,,,,58000(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
43,大坪ふれあい会館,オオツボフレアイカイカン,山口県下関市藤附町2－4,33.96669671,130.9216193,083-231-9333,35201,山口県,下関市,1,1,1,1,1,,,,1,70(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
44,下関市立大学,シモノセキシリツダイガク,山口県下関市大学町2丁目1－1,33.9878409,130.9346937,083-252-0288,35201,山口県,下関市,1,,1,1,1,,,,1,1092(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
45,権現山公園,ゴンゲンヤマコウエン,山口県下関市大学町3丁目,33.99024689,130.9378491,083-231-1933,35201,山口県,下関市,1,,1,1,1,,,,,9333(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
46,えのき公園,エノキコウエン,山口県下関市稗田中町５番,33.99614034,130.9275269,083-231-1933,35201,山口県,下関市,1,1,1,1,1,,,,,1500(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
47,北部公民館,ホクブコウミンカン,山口県下関市山の田東町4－13,33.9860173,130.9282923,083-253-3371,35201,山口県,下関市,1,1,1,,1,,,,1,227(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
48,勤労婦人センター,キンロウフジンセンター,山口県下関市山の田東町4－13,33.98600543,130.9283406,083-253-2518,35201,山口県,下関市,1,1,1,,1,,,,1,202(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
49,山の田小学校,ヤマノタショウガッコウ,山口県下関市山の田中央町13－1,33.98756075,130.9253419,083-252-3735,35201,山口県,下関市,1,1,1,1,1,,,,1,270(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
50,下関市民センター,シモノセキシミンセンター,山口県下関市東神田町9－1,33.96112344,130.9271313,083-231-9616,35201,山口県,下関市,1,1,1,1,1,,,,1,353(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
51,下関西高等学校,シモノセキニシコウトウガッコウ,山口県下関市後田町4丁目10-1,33.97250607,130.9292294,083-222-0892,35201,山口県,下関市,1,1,1,1,1,,,,1,653(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
52,下関南高等学校,シモノセキミナミコウトウガッコウ,山口県下関市後田町1丁目8-1,33.96900955,130.9318833,083-222-4039,35201,山口県,下関市,1,,1,1,1,,,,1,551(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
53,下関中央工業高等学校,シモノセキチュウオウコウギョウコウトウガッコウ,山口県下関市後田町4丁目25-1,33.97370111,130.9249618,083-223-4117,35201,山口県,下関市,1,,1,1,1,,,,1,563(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
54,下関南総合支援学校,シモノセキミナミソウゴウシエンガッコウ,山口県下関市幡生町1丁目1-22,33.97631119,130.9377552,083-232-1431,35201,山口県,下関市,1,,1,1,1,,,,1,264(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
55,彦島公民館,ヒコシマコウミンカン,山口県下関市彦島江の浦町1丁目3－1,33.93709673,130.9144519,083-267-1344,35201,山口県,下関市,1,1,1,1,1,,,,1,415(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
56,江浦小学校,エノウラショウガッコウ,山口県下関市彦島江の浦町3丁目4－1,33.93007637,130.914831,083-266-0067,35201,山口県,下関市,1,1,,1,1,,,,1,306(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
57,彦島第二保育園,ヒコシマダイニホイクエン,山口県下関市彦島西山町1丁目10－7,33.94385569,130.8862451,083-266-3834,35201,山口県,下関市,,1,,1,,,,,1,84(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
58,山中町民館,ヤマナカチョウミンカン,山口県下関市彦島山中町2丁目4－9,33.92267188,130.9207224,083-266-2670,35201,山口県,下関市,1,1,1,1,1,,,,1,50(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
59,老町公会堂,オイマチコウカイドウ,山口県下関市彦島老町1丁目10－24,33.94645285,130.9129315,083-266-2301,35201,山口県,下関市,1,,,,1,,,,1,40(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
60,老の山公園,オイノヤマコウエン,山口県下関市彦島老の山公園,33.94630501,130.904249,083-231-1933,35201,山口県,下関市,1,,1,1,1,,,,,67766(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
61,本村公会堂,ホンムラコウカイドウ,山口県下関市彦島本村町5丁目4－7,33.94212284,130.9110664,083-266-2219,35201,山口県,下関市,1,1,,,1,,,,1,50(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
62,角倉小学校,スマクラショウガッコウ,山口県下関市彦島角倉町3丁目5－5,33.92484563,130.9157738,083-266-0718,35201,山口県,下関市,1,,1,1,1,,,,1,348(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
63,角倉町民館,スマクラチョウミンカン,山口県下関市彦島角倉町3丁目3－28,33.92629086,130.9165995,083-267-5551,35201,山口県,下関市,1,1,,1,1,,,,1,50(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
64,船員宿舎,センインシュクシャ,山口県下関市大字六連島字空方137-2,33.97475363,130.865246,083-261-1010 ,35201,山口県,下関市,1,,1,,1,,,,1,15(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
65,本村小学校,ホンムラショウガッコウ,山口県下関市彦島本村町3丁目16－1,33.9451857,130.9101341,083-266-3288,35201,山口県,下関市,1,1,1,1,1,,,,1,268(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
66,彦島地区公園,ヒコシマチクコウエン,山口県下関市彦島迫町4丁目,33.93896774,130.9046537,083-231-1933,35201,山口県,下関市,1,,1,1,1,,,,,20000(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
67,西山小学校,ニシヤマショウガッコウ,山口県下関市彦島迫町5丁目13－21,33.942446,130.8960723,083-266-0159,35201,山口県,下関市,1,1,1,1,1,,,,1,296(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
68,向井小学校,ムカイショウガッコウ,山口県下関市彦島向井町2丁目20－1,33.91729928,130.9178797,083-267-6700,35201,山口県,下関市,1,1,1,1,1,,,,1,296(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
69,彦島中学校,ヒコシマチュウガッコウ,山口県下関市彦島江の浦町2丁目25－1,33.93361788,130.9113156,083-266-5266,35201,山口県,下関市,1,,1,1,1,,,,1,272(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
70,玄洋中学校,ゲンヨウチュウガッコウ,山口県下関市彦島本村町2丁目8－1,33.94299707,130.9062956,083-266-3269,35201,山口県,下関市,1,1,1,1,1,,,,1,380(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
71,玄洋公民館,ゲンヨウコウミンカン,山口県下関市彦島西山町4丁目1－28,33.94640362,130.8829471,083-266-5455,35201,山口県,下関市,1,1,,1,1,,,,1,433(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
72,江の浦町民館,エノウラチョウミンカン,山口県下関市彦島江の浦町6丁目4-5,33.93648249,130.9184782,083-267-0246,35201,山口県,下関市,1,1,,1,1,,,,1,50(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
73,フロイデ彦島,フロイデヒコシマ,山口県下関市彦島西山町3丁目12-1,33.94465749,130.8798725,083-261-5081,35201,山口県,下関市,1,,1,1,1,,,,1,30(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
74,下関中等教育学校,シモノセキチュウトウキョウイクガッコウ,山口県下関市彦島老町2丁目21-1,33.94799656,130.9062869,083-266-4100,35201,山口県,下関市,1,,1,1,1,,,,1,694(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
75,彦島南公園,ヒコシマミナミコウエン,山口県下関市彦島弟子待町3丁目,33.91574446,130.9224537,083-231-1933,35201,山口県,下関市,1,1,1,1,1,,,,,32333(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
76,西山町自治会館,ニシヤマチョウジチカイカン,山口県下関市彦島西山町１丁目９－２９,33.94337022,130.8875849,083-266-4426,35201,山口県,下関市,1,1,1,1,1,,,,1,95(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
77,京野第２公園,キョウノダイ２コウエン,山口県下関市彦島塩浜町3丁目,33.91741733,130.9095185,083-231-1933,35201,山口県,下関市,1,1,1,1,1,,,,,400(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
78,福浦第２公園,フクウラダイ２コウエン,山口県下関市彦島福浦町1丁目,33.92769906,130.9047446,083-231-1933,35201,山口県,下関市,1,,1,1,1,,,,,100(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
79,彦島体育館,ヒコシマタイイクカン,山口県下関市彦島迫町4丁目16-1,33.9385003,130.9031146,083-231-9333,35201,山口県,下関市,1,,1,1,1,,,,1,420(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
80,特別養護老人ホーム アイユウの苑,トクベツヨウゴロウジンホーム アイユウノソノ,山口県下関市彦島迫町3丁目17-2,33.9383248,130.8983747,083-266-8287,35201,山口県,下関市,1,,1,1,1,,,,1,137(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
81,豊浦高等学校,トヨウラコウトウガッコウ,山口県下関市長府宮崎町１－１,33.99120307,130.9921642,083-245-2161,35201,山口県,下関市,1,1,,1,1,,,,1,510(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
82,関見台公園,セキミダイコウエン,山口県下関市長府宮崎町,33.98943509,130.9940063,083-231-1933,35201,山口県,下関市,1,,1,1,1,,,,,9666(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
83,長府中学校,チョウフチュウガッコウ,山口県下関市長府逢坂町3－1,33.99800971,130.9824176,083-246-2157,35201,山口県,下関市,1,,1,1,1,,,,1,411(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
84,豊浦小学校,トヨウラショウガッコウ,山口県下関市長府亀の甲2丁目2－1,34.00305167,130.9885685,083-246-1681,35201,山口県,下関市,1,1,1,1,1,,,,1,468(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
85,長府小学校,チョウフショウガッコウ,山口県下関市長府松小田北町14－1,34.02117045,130.9963831,083-246-0920,35201,山口県,下関市,1,,1,1,1,,,,1,377(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
86,長府第２保育園,チョウフダイ２ホイクエン,山口県下関市長府中六波町12－26,34.01322072,130.9914301,083-245-0044,35201,山口県,下関市,1,1,1,,1,,,,1,84(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
87,長府公民館,チョウフコウミンカン,山口県下関市長府土居の内町1－6,33.99886123,130.9907888,"083-245-0121（支所）
083-246-3413",35201,山口県,下関市,1,1,1,1,1,,,,1,220(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
88,すみれ保育園,スミレホイクエン,山口県下関市前田1丁目9－1,33.97426699,130.9698823,083-246-3413,35201,山口県,下関市,1,,1,1,1,,,,1,105(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
89,長成中学校,チョウセイチュウガッコウ,山口県下関市長府日の出町4－1,34.01570706,130.9936519,083-245-6490,35201,山口県,下関市,1,,1,1,1,,,,1,708(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
90,長府東公民館,チョウフヒガシコウミンカン,山口県下関市長府松小田本町4－15,34.01910239,130.9997692,083-246-1266,35201,山口県,下関市,1,1,1,1,1,,,,1,273(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
91,長府運動場,チョウフウンドウジョウ,山口県下関市長府江下町,34.01184498,130.9962857,083-231-2739,35201,山口県,下関市,1,1,,1,1,,,,,3333(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
92,西部高等産業技術学校,セイブコウトウサンギョウギジュツガッコウ,山口県下関市千鳥ヶ丘町21-3,34.03120808,131.0068643,083-231-9333,35201,山口県,下関市,1,,1,1,1,,,,1,476(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
93,千鳥ヶ丘２号公園,チドリガオカ２ゴウコウエン,山口県下関市長府千鳥ヶ丘,34.03333074,131.0065175,083-231-1933,35201,山口県,下関市,1,,1,1,1,,,,,533(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
94,下関市長府扇町第1運動広場,シモノセキシチョウフオオギマチダイ1ウンドウヒロバ,山口県下関市長府扇町7番,34.01874432,131.0080208,083-246-6311,35201,山口県,下関市,1,1,,1,1,,,,,12566(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
95,扇町運動広場,オオギマチウンドウヒロバ,山口県下関市長府扇町,34.01683463,131.0135834,083-231-2739,35201,山口県,下関市,1,1,,1,1,,,,,3666(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
96,掛州公園,カケスコウエン,山口県下関市長府才川2丁目,34.02454213,131.0052206,083-231-1933,35201,山口県,下関市,1,,1,1,1,,,,,266(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
97,陽向台公園,ヨウコウダイコウエン,山口県下関市長府才川2丁目,34.02271276,131.0005005,083-231-1933,35201,山口県,下関市,1,,1,1,1,,,,,166(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
98,さつきヶ丘児童公園,サツキガオカジドウコウエン,山口県下関市長府満珠町,34.014827,130.9864895,083-231-1933,35201,山口県,下関市,1,1,1,1,1,,,,,366(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
