全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
352039,E3520300036202,大内中学校体育館,オオウチチュウガッコウタイイクカン,,352039,34000,山口県山口市大内長野555,山口県,山口市,大内長野,555,,34.153724,131.520521,,(083)927-0024,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,672,,,,,0
352039,E3520300147201,大内中学校校舎,オオウチチュウガッコウコウシャ,,352039,34000,山口県山口市大内長野555,山口県,山口市,大内長野,555,,34.154431,131.520474,,(083)927-0024,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,2107,,,,,0
352039,E3520300148202,大内幼稚園,オオウチヨウチエン,,352039,36001,山口県山口市大内矢田北一丁目11ｰ24,山口県,山口市,大内矢田北一丁目,11ｰ24,,34.15866256,131.501353,,(083)927-2497,,,,,,352039,山口市,×,〇,〇,〇,〇,×,×,×,〇,147,,,,,0
352039,E3520300153201,やまぐちリフレッシュパーク,ヤマグチリフレッシュパーク,,352039,34000,山口県山口市大内長野1107,山口県,山口市,大内長野,1107,,34.159212,131.524181,,(083)927-7211,,,,,,352039,山口市,〇,×,〇,〇,〇,×,×,×,〇,1070,,,,,0
352039,E3520300154202,山口県立山口中央高等学校アリーナ,ヤマグチケンリツヤマグチチュウオウコウトウガッコウアリーナ,,352039,148000,山口県山口市宮島町6ｰ1,山口県,山口市,宮島町,6ｰ1,,34.166497,131.479046,,(083)922-0032,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,423,,,,,0
352039,E3520300112201,宮野地域交流センター,ミヤノチイキコウリュウセンター,,352039,150000,山口県山口市宮野下3054,山口県,山口市,宮野下,3054,,34.1998838,131.5075319,,(083)928-0250,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,583,,,,,1
352039,E3520300114202,宮野小学校体育館,ミヤノショウガッコウタイイクカン,,352039,150000,山口県山口市宮野下3017,山口県,山口市,宮野下,3017,,34.200221,131.505892,,(083)928-0244,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,510,,,,,0
352039,E3520300107201,宮野小学校校舎,ミヤノショウガッコウコウシャ,,352039,150000,山口県山口市宮野下3017,山口県,山口市,宮野下,3017,,34.199952,131.506491,,(083)928-0244,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,1790,,,,,0
352039,E3520300106202,宮野中学校体育館,ミヤノチュウガッコウタイイクカン,,352039,84004,山口県山口市桜畠四丁目9ｰ1,山口県,山口市,桜畠四丁目,9ｰ1,,34.197587,131.501747,,(083)928-0144,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,503,,,,,0
352039,E3520300150202,宮野中学校校舎,ミヤノチュウガッコウコウシャ,,352039,84004,山口県山口市桜畠四丁目9ｰ1,山口県,山口市,桜畠四丁目,9ｰ1,,34.197466,131.501061,,(083)928-0144,,,,,,352039,山口市,〇,×,〇,〇,〇,×,×,×,〇,1378,,,,,0
352039,E3520300150201,宮野幼稚園,ミヤノヨウチエン,,352039,150000,山口県山口市宮野下3000ｰ1,山口県,山口市,宮野下,3000ｰ1,,34.19921157,131.5051846,,(083)928-0105,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,224,,,,,0
352039,E3520300072201,山口市スポーツの森,ヤマグチシスポーツノモリ,,352039,149000,山口県山口市宮野上237,山口県,山口市,宮野上,237,,34.20629739,131.508024,,(083)928-1120,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,4500,,,,,0
352039,E3520300070202,山口ふれあい館,ヤマグチフレアイカン,,352039,149000,山口県山口市宮野上1222,山口県,山口市,宮野上,1222,,34.21947453,131.5129353,,(083)923-3351,,,,,,352039,山口市,〇,×,〇,〇,〇,×,×,×,〇,550,,,,,0
352039,E3520300032201,三の宮保育園,サンノミヤホイクエン,,352039,87000,山口県山口市芝崎町9ｰ73,山口県,山口市,芝崎町,9ｰ73,,34.188245,131.489163,,(083)924-0327,,,,,,352039,山口市,〇,〇,〇,×,〇,×,×,×,〇,163,,,,,0
352039,E3520300047202,公立大学法山口県立大学体育館,コウリツダイガクホウヤマグチケンリツダイガクタイイクカン,,352039,84003,山口県山口市桜畠三丁目2ｰ1,山口県,山口市,桜畠三丁目,2ｰ1,,34.194642,131.497787,,(083)928-0211,,,,,,352039,山口市,〇,〇,〇,×,〇,×,×,×,〇,525,,,,,0
352039,E3520300051201,社会福祉法人ふしの学園地域交流　スペース・デイサービス・和室,"シャカイフクシホウジンフシノガクエンチイキコウリュウ
スペース・デイサービス・ワシツ",,352039,149000,山口県山口市宮野上3346,山口県,山口市,宮野上,3346,,34.19359871,131.5177025,,(083)928-0415,,,,,,352039,山口市,〇,〇,〇,×,〇,×,×,×,〇,159,,,,,0
352039,E3520300052202,大殿地域交流センター,オオドノチイキコウリュウセンター,,352039,39000,山口県山口市大殿大路120ｰ4,山口県,山口市,大殿大路,120ｰ4,,34.18330471,131.4798065,,(083)924-5592,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,333,,,,,1
352039,E3520300079201,大殿小学校体育館,オオドノショウガッコウタイイクカン,,352039,39000,山口県山口市大殿大路213,山口県,山口市,大殿大路,213,,34.18325,131.481709,,(083)922-0343,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,527,,,,,0
352039,E3520300080201,大殿小学校校舎,オオドノショウガッコウコウシャ,,352039,39000,山口県山口市大殿大路213,山口県,山口市,大殿大路,213,,34.182747,131.481081,,(083)922-0343,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,1719,,,,,0
352039,E3520300065201,大殿中学校体育館,オオドノチュウガッコウタイイクカン,,352039,141001,山口県山口市古熊一丁目4ｰ1,山口県,山口市,古熊一丁目,4ｰ1,,34.177004,131.483986,,(083)922-0688,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,540,,,,,0
352039,E3520300067201,大殿中学校校舎,オオドノチュウガッコウコウシャ,,352039,141001,山口県山口市古熊一丁目4ｰ1,山口県,山口市,古熊一丁目,4ｰ1,,34.17695,131.484587,,(083)922-0688,,,,,,352039,山口市,〇,×,〇,〇,〇,×,×,×,〇,1397,,,,,0
352039,E3520300003201,山口ふるさと伝承総合センター,ヤマグチフルサトデンショウソウゴウセンター,,352039,91000,山口県山口市下竪小路12,山口県,山口市,下竪小路,12,,34.18353736,131.4781939,,(083)928-3333,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,120,,,,,0
352039,E3520300002201,社会福祉センターしらさぎ会館３階・４階,シャカイフクシセンターシラサギカイカン３カイ・４カイ,,352039,107000,山口県山口市堂の前町1ｰ5,山口県,山口市,堂の前町,1ｰ5,,34.18073022,131.4807303,,(083)922-3666,,,,,,352039,山口市,〇,〇,〇,×,〇,×,×,×,〇,123,,,,,0
352039,E3520300134201,白石地域交流センター,シライシチイキコウリュウセンター,,352039,143001,山口県山口市本町一丁目1ｰ25,山口県,山口市,本町一丁目,1ｰ25,,34.174029,131.473621,,(083)922-0381,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,399,,,,,1
352039,E3520300135201,白石小学校体育館,シライシショウガッコウタイイクカン,,352039,93001,山口県山口市白石一丁目10ｰ1,山口県,山口市,白石一丁目,10ｰ1,,34.177056,131.470826,,(083)922-0063,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,373,,,,,0
352039,E3520300132201,白石小学校校舎,シライシショウガッコウコウシャ,,352039,93001,山口県山口市白石一丁目10ｰ1,山口県,山口市,白石一丁目,10ｰ1,,34.17703,131.4701,,(083)922-0063,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,2071,,,,,0
352039,E3520300131202,白石中学校体育館,シライシチュウガッコウタイイクカン,,352039,93002,山口県山口市白石二丁目7ｰ1,山口県,山口市,白石二丁目,7ｰ1,,34.176463,131.469746,,(083)922-0387,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,564,,,,,0
352039,E3520300129201,白石中学校校舎,シライシチュウガッコウコウシャ,,352039,93002,山口県山口市白石二丁目7ｰ1,山口県,山口市,白石二丁目,7ｰ1,,34.176612,131.469076,,(083)922-0387,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,1761,,,,,0
352039,E3520300127202,山口市民会館,ヤマグチシミンカイカン,,352039,103002,山口県山口市中央二丁目5ｰ1,山口県,山口市,中央二丁目,5ｰ1,,34.17723719,131.474143,,(083)923-1000,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,1000,,,,,0
352039,E3520300121201,山口情報芸術センター,ヤマグチジョウホウゲイジュツセンター,,352039,130000,山口県山口市中園町7ｰ7,山口県,山口市,中園町,7ｰ7,,34.16957486,131.4672672,,(083)901-2222,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,1024,,,,,0
352039,E3520300120202,山口保育園,ヤマグチホイクエン,,352039,9001,山口県山口市旭通り一丁目6ｰ19,山口県,山口市,旭通り一丁目,6ｰ19,,34.16859482,131.4711662,,(083)922-0354,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,591,,,,,0
352039,E3520300139201,湯田地域交流センター,ユダチイキコウリュウセンター,,352039,155005,山口県山口市湯田温泉五丁目5ｰ50,山口県,山口市,湯田温泉五丁目,5ｰ50,,34.168091,131.45661,,(083)922-8218,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,352,,,,,1
352039,E3520300140202,湯田小学校体育館,ユダショウガッコウタイイクカン,,352039,151000,山口県山口市元町2ｰ26,山口県,山口市,元町,2ｰ26,,34.169769,131.458463,,(083)922-0092,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,473,,,,,0
352039,E3520300025201,湯田小学校校舎,ユダショウガッコウコウシャ,,352039,151000,山口県山口市元町2ｰ26,山口県,山口市,元町,2ｰ26,,34.169601,131.457651,,(083)922-0092,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,1952,,,,,0
352039,E3520300024201,湯田中学校体育館,ユダチュウガッコウタイイクカン,,352039,76000,山口県山口市楠木町7ｰ1,山口県,山口市,楠木町,7ｰ1,,34.171965,131.452682,,(083)922-2956,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,510,,,,,0
352039,E3520300013201,湯田中学校校舎,ユダチュウガッコウコウシャ,,352039,76000,山口県山口市楠木町7ｰ1,山口県,山口市,楠木町,7ｰ1,,34.171738,131.452113,,(083)922-2956,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,1147,,,,,0
352039,E3520300014202,山口勤労者総合福祉センター（サンフレッシュ）,ヤマグチキンロウシャソウゴウフクシセンター（サンフレッシュ）,,352039,155005,山口県山口市湯田温泉五丁目5ｰ22,山口県,山口市,湯田温泉五丁目,5ｰ22,,34.16844289,131.456167,,(083)933-0001,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,400,,,,,0
352039,E3520300015201,山口隣保館,ヤマグチリンポカン,,352039,86000,山口県山口市三和町3ｰ1,山口県,山口市,三和町,3ｰ1,,34.16861677,131.4705816,,(083)922-7055,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,173,,,,,0
352039,E3520300011201,山口隣保館　別館,ヤマグチリンポカン　ベッカン,,352039,86000,山口県山口市三和町13ｰ19,山口県,山口市,三和町,13ｰ19,,34.16639474,131.4688429,,(083)932-7133,,,,,,352039,山口市,×,〇,〇,〇,〇,×,×,×,〇,229,,,,,0
352039,E3520300018201,山口第二保育園,ヤマグチダイニホイクエン,,352039,86000,山口県山口市三和町9ｰ2,山口県,山口市,三和町,9ｰ2,,34.16818938,131.4691878,,(083)925-2181,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,100,,,,,0
352039,E3520300019202,楠木保育園,クスノキホイクエン,,352039,76000,山口県山口市楠木町1ｰ44,山口県,山口市,楠木町,1ｰ44,,34.17004852,131.4545509,,(083)923-1722,,,,,,352039,山口市,〇,〇,〇,×,〇,×,×,×,〇,142,,,,,0
352039,E3520300009201,障害者支援施設なでしこ園地域交流スペース,ショウガイシャシエンシセツナデシコエンチイキコウリュウスペース,,352039,7000,山口県山口市朝倉町4ｰ55,山口県,山口市,朝倉町,4ｰ55,,34.17594062,131.4528777,,(083)934-5200,,,,,,352039,山口市,〇,〇,〇,×,〇,×,×,×,〇,120,,,,,0
352039,E3520300010201,山口刑務所鍛錬場,ヤマグチケイムショタンレンバ,,352039,145000,山口県山口市松美町5ｰ6,山口県,山口市,松美町,5ｰ6,,34.16521381,131.4638067,,(083)922-1450,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,229,,,,,0
352039,E3520300092201,山口刑務所職員待機所,ヤマグチケイムショショクインタイキジョ,,352039,145000,山口県山口市松美町5ｰ25,山口県,山口市,松美町,5ｰ25,,34.16521381,131.4638067,,(083)922-1450,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,83,,,,,0
352039,E3520300094202,吉敷地域交流センター,ヨシキチイキコウリュウセンター,,352039,159001,山口県山口市吉敷佐畑一丁目4ｰ1,山口県,山口市,吉敷佐畑一丁目,4ｰ1,,34.166343,131.432643,,(083)922-3915,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,405,,,,,1
352039,E3520300094201,良城小学校体育館,リョウジョウショウガッコウタイイクカン,,352039,159003,山口県山口市吉敷佐畑三丁目3ｰ3,山口県,山口市,吉敷佐畑三丁目,3ｰ3,,34.166181,131.429362,,(083)922-0003,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,481,,,,,0
352039,E3520300093201,良城小学校校舎,リョウジョウショウガッコウコウシャ,,352039,159003,山口県山口市吉敷佐畑三丁目3ｰ3,山口県,山口市,吉敷佐畑三丁目,3ｰ3,,34.165772,131.429951,,(083)922-0003,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,1923,,,,,0
352039,E3520300028202,鴻南中学校体育館,コウナンチュウガッコウタイイクカン,,352039,24004,山口県山口市維新公園四丁目7ｰ1,山口県,山口市,維新公園四丁目,7ｰ1,,34.153524,131.434333,,(083)922-2475,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,632,,,,,0
352039,E3520300028201,鴻南中学校校舎,コウナンチュウガッコウコウシャ,,352039,24004,山口県山口市維新公園四丁目7ｰ1,山口県,山口市,維新公園四丁目,7ｰ1,,34.154398,131.434882,,(083)922-2475,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,2003,,,,,0
352039,E3520300102202,吉敷幼稚園,ヨシキヨウチエン,,352039,159004,山口県山口市吉敷佐畑四丁目6ｰ1,山口県,山口市,吉敷佐畑四丁目,6ｰ1,,34.16837587,131.4296146,,(083)925-2279,,,,,,352039,山口市,〇,×,〇,〇,〇,×,×,×,〇,185,,,,,0
352039,E3520300102201,平川地域交流センター,ヒラカワチイキコウリュウセンター,,352039,139000,山口県山口市平井1665,山口県,山口市,平井,1665,,34.142857,131.454556,,(083)922-4235,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,303,,,,,1
352039,E3520300099202,平川小学校体育館,ヒラカワショウガッコウタイイクカン,,352039,139000,山口県山口市平井1675ｰ2,山口県,山口市,平井,1675ｰ2,,34.141299,131.456158,,(083)922-1789,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,466,,,,,0
352039,E3520300099201,平川小学校校舎,ヒラカワショウガッコウコウシャ,,352039,139000,山口県山口市平井1675ｰ2,山口県,山口市,平井,1675ｰ2,,34.141282,131.456588,,(083)922-1789,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,2280,,,,,0
352039,E3520300098202,平川中学校体育館,ヒラカワチュウガッコウタイイクカン,,352039,79000,山口県山口市黒川1231ｰ1,山口県,山口市,黒川,1231ｰ1,,34.139459,131.456784,,(083)924-7700,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,415,,,,,0
352039,E3520300098201,平川中学校校舎,ヒラカワチュウガッコウコウシャ,,352039,79000,山口県山口市黒川1231ｰ1,山口県,山口市,黒川,1231ｰ1,,34.139551,131.457544,,(083)924-7700,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,1296,,,,,0
352039,E3520300101201,平川幼稚園,ヒラカワヨウチエン,,352039,79000,山口県山口市黒川1210ｰ1,山口県,山口市,黒川,1210ｰ1,,34.14158431,131.456984,,(083)924-1661,,,,,,352039,山口市,×,〇,〇,〇,〇,×,×,×,〇,208,,,,,0
352039,E3520300038201,山口大学体育館・武道館　　,ヤマグチダイガクタイイクカン・ブドウカン　　　,,352039,169000,山口県山口市吉田1677ｰ1,山口県,山口市,吉田,1677ｰ1,,34.148149,131.466124,,(083)933-5000,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,1842,,,,,0
352039,E3520300040201,山口県立西京高等学校体育館,ヤマグチケンリツサイキョウコウトウガッコウタイイクカン,,352039,79000,山口県山口市黒川2580ｰ1,山口県,山口市,黒川,2580ｰ1,,34.135903,131.444674,,(083)923-8508,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,1132,,,,,0
352039,E3520300054202,大歳地域交流センター,オオトシチイキコウリュウセンター,,352039,152000,山口県山口市矢原1407ｰ5,山口県,山口市,矢原,1407ｰ5,,34.149011,131.44006,,(083)922-4035,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,323,,,,,1
352039,E3520300054201,大歳小学校体育館,オオトシショウガッコウタイイクカン,,352039,152000,山口県山口市矢原1486,山口県,山口市,矢原,1486,,34.150673,131.43933,,(083)922-2466,,,,,,352039,山口市,×,〇,〇,〇,〇,×,×,×,〇,599,,,,,0
352039,E3520300039201,大歳小学校校舎,オオトシショウガッコウコウシャ,,352039,152000,山口県山口市矢原1486,山口県,山口市,矢原,1486,,34.150444,131.440095,,(083)922-2466,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,1992,,,,,0
352039,E3520300043201,陶地域交流センター,スエチイキコウリュウセンター,,352039,95000,山口県山口市陶2595,山口県,山口市,陶,2595,,34.08950588,131.4305045,,(083)972-1318,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,423,,,,,1
352039,E3520300042201,陶小学校体育館,スエショウガッコウタイイクカン,,352039,95000,山口県山口市陶3544,山口県,山口市,陶,3544,,34.090542,131.4297,,(083)972-0703,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,391,,,,,0
352039,E3520300058201,陶小学校校舎,スエショウガッコウコウシャ,,352039,95000,山口県山口市陶3544,山口県,山口市,陶,3544,,34.090261,131.429705,,(083)972-0703,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,655,,,,,0
352039,E3520300053201,潟上中学校体育館,カタガミチュウガッコウタイイクカン,,352039,95000,山口県山口市陶1912,山口県,山口市,陶,1912,,34.078915,131.432076,,(083)986-2011,,,,,,352039,山口市,〇,〇,×,〇,〇,×,×,×,〇,515,,,,,0
352039,E3520300044201,潟上中学校校舎,カタガミチュウガッコウコウシャ,,352039,95000,山口県山口市陶1912,山口県,山口市,陶,1912,,34.079286,131.432228,,(083)986-2011,,,,,,352039,山口市,〇,〇,×,〇,〇,×,×,×,〇,977,,,,,0
352039,E3520300096201,陶隣保館,スエリンポカン,,352039,95000,山口県山口市陶4713ｰ1,山口県,山口市,陶,4713ｰ1,,34.09710513,131.4122218,,(083)972-6170,,,,,,352039,山口市,〇,×,〇,〇,〇,×,×,×,〇,220,,,,,0
352039,E3520300046202,西円寺幼稚園,サイエンジヨウチエン,,352039,95000,山口県山口市陶2963ｰ1,山口県,山口市,陶,2963ｰ1,,34.09208452,131.4294273,,(083)973-7370,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,56,,,,,0
352039,E3520300046201,鋳銭司地域交流センター,スゼンジチイキコウリュウセンター,,352039,96000,山口県山口市鋳銭司5675ｰ1,山口県,山口市,鋳銭司,5675ｰ1,,34.07946846,131.4463723,,(083)986-2360,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,496,,,,,1
352039,E3520300029201,鋳銭司小学校体育館,スゼンジショウガッコウタイイクカン,,352039,96000,山口県山口市鋳銭司4010,山口県,山口市,鋳銭司,4010,,34.08588,131.454362,,(083)986-2609,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,265,,,,,0
352039,E3520300116201,鋳銭司小学校校舎,スゼンジショウガッコウコウシャ,,352039,96000,山口県山口市鋳銭司4010,山口県,山口市,鋳銭司,4010,,34.085843,131.45368,,(083)986-2609,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,560,,,,,0
352039,E3520300145201,山口みなみこども園,ヤマグチミナミコドモエン,,352039,96000,山口県山口市鋳銭司3922ｰ1,山口県,山口市,鋳銭司,3922ｰ1,,34.08324,131.4538,,(083)934-2798,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,90,,,,,0
352039,E3520300146202,名田島地域交流センター,ナタジマチイキコウリュウセンター,,352039,131000,山口県山口市名田島1218ｰ1,山口県,山口市,名田島,1218ｰ1,,34.08424203,131.4120383,,(083)972-6720,,,,,,352039,山口市,〇,〇,×,〇,〇,×,×,×,〇,325,,,,,1
352039,E3520300146201,名田島小学校体育館,ナタジマショウガッコウタイイクカン,,352039,131000,山口県山口市名田島1538ｰ2,山口県,山口市,名田島,1538ｰ2,,34.076647,131.415461,,(083)972-0711,,,,,,352039,山口市,×,〇,×,〇,×,×,×,×,〇,236,,,,,0
352039,E3520300104201,名田島小学校校舎,ナタジマショウガッコウコウシャ,,352039,131000,山口県山口市名田島1538ｰ2,山口県,山口市,名田島,1538ｰ2,,34.076523,131.415081,,(083)972-0711,,,,,,352039,山口市,〇,〇,×,〇,×,×,×,×,〇,603,,,,,0
352039,E3520300103201,にこにこ学級,ニコニコガッキュウ,,352039,131000,山口県山口市名田島1536ｰ1,山口県,山口市,名田島,1536ｰ1,,34.07634,131.415884,,(083)934-2756,,,,,,352039,山口市,×,〇,×,〇,×,×,×,×,〇,100,,,,,0
