NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
16,柳井中学校（体育館）,ヤナイチュウガッコウ（タイイクカン）,山口県柳井市柳井4155,,33.97469751,132.1058386,11.4,0820-22-0405,,352128,山口県,柳井市,1,1,1,1,1,,,,1,670(2㎡あたり1人）,,,
17,柳井中学校（グラウンド）,ヤナイチュウガッコウ（グラウンド）,山口県柳井市柳井4155,,33.97433272,132.1044975,6.7,0820-22-0405,,352128,山口県,柳井市,1,1,1,1,,,,,,7500(2㎡あたり1人）,,,
18,南浜グラウンド,ミナミハマグラウンド,山口県柳井市南浜3-2-1,,33.95911817,132.1146959,3.2,なし,,352128,山口県,柳井市,1,1,,1,,,,,,8800(2㎡あたり1人）,,,
19,FUJIBO柳井化学武道館（柳井市武道館）,フジボウヤナイカガクブドウカン（ヤナイシブドウカン）,山口県柳井市南浜3-2-3,,33.95990631,132.1162599,3.2,0820-25-3383,,352128,山口県,柳井市,1,1,,1,,,,,,1190(2㎡あたり1人）,,,
20,柳井市総合福祉センター,ヤナイシソウゴウフクシセンター,山口県柳井市南町3-9-2,,33.96317808,132.102618,0.9,0820-22-3800,,352128,山口県,柳井市,,1,,1,,,,,,150(2㎡あたり1人）,,,
21,西福祉センター,ニシフクシセンター,山口県柳井市柳井4823-2,,33.97514999,132.0994576,3.6,0820-23-2611,,352128,山口県,柳井市,,1,,,,,,,,180(2㎡あたり1人）,,,
22,柳北小学校（体育館）,リュウホクショウガッコウ（タイイクカン）,山口県柳井市柳井5025,,33.98486216,132.0975252,8.8,0820-22-0619,,352128,山口県,柳井市,,,1,1,,,,,,390(2㎡あたり1人）,,,
23,柳北小学校（グラウンド）,リュウホクショウガッコウ（グラウンド）,山口県柳井市柳井5025,,33.98483991,132.0970478,8.8,0820-22-0619,,352128,山口県,柳井市,,,1,1,,,,,,1600(2㎡あたり1人）,,,
24,日積公民館,ヒヅミコウミンカン,山口県柳井市日積4142-5,,34.0111877,132.163894,65,0820-28-0001,,352128,山口県,柳井市,1,1,1,1,1,,,,,50(2㎡あたり1人）,,,
25,日積小学校（体育館）,ヒヅミショウガッコウ（タイイクカン）,山口県柳井市日積6951,,34.00130125,132.1521826,79,0820-28-0012,,352128,山口県,柳井市,1,,1,1,1,,,,,290(2㎡あたり1人）,,,
26,日積小学校（グラウンド）,ヒヅミショウガッコウ（グラウンド）,山口県柳井市日積6951,,34.00094102,132.1522738,79,0820-28-0012,,352128,山口県,柳井市,1,,1,1,1,,,,,2000(2㎡あたり1人）,,,
27,ふれあいどころ４３７（交流棟）,フレアイドコロヨンサンナナ（コウリュウトウ）,山口県柳井市日積4150-1,,34.0121809,132.1640187,65,0820-28-5437,,352128,山口県,柳井市,1,1,1,1,1,,,,1,90(2㎡あたり1人）,,,
28,ふれあいどころ４３７（駐車場）,フレアイドコロヨンサンナナ（チュウシャジョウ）,山口県柳井市日積4150-1,,34.01205195,132.1636754,65,0820-28-5437,,352128,山口県,柳井市,1,1,1,1,1,,,,,900(2㎡あたり1人）,,,
29,伊陸公民館,イカチコウミンカン,山口県柳井市伊陸5856-1,,34.02887228,132.1097348,92,0820-26-0001,,352128,山口県,柳井市,1,1,1,1,1,,,,,70(2㎡あたり1人）,,,
30,伊陸小学校（体育館）,イカチショウガッコウ（タイイクカン）,山口県柳井市伊陸5856-1,,34.02887228,132.1097348,92,0820-26-0007,,352128,山口県,柳井市,1,1,1,1,1,,,,1,230(2㎡あたり1人）,,,
31,伊陸小学校（グラウンド）,イカチショウガッコウ（グラウンド）,山口県柳井市伊陸5856-1,,34.02868112,132.1102391,92,0820-26-0007,,352128,山口県,柳井市,1,1,1,1,1,,,,,1500(2㎡あたり1人）,,,
32,伊陸地区体育館・伊陸グラウンド(体育館),イカチチクタイイクカン・イカチグラウンド（タイイクカン）,山口県柳井市伊陸12442,,34.02654672,132.1204914,100,なし,,352128,山口県,柳井市,1,1,1,1,1,,,,1,410(2㎡あたり1人）,,,
33,伊陸地区体育館・伊陸グラウンド(グラウンド),イカチチクタイイクカン・イカチグラウンド（グラウンド）,山口県柳井市伊陸12442,,34.02659118,132.1211995,100,なし,,352128,山口県,柳井市,1,1,1,1,1,,,,,3100(2㎡あたり1人）,,,
34,新庄小学校（体育館）,シンジョウショウガッコウ（タイイクカン）,山口県柳井市新庄2614,,33.9699459,132.090334,6.3,0820-22-0597,,352128,山口県,柳井市,1,1,1,1,,,,,1,370(2㎡あたり1人）,,,
35,新庄小学校（グラウンド）,シンジョウショウガッコウ（グラウンド）,山口県柳井市新庄2614,,33.96920176,132.0898034,6.3,0820-22-0597,,352128,山口県,柳井市,1,1,1,1,,,,,,2100(2㎡あたり1人）,,,
36,新庄公民館,シンジョウコウミンカン,山口県柳井市新庄327-1,,33.97170407,132.0886666,4.2,0820-22-0069,,352128,山口県,柳井市,1,1,1,1,,,,,,70(2㎡あたり1人）,,,
37,アクアヒルやない,アクアヒルヤナイ,山口県柳井市新庄1326-1,,33.98263075,132.0823514,65,0820-24-0025,,352128,山口県,柳井市,1,1,1,1,1,,,,1,200(2㎡あたり1人）,,,
38,アデリーホシパーク（柳井ウェルネスパーク）,アデリーホシパーク（ヤナイウェルネスパーク）,山口県柳井市新庄1326-1,,33.98268413,132.0849693,65,0820-24-0025,,352128,山口県,柳井市,1,,1,1,1,,,,,10800(2㎡あたり1人）,,,
39,やまぐちフラワーランド,ヤマグチフラワーランド,山口県柳井市新庄500-1,,33.9817076,132.0888108,24,0820-24-1187,,352128,山口県,柳井市,1,1,1,1,1,,,,,10000(2㎡あたり1人）,,,
40,柳井西中学校（体育館）,ヤナイニシチュウガッコウ（タイイクカン）,山口県柳井市余田2111,,33.97667647,132.0771325,22,0820-22-1531,,352128,山口県,柳井市,1,,1,1,1,,,,,410(2㎡あたり1人）,,,
41,柳井西中学校（グラウンド）,ヤナイニシチュウガッコウ（グラウンド）,山口県柳井市余田2111,,33.97640066,132.0764673,22,0820-22-1531,,352128,山口県,柳井市,1,,1,1,1,,,,,4200(2㎡あたり1人）,,,
42,余田小学校（体育館）,ヨタショウガッコウ（タイイクカン）,山口県柳井市余田1419,,33.97170421,132.0696425,12,0820-22-1530,,352128,山口県,柳井市,1,1,1,1,1,,,,1,430(2㎡あたり1人）,,,
43,余田小学校（グラウンド）,ヨタショウガッコウ（グラウンド）,山口県柳井市余田1419,,33.97134386,132.0689827,12,0820-22-1530,,352128,山口県,柳井市,1,1,1,1,1,,,,,1500(2㎡あたり1人）,,,
44,余田公民館,ヨタコウミンカン,山口県柳井市余田1419,,33.97170421,132.0696425,12,0820-22-0101,,352128,山口県,柳井市,1,1,1,1,1,,,,,30(2㎡あたり1人）,,,
45,柳井商工高校（体育館）,ヤナイショウコウコウコウ（タイイクカン）,山口県柳井市伊保庄2658,,33.95573552,132.0998496,21,0820-22-5533,,352128,山口県,柳井市,1,,1,1,1,,,,,700(2㎡あたり1人）,,,
46,柳井商工高校（グラウンド）,ヤナイショウコウコウコウ（グラウンド）,山口県柳井市伊保庄2658,,33.95619828,132.0989538,21,0820-22-5533,,352128,山口県,柳井市,1,,1,1,1,,,,,8900(2㎡あたり1人）,,,
47,伊保庄北文化会館,イホノショウキタブンカカイカン,山口県柳井市伊保庄4864-18,,33.95297602,132.1163378,2.6,なし,,352128,山口県,柳井市,1,1,,1,,,,,,90(2㎡あたり1人）,,,
48,小田小学校（体育館）,オダショウガッコウ（タイイクカン）,山口県柳井市伊保庄4853-1,,33.95203252,132.117628,2.8,0820-22-0835,,352128,山口県,柳井市,1,1,,1,,,,,,390(2㎡あたり1人）,,,
49,小田小学校（グラウンド）,オダショウガッコウ（グラウンド）,山口県柳井市伊保庄4853-1,,33.9520162,132.1182878,2.8,0820-22-0835,,352128,山口県,柳井市,1,1,,1,,,,,,2500(2㎡あたり1人）,,,
50,小田浜グラウンド,オダハマグラウンド,山口県柳井市伊保庄4853-2,,33.95265697,132.1174831,2.6,なし,,352128,山口県,柳井市,1,1,,1,,,,,,6600(2㎡あたり1人）,,,
51,伊保庄地区体育館・伊保庄地区グラウンド（体育館）,イホノショウチクタイイクカン・イホノショウチクグラウンド（タイイクカン）,山口県柳井市伊保庄3485-1,,33.93809422,132.1236846,3,0820-22-0842,,352128,山口県,柳井市,1,1,,1,,,,,,280(2㎡あたり1人）,,,
52,伊保庄地区体育館・伊保庄地区グラウンド（グラウンド）,イホノショウチクタイイクカン・イホノショウチクグラウンド（グラウンド）,山口県柳井市伊保庄3485-1,,33.93738658,132.1233681,3,0820-22-0842,,352128,山口県,柳井市,1,1,,1,,,,,,4000(2㎡あたり1人）,,,
53,柳井南小学校（体育館）,ヤナイミナミショウガッコウ（タイイクカン）,山口県柳井市伊保庄1429,,33.92290357,132.126239,2.2,0820-27-0602,,352128,山口県,柳井市,1,1,,1,,,,,,410(2㎡あたり1人）,,,
54,柳井南小学校（グラウンド）,ヤナイミナミショウガッコウ（グラウンド）,山口県柳井市伊保庄1429,,33.92231154,132.1260137,2.2,0820-27-0602,,352128,山口県,柳井市,1,1,,1,,,,,,2300(2㎡あたり1人）,,,
55,星の見える丘工房,ホシノミエルオカコウボウ,山口県柳井市伊保庄1484-45,,33.92083023,132.1226586,15,なし,,352128,山口県,柳井市,1,,1,1,1,,,,,40(2㎡あたり1人）,,,
56,阿月公民館,アツキコウミンカン,山口県柳井市阿月1729-1,,33.902321,132.127231,2.7,0820-27-0001,,352128,山口県,柳井市,1,1,,1,,,,,,80(2㎡あたり1人）,,,
57,阿月地区グラウンド,アツキチクグラウンド,山口県柳井市阿月1729-1,,33.902203,132.126823,2.7,なし,,352128,山口県,柳井市,1,1,,1,,,,,,1000(2㎡あたり2人）,,,
58,平郡西埋め立て地,ヘイグンニシウメタテチ,山口県柳井市平郡4698-15,,33.80189742,132.199946,2.7,なし,,352128,山口県,柳井市,1,1,,1,,,,,,1700(2㎡あたり1人）,,,
59,平郡西へき地集会所,ヘイグンニシヘキチシュウカイショ,山口県柳井市平郡4836-2,,33.80266562,132.202478,5,なし,,352128,山口県,柳井市,1,,1,,,,,,,200(2㎡あたり1人）,,,
60,平郡東小学校体育館,ヘイグンヒガシショウガッコウタイイクカン,山口県柳井市平郡1843,,33.7795259,132.259132,3.5,なし,,352128,山口県,柳井市,1,1,1,1,,,,,,150(2㎡あたり1人）,,,
61,平郡東野積場,ヘイグンヒガシノヅミバ,山口県柳井市平郡1938-4,,33.7788349,132.2614866,2.8,なし,,352128,山口県,柳井市,1,1,,1,,,,,,4800(2㎡あたり1人）,,,
62,神代地区グラウンド,コウジロチクグラウンド,山口県柳井市神代4110,,33.967011,132.1890563,17,なし,,352128,山口県,柳井市,1,,1,1,1,,,,,1100(2㎡あたり1人）,,,
63,大畠グラウンド,オオバタケグラウンド,山口県柳井市神代1675-1,,33.96669362,132.1834972,53,なし,,352128,山口県,柳井市,1,,1,1,1,,,,,6000(2㎡あたり1人）,,,
64,大畠中学校（体育館）,オオバタケチュウガッコウ（タイイクカン）,山口県柳井市神代4273,,33.9642366,132.1763044,32,0820-45-2202,,352128,山口県,柳井市,1,,1,1,1,,,,,320(2㎡あたり1人）,,,
65,大畠中学校（グラウンド）,オオバタケチュウガッコウ（グラウンド）,山口県柳井市神代4273,,33.9642366,132.1759664,32,0820-45-2202,,352128,山口県,柳井市,1,,1,1,1,,,,,1400(2㎡あたり1人）,,,
66,大畠公民館,オオバタケコウミンカン,山口県柳井市大畠1500,,33.96063601,132.169432,3,0820-45-2211,,352128,山口県,柳井市,1,1,,1,,,,,,180(2㎡あたり1人）,,,
67,大畠小学校（体育館）,オオバタケショウガッコウ（タイイクカン）,山口県柳井市大畠757-2,,33.96098959,132.1666329,10,0820-45-2203,,352128,山口県,柳井市,1,1,1,1,1,,,,1,180(2㎡あたり1人）,,,
68,大畠小学校（グラウンド）,オオバタケショウガッコウ（グラウンド）,山口県柳井市大畠757-2,,33.96126082,132.1670423,10,0820-45-2203,,352128,山口県,柳井市,1,1,1,1,1,,,,,1400(2㎡あたり1人）,,,
69,遠崎地区体育館・グラウンド（体育館）,トオザキチクタイイクカン・グラウンド（タイイクカン）,山口県柳井市遠崎340,,33.95950755,132.1440792,14,なし,,352128,山口県,柳井市,1,,1,1,1,,,,,210(2㎡あたり1人）,,,
70,遠崎地区体育館・グラウンド（グラウンド）,トオザキチクタイイクカン・グラウンド（グラウンド）,山口県柳井市遠崎340,,33.95930733,132.1438754,14,なし,,352128,山口県,柳井市,1,,1,1,1,,,,,1000(2㎡あたり1人）,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
