都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
350001,3500150016,山口県,,城下町長府,ジョウカマチチョウフ,,,山口県下関市長府,,34.005672,130.985809,,,,,,,"平成25年度の「都市景観大賞」の都市空間部門　大賞を受賞！
長府は、古代から中世にかけて政治・文化の中心地として栄え、近世に入ると毛利秀元が初代長府藩主となり城下町が誕生しました。
しかし元和の一国一城令によって廃城となり、現在石垣だけが残っています。
現在みる町並みは、毛利氏がこの地に居を構えて以来の藩政時代に築かれた大小数々の武家屋敷跡で、山手に入ると侍町があり、家老職など格式の高い家臣が住んでいた屋敷町です。
今も多く残る門長屋や土塀は、風雪にたえて来た年輪の重みを伝えています。",,"・ＪＲ山陽本線長府駅からバスで7分「城下町長府」下車
・下関ICから車で20分
・JR下関駅からバスで23分「城下町長府」下車",,,下関市観光政策課,083-231-1350,,,,,
350001,3500150017,山口県,,深坂自然の森キャンプ場,ミサカシゼンノモリキャンプジョウ,,,山口県下関市大字蒲生字深坂,,34.042702,130.94101,,,,通年（年末年始を除く）,,,"林間駐車場　２ケ所　林間歩道　2,960ｍ　林間広場　３ケ所　花木・樹木園　３ケ所　休憩所　１ケ所　炊事施設　１ケ所　展望台　１ケ所　管理棟　１ケ所　テント　50張　射撃場　１　トイレ　駐車場
",,"・ＪＲ新下関駅からバスで8分→「蒲生野（かもの）」バス停から徒歩で30分
・中国自動車道下関ＩＣから車で20分",,,森の家下関,083-259-8555,,,,,
350001,3500150018,山口県,,乃木旧邸,ノギキュウテイ,,,山口県下関市長府宮の内町3-8,,33.99976,130.986588,,,,,,,"軍人として広くその名を知られ、明治天皇大葬の日に殉死した乃木希典(まれすけ)を文武両道の神として祀るため１９２０年(大正９年)に創建された乃木神社の境内にあります。
乃木家が１６年間過ごした旧宅を１９１４年(大正３年)に復元したもので、またゆかりの遺品を展示する宝物館もあります。
",,"・ＪＲ山陽本線長府駅からバスで10分→「城下町長府」バス停から徒歩で7分
・下関ICから車で20分
・JR下関駅からバスで23分→「城下町長府」バス停から徒歩で7分",,,乃木神社,083-245-252,,,,,
350001,3500150019,山口県,,功山寺仏殿,コウザンジブツデン,,,山口県下関市長府川端1丁目2-3,,33.995663,130.983353,,,,,,,"功山寺境内にあり、桁行・梁間とも三間、一重入母屋の屋根に裳階（もこし）がついた桧皮（ひわだ）葺の二重屋根の建物です。
内部の柱に「此堂元応二年（1320にあたる）卯月五日柱立」と記されていることから、鎌倉時代の建築とされています。
建築年代のはっきりしている禅宗様建築では、この仏殿が日本最古のものです。
",,"・ＪＲ山陽本線長府駅からバスで10分→「城下町長府」バス停から徒歩で10分
・JR下関駅からバスで23分→「城下町長府」バス停から徒歩で10分",,,功山寺,083-245-258,,,,,
350001,3500150020,山口県,,住吉神社本殿,スミヨシジンジャホンデン,,,山口県下関市一の宮住吉1丁目11-1,,33.999699,130.956863,,,,,,,"住吉神社は、桁行22.8ｍ、梁間4.6ｍ、檜皮葺の古社本殿で、現在の本殿は、1370年（応安3）に大内弘世が造営したものです。
",,・ＪＲ山陽本線新下関駅からバスで5分→「一の宮」バス停から徒歩で5分,,,住吉神社,083-256-2656,,,,,
350001,3500150021,山口県,,住吉神社拝殿,スミヨシジンジャハイデン,,,山口県下関市一の宮住吉1丁目11-1,,33.999699,130.956863,,,,,,,"住吉神社境内にあり、桁行三間（６.９ｍ）、梁間一間（４.９ｍ）で、屋根は一重切妻造りで桧皮（ひわだ）葺き。
細部の手法は、室町時代末期の特徴をよく表しています。
古文書の記録から、1539年（天文8年）に毛利元就が建立したとされています。
",,・ＪＲ山陽本線新下関駅からバスで5分→「一の宮」バス停から徒歩で5分,,,住吉神社,083-256-2656,,,,,
350001,3500150022,山口県,,功山寺山門,コウザンジサンモン,,,山口県下関市長府川端1丁目2-3,,33.995663,130.983353,,,,,,,"山門は、二重櫓造りで、安永２年（1773年）長府藩主10代毛利匡芳の命を受けて建立されました。
入母屋造り、本瓦葺の屋根は美しい反りを見せ、三門三戸二重門の様式を整えています。",,"・ＪＲ山陽本線長府駅からバスで10分→「城下町長府」バス停から徒歩で10分
・JR下関駅からバスで23分→「城下町長府」バス停から徒歩で10分",,,功山寺,083-245-258,,,,,
350001,3500150023,山口県,,宮山古墳,ミヤヤマコフン,,,山口県下関市幡生宮の下町16-18,,33.982346,130.931992,,,,,,,●管理・申込　　生野神社,,・ＪＲ山陽本線幡生駅から徒歩で5分,,,生野神社,083-252-1568,,,,,
350001,3500150024,山口県,,有富古墳,アリドミコフン,,,山口県下関市大字有富427,,34.018581,130.943542,,,,,,,"綾羅木川を中心として広がる沖積層平野の北側丘陵には多くの遺跡が残っています。有富古墳は、この丘陵地の北東に接する山のすそに位置し、明治32年（1899）の調査の際、有富古墳群として5基の円形墳が発見されましたが、現在では2基を残して他は消滅しています。
直径12mの円墳で横穴石室をもち、玄室は胴張りがほとんどなく、石材は小さいものを使用しています。下関市内でも、最も形の整った円墳です。",,・ＪＲ新下関駅からバスで6分→「有富」バス停から徒歩で1分,,,下関市教育委員会,083-231-4697,,,,,
350001,3500150025,山口県,,秋根一号古墳,アキネイチゴウコフン,,,山口県下関市秋根西町1-4-5,,34.009521,130.947769,,,,,,,"秋根神社の境内にある6世紀中頃の円形墳で、墳丘が削られ、石室の一部が露出しています。石室は横穴式石室で、奥室と前室が
あり、室壁はほとんどが礫岩で一部に花崗岩が使われています。さらに石室全体は、天井部に近いほど小石を積み上げドーム状になっています。奥壁と側壁奥より部分には、ベンガラと思われる赤色の顔料が塗られており、特に奥壁の下半分の色はよく残っています。天井石は、奥壁と玄門側の両方から順に置き、奥から２枚目の石を最後にのせています。",,・JR新下関駅から徒歩で5分,,,下関市教育委員会文化財保護課,083-254-4697,,,,,
350001,3500150026,山口県,,古江小路・菅家長屋門,ふるえしょうじ・かんけながやもん,,,山口県下関市長府古江小路町,,33.998249,130.985657,,,,,,,"長府毛利藩は天保年間に「達豊浦家中一統家作定書」を発令し、藩士の身分により家屋造作の制限を行いました。
城下町長府の特色は、門や長屋それに続く練塀と石垣、その内側の植裁など、街路に面した構えにあります。形態としては、切り盛りした土地に石垣を築き、その上に粘土を練り混ぜた土塀を築く方法で、中塗りを施しただけのものが多く、漆喰で上塗りしたものは見られません。
",,"・ＪＲ山陽本線長府駅からバスで10分→「城下町長府」バス停から徒歩で10分
・JR下関駅からバスで23分→「城下町長府」バス停から徒歩で10分
・中国自動車道下関I.Cから車で20分",,,下関市教育委員会文化財保護課,083-254-4697,,,,,
350001,3500150027,山口県,,覚苑寺本堂,カクオンジホンドウ,,,山口県下関市長府安養寺3丁目3-8,,34.000114,130.982849,,,,,,,天井を高く吹き放し、総角柱の柱は上下を粽とし、礎盤は角型石を使用するなど、明の黄檗流の建築様式を伝えています。,,"・ＪＲ山陽本線長府駅からバスで10分→「城下町長府」バス停から徒歩で15分
・JR下関駅からバスで23分→「城下町長府」バス停から徒歩で15分",,,覚苑寺,083-245-649,,,,,
350001,3500150028,山口県,,重要文化財旧下関英国領事館,ジュウヨウブンカザイキュウシモノセキエイコクリョウジカン,,,山口県下関市唐戸町4-11,,33.956802,130.943207,,,,,,,平成26年7月18日リニューアルオープン,,・ＪＲ下関駅からバスで7分→「唐戸」バス停から徒歩で2分,,,重要文化財旧下関英国領事館,083-235-1906,,,,,
350001,3500150029,山口県,,新下関駅観光案内所,シンシモノセキエキカンコウアンナイショ,,,山口県下関市秋根南町1-11-1,,34.006836,130.948685,,09:00,18:00,"●業務時間　9：00～18：00（1月2日・3日は9：00～17：00）
●休業日　1/1",,,観光案内,,,,,新下関駅観光案内所,083-256-3422,,,,,
350001,3500150030,山口県,,下関駅観光案内所,シモノセキエキカンコウアンナイショ,,,山口県下関市竹崎町4-3-1,,33.949642,130.922409,,09:00,18:00,"●業務時間　9：00～18：00（1月2日・3日は9：00～17：00）
●休業日　1/1",,,下関地域の観光案内,,,,,下関駅観光案内所,083-232-8383,,,,,
350001,3500150031,山口県,,中山渓,チュウザンケイ,,,山口県下関市菊川町大字東中山,,34.146179,131.058502,,,,,,,雄滝・雌滝からなる清流豊かな散策地です。渓流に沿って遊歩道があり、川魚を探したり、せせらぎを楽しみながら散策できます。ピクニックに最適の渓谷。,,"・ＪＲ山陽本線小月駅からバスで25分→「西中山」バス停から徒歩で20分
・小月ＩＣから車で15分",,,菊川町観光協会,083-287-1114,,,,,
350001,3500150032,山口県,,法輪寺,ホウリンジ,,,山口県下関市菊川町七見,,34.111851,131.050385,,,,,,,"国護山国正院と称し、本堂に虚空蔵菩薩が安置され県の指定文化財となっています。
縁日大法要は２月11日。
",,"・ＪＲ山陽本線小月駅からバスで15分→バス停から徒歩で30分
・小月ICから車で15分",,,下関市菊川総合支所地域政策課,083-287-1114,,,,,
350001,3500150033,山口県,,子安観音,コヤスカンノン,,,山口県下関市菊川町上岡枝167,,34.111851,131.050385,,,,,,,境内は春はつつじ、秋はもみじの名所であり特に安産を願う女性の参詣が多い。,,・ＪＲ山陽本線小月駅からバスで20分→バス停から徒歩で15分,,,子安観音,083-287-2447,,,,,
350001,3500150034,山口県,,菊川水掛不動尊,キクガワミズカケフドウソン,,,山口県下関市菊川町久野675,,34.111851,131.050385,,,,,,,"水掛不動尊を安置した地下から流出する霊水は、胃腸病・肝蔵・すい蔵・糖尿病・水虫等に特効があると言われています。
",,"・ＪＲ山陽本線小月駅からバスで30分
・小月ICから車で20分",,,菊川水掛不動尊,083-287-1071,,,,,
350001,3500150035,山口県,,仲哀天皇殯葬所,チュウアイテンノウヒンソウショ,,,山口県下関市菊川町大字上岡枝,,34.158268,131.020737,,,,,,,"華山・西の岳の頂上に小祠があり、その昔、仲哀天皇を御殯葬した霊跡といい伝えられています。
",,・小月ＩＣから車で20分,,,下関市菊川総合支所地域政策課,083-287-1114,,,,,
350001,3500150036,山口県,,快友寺（明版一切経）,カイユウジ（ミンバンイッサイキョウ）,,,山口県下関市菊川町大字吉賀224,,34.129852,131.014999,,,,,,,"快友寺は、長府藩の重臣桂広繁の所領（菊川町吉賀）にあった邸宅に没後建てられた寺で、桂家の菩提寺です。
境内にある回転式経蔵に収納してある明版一切経は、県の文化財に指定されています。
本書は、15世紀初期、中国・明代に彫られた版木をもとに、17世紀後半の中国・清代の補刻により印刷された一切経（大蔵経ともいい、仏教聖典の総称）。
一枚の紙の大きさは、縦32㎝、横58㎝で五つに折られています。
",,"・ＪＲ山陽本線小月駅からバスで20分→「楢崎」バス停から徒歩で15分
・小月ICから車で12分",,,快友寺,083-287-168,,,,,
350001,3500150037,山口県,,大吼谷蝙蝠洞,オオゴウヤコウモリドウ,,,山口県下関市豊浦町小串,,34.110443,130.903198,,,,,,,"日本海のはげしい波濤の侵食によってできた海食洞。
響灘にのぞむ花崗岩の断崖にあります。
ユビナガコウモリの生息地。
高さ７ｍ、奥行き80ｍ。
",,・小串港から船で5分,,,下関市豊浦総合支所地域政策課,083-772-4001,,,,,
350001,3500150038,山口県,,妙青寺,ミョウセイジ,,,山口県下関市豊浦町川棚5192,,34.110443,130.903198,,,,,,,"応永23年（1416）の創建で、大内氏27代持世の弟大内持盛の開基で、行基作と伝えられる本尊観世音菩薩があります。
本堂の裏庭には雪舟の庭があり、春には桜や梅、つつじが咲きほこる山紫水明の公園でもあります。
",,・ＪＲ山陰本線川棚温泉駅からタクシーで5分,,,妙青寺,083-772-336,,,,,
350001,3500150039,山口県,,三恵寺,サンネジ,,,山口県下関市豊浦町川棚5000,,34.110443,130.903198,,,,,,,"大同元年（806）実忠和尚が草創。
70年に一度開帳の秘仏、千手観音を本尊とし、本寺中興の祖恰雲和尚は薬師如来の霊告により川棚温泉を開発しています。",,・ＪＲ山陰本線川棚温泉駅からタクシーで10分,,,三恵寺,083-774-2433,,,,,
350001,3500150040,山口県,,福徳稲荷神社,フクトクイナリジンジャ,,,山口県下関市豊浦町宇賀2960,,34.110443,130.903198,,,,,,,犬鳴のお稲荷さんと呼ばれて参拝者が多い。古歌にも「長門なる稲荷の山の姫あやめ時ならずして如月に咲く」と詠まれているほど由緒の古い社です。,,・ＪＲ山陰本線湯玉駅から車で5分,,,福徳稲荷神社,083-776-125,,,,,
350001,3500150041,山口県,,妙青寺雪舟庭,ミョウセイジセッシュウテイ,,,山口県下関市豊浦町川棚5192,,34.110443,130.903198,,,,,,,雪舟が策庭した庭園で、春には桜、梅、つつじが咲きほこります。,,・ＪＲ山陰本線川棚温泉駅からタクシーで5分,,,妙青寺,083-772-336,,,,,
350001,3500150042,山口県,,中ノ浜遺跡,ナカノハマイセキ,,,山口県下関市豊浦町川棚,,34.110443,130.903198,,,,,,,"中ノ浜遺跡は、響灘に面した下関市豊浦町の海岸砂丘にある、弥生時代の前期から中期初頭にかけて築かれた埋葬遺跡。
昭和35年に発見されました。
平成2年に墓地公園として整備され、一般に公開されています。
",,・ＪＲ山陰本線川棚駅から車で5分,,,下関市豊浦教育支所社会教育課,083-772-2117,,,,,
350001,3500150043,山口県,,石柱渓,セキチュウケイ,,,山口県下関市豊田町台,,34.193085,131.056747,,,,,,,大正15年に名勝、天然記念物に指定されています。この渓流は、延長２kmにおよび、流域全部が石英斑岩による不等辺五角形の石柱状をなす渓谷には、大小数十条の飛瀑があり、恋物語の伝説「お通万作」のおしどり観音があります。春の若葉、秋の紅葉は特に絶好です。,,"・ＪＲ山陽本線小月駅からバスで45分→バス停から徒歩で50分
・ＪＲ山陰本線長門市駅からバスで55分→バス停から徒歩で50分",,,豊田総合支所地域政策課,083-766-1056,,,,,
350001,3500150044,山口県,,一ノ瀬城跡,イチノセジョウアト,,,山口県下関市豊田町一ノ瀬,,34.193085,131.056747,,,,,,,"防長の地に大内、厚東、豊田の三氏鼎立の時代があり、一ノ瀬城はその豊田氏の本城で、東麓広畑の地が居館跡です。
現在は「豊田大領豊田氏館跡」の碑が立つのみとなっています。
",,・ＪＲ山陽本線小月駅から車で25分,,,豊田町観光協会,083-766-31,,,,,
350001,3500150045,山口県,,修禅寺,シュゼンジ,,,山口県下関市豊田町杢路子2643,,34.193085,131.056747,,,,,,,「狗留孫山護国院」と号し、大同２年（807）弘法大師の開山と伝わる古刹です。身丈１尺８寸の十一面観音菩薩を本尊とし、御嶽観音と呼ばれ老若男女の参詣者が絶えない寺です。,,"・ＪＲ山陽本線小月駅からバスで60分→バス停から徒歩で120分
・ＪＲ山陰本線川棚温泉駅からバスで30分→バス停から徒歩で60分
・中国自動車道　下関ICから車で35分",,,修禅寺,083-768-331,,,,,
350001,3500150046,山口県,,神上寺,ジンジョウジ,,,山口県下関市豊田町江良624,,34.193085,131.056747,,,,,,,"約1,300年前、役小角と徳仙上人とが開山。
絹本著色仁王経曼荼羅図、絹本極彩色智界曼荼羅、絹本極彩色理界曼荼羅は、県の文化財に指定されています。
また、山門の仁王像は雲慶の作と伝えられており、境内に雪舟の庭もあります。",,"・ＪＲ山陽本線小月駅からバスで25分→「石町」バス停から徒歩で30分
・中国自動車道　小月ICから車で20分",,,神上寺,083-766-286,,,,,
350001,3500150047,山口県,,安徳天皇西市御陵墓（参考地）,アントクテンノウニシイチゴリョウボ（サンコウチ）,,,山口県下関市豊田町地吉,,34.193085,131.056747,,,,,,,壇ノ浦の合戦で二位の尼に抱かれて入水した安徳天皇の御遺骸を埋葬されたところといわれています。,,"・ＪＲ山陽本線小月駅からバスで60分
・ＪＲ山陰本線長門市駅からバスで60分",,,豊田教育支所社会教育課,083-766-2100,,,,,
350001,3500150048,山口県,,十二代豊田種長追善供養板碑,トヨタタネナガツイゼンクヨウイタビ,,,山口県下関市豊田町一ノ瀬,,34.193085,131.056747,,,,,,,"一ノ瀬にある長願寺跡の境内には、豊田氏累代の墓地があり、種長の板碑があります。
地上９尺、幅４尺５寸、厚さ８寸で、梵字と種長御霊観応３年（1352）壬辰十月十八日と刻まれています。",,・ＪＲ山陽本線小月駅からバスで30分→バス停から徒歩で30分,,,豊田教育支所社会教育課,083-766-2100,,,,,
350001,3500150049,山口県,,若宮石造宝塔,ワカミヤセキゾウホウトウ,,,山口県下関市豊田町中村（県立西市高校前）,,34.193085,131.056747,,,,,,,"鎌倉時代の作で、経塚であろうといわれています。
豊田氏建立のもので、町の文化財に指定されました。",,・ＪＲ山陽本線小月駅からバスで35分→バス停から徒歩で10分,,,下関市豊田教育支所社会教育課,083-766-2100,,,,,
350001,3500150050,山口県,,豊田湖畔公園キャンプ場,トヨタコハンコウエンキャンプジョウ,,,山口県下関市豊田町地吉348番地,,34.193085,131.056747,,,,通年（要予約）,,,"ケビン・オートキャンプ場、一般キャンプ場の他、イベント広場や野外ステージ、大型遊具などを備えた大型リゾートスクエア。
バーベキューや、貸しボート、釣りを楽しむこともできます。
また、アスレチックや遊具もあり、公園外周を散策できる遊歩道では、森林浴を満喫できます。",,"・中国自動車道小月ＩＣから車で40分
・中国自動車道美祢ＩＣから車で40分",,,豊田湖畔公園,083-766-3488,,,,,
350001,3500150051,山口県,,旧殿居郵便局舎,キュウトノイユウビンキョクシャ,,,山口県下関市豊田町殿居1111-2,,34.193085,131.056747,,,,,,,"下関市豊田町殿居に所在する、木造平屋建て、八角塔屋2階建て付きの建物。
殿居郵便局は明治35年に開局したが、ときの局長河田寛は、大正 10年頃から洋風建築に改築する意向をもち、地元の大工棟梁山本安一を同道して上京し、洋風建築を見学して回りました｡
帰村後、同大工に建築させ、大正12年に完成しました｡
",,"・ＪＲ滝部駅からバスで25分
・JR小月駅からバスで70分
・小月ICから車で40分",,,下関市豊田教育支所社会教育課,083-766-2100,,,,,
350001,3500150052,山口県,,引地君の墓,ヒキジキミノハカ,,,山口県下関市豊田町江良,,34.193085,131.056747,,,,,,,"引地は、九州豊後の大友宗麟の七女でキリシタン名をマゼンシャといいました。
墓は２ｍ以上もあり、五輪塔の形式をとっています。",,・ＪＲ山陽本線小月駅からバスで25分→バス停から徒歩で30分,,,豊田教育支所社会教育課,083-766-2100,,,,,
350001,3500150053,山口県,,台の正片麻岩,ダイノセイヘンマガン,,,山口県下関市豊田町台,,34.193085,131.056747,,,,,,,"4億2千5百万年前の岩石です。
",,・ＪＲ山陽本線小月駅からバスで40分→バス停から車で20分,,,下関豊田教育支所社会教育課,083-766-2100,,,,,
