都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考
350001,3500151011,山口県,,錦帯橋の桜ライトアップ,キンタイキョウサクラノライトアップ,,2022-03-下旬,2022-04-上旬,,,,"錦帯橋の桜の見頃に合わせて夜桜のライトアップをお楽しみいただけます！
フルカラー、彩光色など色とりどりの桜のライトアップをお楽しみいただけます。
",,,岩国市観光振興課,0827-29-5116,,,"錦帯橋周辺
",山口県岩国市横山2丁目,,34.170841,132.176147,"(1) JR岩国駅からバスで約20分（錦帯橋バス停下車） → バス停から徒歩で約5分分
",,,,,,,
350001,3500151012,山口県,,錦帯橋ライトアップ,キンタイキョウライトアップ,,2021-08-05,2022-01-16,,,,"色とりどりに染められた錦帯橋はライトアップされるこの時期しか見ることができません。
昼間とは違った神秘的な錦帯橋をぜひお楽しみください。
",,,岩国市観光振興課,0827-29-5116,,,"錦帯橋
",山口県岩国市岩国,,34.165962,132.179688,"(1) JR山陽本線岩国駅からバスで20分
(2) 山陽自動車道岩国ICから車で10分
",,,,,,,
350001,3500151013,山口県,,周防祖生の柱松,スオウソオノハシラマツ,,2021-08-15,2021-08-15,,,"2021年08月15日
2021年08月19日
2021年08月23日
","牛馬安全の祈願を由来とする「周防祖生の柱松」は、祖生の中村・落合・山田の三地区で古来の習俗のまま継承されています。
平成元年には国の重要無形民俗文化財に指定されました。
柱松は、高さ20メートル前後の胴木の先に、はぎのこ・かんなくずなどを入れた円すい形の鉢をのせ、三方に大縄を張って立て据えます。
神事のあと、いくつもの松明がその鉢をめがけて投げあげられ、点火・炎上させ、燃える柱松が夏の夜空を焦がすさまは、息を呑むほど美しく圧巻です。
",,,祖生柱松事業保存会,0827-85-0605,,,"中村地区：祖生グラウンド
山田地区：山田柱松継承の地
落合地区：落合橋周辺
",山口県岩国市周東町祖生,,34.068264,132.115631,"(1) 山陽自動車道玖珂ICから車で約10分
",,,,,,,
350001,3500151014,山口県,,錦川清流線「利き酒列車」,ニシキガワセイリュウセン「キキザケレッシャ」,,2021-10-上旬,2021-12-下旬,,,,"地元岩国5蔵（雁木、金冠黒松、金雀、五橋、獺祭）の銘酒を飲み比べつつ、錦帯橋たもと「平清」特製の地元素材をふんだんに使用した錦川清流駅弁を召し上がっていただきます。
 列車から眺める自然豊かな清流錦川の眺めもお楽しみいただけます。
※各日7日前までに要予約（先着順）
",,,錦川鉄道株式会社,0827-72-2002,,,"・JR岩国駅（運行区間　岩国駅～錦町駅）
 山口県岩国市麻里布町1丁目1番1号 
・ 錦町駅（運行区間　岩国駅～錦町駅）
 山口県岩国市広瀬7873－9
",,,,,,,,,,,,
350001,3500151015,山口県,,にしきふるさとまつり,ニシキフルサトマツリ,,2021-11-上旬,2021-11-上旬,,,,"「住民参加の町づくり」を主体に皆で準備、運営して祭を盛り上げます。よさこいも開催されます。
メイン会場　岩国高校広瀬分校、広瀬本通商店街
",,,NPO法人ほっとにしき,0827-72-2345,,,"岩国高校広瀬分校グラウンド
",山口県岩国市錦町広瀬岩国高校広瀬分校グラウンド,,34.274345,131.921814,"(1) 山陽自動車道岩国ＩＣから車で40分（187号線～434号線経由）
(2) 中国自動車道六日市ＩＣから車で15分（187号線～434号線経由）
",,,,,,,
350001,3500151016,山口県,,あじさい祭,アジサイマツリ,,2021-06-18,2021-07-04,,,,"山口県最大級！果子乃季の本社工場裏手に、約20,000本のあじさいが咲き誇ります。工場通路を開放して、豪華賞品の当たるあじさいフォトコンテストや俳句コンテストなどのイベントも！

※やまぐちフラワーランドからシャトルバスも運行。
",,,あさひ製菓株式会社,0820-22-0757,,,"あさひ製菓株式会社
",山口県柳井市柳井5275番地,,33.983418,132.115356,"(1) 玖珂ICから車で15分
(2) JR柳井駅から車で5分
",,,,,,,
350001,3500151017,山口県,,阿月神明祭,アツキシンメイマツリ,,2022-02-11,2022-02-11,,,,"国の重要無形民俗文化財に指定されている火祭り。正保元年から370年以上も継承されているお祭りで「神明」と呼ばれる東西2基のご神体を立て、神明踊りなどが奉納されます。
早朝に行われる神明の「起こし立て」と、夜に神明に火を放つ「はやし方」は必見です。
",,,柳井市阿月公民館,0820-27-0001,,,"阿月東西神明宮前
",山口県柳井市阿月,,33.878376,132.132141,"(1) ＪＲ山陽本線柳井駅から車で20分
",,,,,,,
350001,3500151018,山口県,,伊陸天神祭（通称牛天神）,イカチテンジンマツリ,,2021-04-04,2021-04-04,,,,"１８４０年代に始まった祭事で、立派な牛が出され、通称「牛天神」と呼ばれています。
金らんどんすで美しく華やかに着飾った牛が、氷室亀山神社からお旅所までゆっくりと御網代輿を引いて往復する様は、多くの参詣者の目を楽しませます。

※毎年4月第１日曜日
",,,伊陸天神祭奉賛会（お問い合わせは、柳井市商工観光課　0820-22-2111へお願いします）,,,,"氷室亀山神社
",山口県柳井市伊陸宮ヶ原,,34.026035,132.109619,"(1) ＪＲ山陽本線柳井駅からバスで20分
(2) 山陽自動車道玖珂ＩＣから車で10分
",,,,,,,
350001,3500151019,山口県,,オータムフェスタ,オータムフェスタ,,2021-10-22,2021-10-24,,,,"土・日を中心にさまざまな体験やイベントを開催します。
",,,やまぐちフラワーランド,0820-24-1187,,,"やまぐちフラワーランド
",山口県柳井市新庄500-1,,33.980457,132.092117,"(1) 山陽自動車道玖珂ICから車で15分
(2) JR柳井駅からタクシーで5分
",,,,,,,
350001,3500151020,山口県,,大畠俄まつり（協賛行事）,オオバタケニワカマツリ,,2021-09-26,2021-09-26,,,,"男神・女神の御輿が町中を練り歩き、夕方潮満ちる頃、浜から海に入りもみ合う、豊漁を祈願する勇壮な祭り。ビーチではステージイベントやバザーなどが催される。
",,,大畠観光協会,0820-45-2414,,,"大畠ふれあいビーチ他
",山口県柳井市大畠,,33.968517,132.163208,"(1) ＪＲ山陽本線大畠駅から徒歩で20分
(2) 山陽自動車道玖珂ICから車で25分
(3) 山陽自動車道熊毛ICから車で25分
",,,,,,,
350001,3500151021,山口県,,果子乃季　感謝の工場祭　柳井お菓子まつり,カシノキ　カンシャノコウジョウサイ　ヤナイオカシマツリ,,2021-10-29,2021-10-31,09:00,,,"毎年10月末頃、ハロウィンをテーマにした「柳井お菓子祭り（通称「工場祭」）」を開催。
日々の感謝の気持ちを込めて、多くのお客様に楽しんでいただけるよう、工場直出しの出来立てスイーツや様々なイベントをご用意。
ハロウィン仮装コンテストの開催す、たくさんの方が仮装していらっしゃるににぎやかなイベントです。
",,,あさひ製菓株式会社,0820-22-0757,,,"果子乃季　総本店
",山口県柳井市柳井5275番地,,33.983418,132.115356,"(1) 山陽自動車道玖珂ＩＣから車で15分（（柳井方面へ））
(2) ＪＲ柳井駅から車で5分
",,,,,,,
350001,3500151022,山口県,,グリーンフェスタ,グリーンフェスタ,,2021-04-29,2021-05-05,09:00,17:00,,"春の花が満開を迎えるゴールデンウィークに、様々なイベントを開催します。
",,,やまぐちフラワーランド,0820-24-1187,,,"やまぐちフラワーランド
",山口県柳井市新庄500-1,,33.980457,132.092117,"(1) 山陽自動車道玖珂ＩＣから車で15分
(2) ＪＲ柳井駅からタクシーで5分
(3) 熊毛ICから車で20分
",,,,,,,
350001,3500151023,山口県,,2021サザンセト・ロングライドinやまぐち,サザンセト・ロングライドインヤマグチ,,2021-10-11,2021-10-11,,,,"【大会概要】
内容：タイムレースではなく、制限時間内で多島美を誇る瀬戸内海や山麓の美しい景観を楽しみながら走行するサイクリングイベントです。
",,,大会事務局(一社)ITADAKI,082-961-4002,,,"柳井ウエルネスパーク
",山口県柳井市新庄,,33.976315,132.086502,"(1) 柳井駅から車で10分
(2) 山陽自動車道玖珂ＩＣから車で20分
(3) 山陽自動車道熊毛ＩＣから車で20分
",,,,,,,
350001,3500151024,山口県,,サマーフェスタ,サマーフェスタ,,2021-08-13,2021-08-15,,,,"夏の花が見頃を迎えるお盆の時期に様々なイベントを開催します。
",,,やまぐちフラワーランド,0820-24-1187,,,"やまぐちフラワーランド
",山口県柳井市新庄500-1,,33.980457,132.092117,"(1) JR山陽本線柳井駅からタクシーで5分
(2) 山陽自動車道玖珂ICから車で15分
(3) 山陽自動車道熊毛ICから車で20分
",,,,,,,
350001,3500151025,山口県,,白壁の町並みで金魚ちょうちんライトアップ,シラカベノマチナミデキンギョチョウチンライトアップ,,2021-08-01,2021-08-31,,,,"毎年夏限定の金魚ちょうちんライトアップ！
昼の景色から一変し、幻想的な町並みに様変わり。
昼と夜、白壁の町並みのふたつの顔をお楽しみください。
",,,柳井市商工観光課,0820-22-2111,,,"白壁の町並み
",山口県柳井市柳井津白壁の町並み,,33.967808,132.110336,"(1) JR柳井駅から徒歩で10分
(2) 山陽自動車道玖珂ICから車で約20分
(3) 山陽自動車道熊毛ICから車で約25分
",,,,,,,
350001,3500151026,山口県,,スプリングフェスタ,スプリングフェスタ,,2022-03-19,2022-03-21,,,,"春休みの子どもと、その家族が楽しめるイベントを、たくさん開催します。
",,,やまぐちフラワーランド,0820-24-1187,,,やまぐちフラワーランド,山口県柳井市新庄500-1,,33.980457,132.092117,"(1) 山陽自動車道玖珂ＩＣから車で15分
(2) ＪＲ山陽本線柳井駅からタクシーで5分
",,,,,,,
350001,3500151027,山口県,,花とお菓子まつり,ハナトオカシマツリ,,2021-10-29,2021-10-31,,,,"秋色花壇とハロウィンを楽しむイベントです。花壇はジニア、アフリカンマリーゴールド、サルビアが見頃です。
なお開催期間中、果子乃季総本店において柳井お菓子まつりも同時開催しております。
",,,やまぐちフラワーランド,0820-24-1187,,,やまぐちフラワーランド,山口県柳井市新庄500,,33.980457,132.092117,"(1) 果子乃季からバス（9：00～16：00無料シャトルバス運行）
",,,,,,,
350001,3500151028,山口県,,花のクリスマス,ハナノクリスマス,,2021-12-18,2021-12-19,,,,"ポインセチアやシクラメンの展示など、クリスマスの雰囲気いっぱい！
期間中は、大人から子供まで楽しめるクリスマスイベントを開催します。
",,,やまぐちフラワーランド,0820-24-1187,,,"やまぐちフラワーランド
",山口県柳井市新庄500-1やまぐちフラワーランド,,33.980457,132.092117,"(1) 山陽自動車道玖珂ICから車で15分
(2) JR柳井駅からタクシーで5分
",,,,,,,
350001,3500151029,山口県,,日積八朔大踊り,ヒヅミハッサクオオオドリ,,2021-08-28,2021-08-28,19:00,21:00,,"柳井地方最後の盆踊りとして200年近く続く、豊作を祈念する風鎮祭。
近郷から音頭師、太鼓師、踊り子など多数参加し、賑わいを復活しています。
広い境内の中央には、短冊や五色のテープで飾られた、山口県内最大規模のやぐらが踊りを彩ります。
",,,日積八朔振興会,0820-28-0306,,,"大帯姫八幡宮
",山口県柳井市日積4182-1,,34.015007,132.176132,"(1) 山陽自動車道玖珂ICから車で20分
",,,,,,,
350001,3500151030,山口県,,フラワーランドお客様感謝デー,フラワーランドオキャクサマカンシャデー,,2021-12-05,2021-12-05,,,,"これまで来園された皆様のご愛顧への感謝を込めて、毎年12月第一日曜日に、無料開園を行います。
様々な展示や体験を開催します。",,,やまぐちフラワーランド,0820-24-1187,,,"やまぐちフラワーランド
",山口県柳井市新庄500-1,,33.980457,132.092117,"(1) 山陽自動車道玖珂ＩＣから車で15分
(2) ＪＲ山陽本線柳井駅からタクシーで5分",,,,,,,
350001,3500151031,山口県,,フラワーランドのお正月,フラワーランドノオショウガツ,,2022-01-02,2022-01-03,,,,"餅まきなど、ご家族で楽しめるイベントを開催します。
",,,やまぐちフラワーランド,0820-24-1187,,,"やまぐちフラワーランド
",山口県柳井市新庄500-1,,33.980457,132.092117,"(1) 山陽自動車道玖珂ＩＣから車で15分
(2) ＪＲ山陽本線柳井駅からタクシーで5分
",,,,,,,
350001,3500151032,山口県,,ふれあいうずしおまつり,フレアイウズシオマツリ,,2021-05-08,2021-05-08,,,,"大畠地区一体となった産業祭。
露店コーナー、舞台コーナーなどがあります。",,,大畠観光協会,0820-45-2414,,,"柳井市大畠総合センター
",山口県柳井市神代4830,,33.980316,132.183746,"(1) ＪＲ大畠駅から徒歩で1分
(2) 山陽自動車道玖珂ICから車で20分
",,,,,,,
350001,3500151033,山口県,,柳井金魚ちょうちん祭り,ヤナイキンギョチョウチンマツリ,,2021-08-13,2021-08-13,16:30,21:00,,"柳井市の郷土民芸品である「金魚ちょうちん」を使った柳井市で最大の夏祭り。
柳井駅前通りを中心とした市街地や古市・金屋の白壁の町並みを会場として「金魚ちょうちん踊り」や「金魚ねぶたの練り歩き」などさまざまなイベントが開催され、多くの人で賑わいます。
街中に飾られた数千個の金魚ちょうちんに灯りがともされると、柳井の夜はとても幻想的な雰囲気に包まれます。",,,柳井金魚ちょうちん祭り協議会事務局（柳井市商工観光課内）,0820-22-2111,,,"JR柳井駅前～白壁の町並み一帯
",山口県柳井市市街地一帯,,33.96389,132.101669,"(1) ＪＲ柳井駅から徒歩で1分
(2) 山陽自動車道玖珂ＩＣから車で20分
",,,,,,,
350001,3500151034,山口県,,やない白壁　花香遊,ヤナイシラカベ　ハナコウユウ,,2022-03-中旬,2022-03-中旬,,,,"「花と香りで遊びましょう」をテーマに、女性の目線からアイデアを集めて企画された花と香りを楽しむことのできる春のイベントです。白壁の町並みの旧家を会場に、お香遊びや貝合わせ、投扇興などの雅な遊びを楽しめます。
",,,柳井市観光協会,0820-23-3655,,,"柳井市白壁通り
",山口県柳井市古市金屋地区白壁通り,,33.964062,132.096603,"(1) 山陽自動車道玖珂ICから車で約20分
(2) 山陽自動車道熊毛ICから車で約25分
",,,,,,,
350001,3500151035,山口県,,柳井天神春まつり,ヤナイテンジンハルマツリ,,2021-04-25,2021-04-25,,,,"まつり前日は、役付・金棒・先箱・毛槍による「夜参り行列」が実施されます。19時に白壁通りを出発し、天満宮まで夜の町中を練り歩きます。
また、まつり当日は、メインイベントの「大名行列」のほか、イベント満載です。「大名行列」は13時に天満宮を出発し、拍子木のリズムに合わせて、先箱・毛槍の華麗な演技が市内各所で披露されます。金棒のリズムに合わせての総勢200名、長さ500ｍの大名行列は、時代絵巻を再現したかのようです。
※2021年は新型コロナウイルス感染症拡大傾向を考慮し、中止となりました。なお、関係者におきまして神事のみ執り行う予定です。
",,,柳井天神春まつり実行委員会（柳井商工会議所内）,0820-22-3731,,,"柳井天満宮一帯
",山口県柳井市柳井天満宮（柳井市天神菅原神社）一帯,,33.983452,132.112854,"(1) ＪＲ柳井駅から徒歩で5分
(2) 山陽自動車道玖珂ＩＣから車で20分
",,,,,,,
350001,3500151036,山口県,,柳井ファーマーズマーケット,ヤナイファーマーズマーケット,,2021-10-30,2021-10-30,09:00,16:00,,"市内の朝市、直売所が大集合。ふるさとの魅力ある特産品や新鮮な野菜などを販売します。
",,,柳井市農林水産課,0820-22-2111,,,"やまぐちフラワーランド
",山口県柳井市新庄500番地1,,33.980457,132.092117,"(1) 山陽自動車道玖珂ＩＣから車で15分
(2) ＪＲ山陽本線柳井駅からタクシーで5分
",,,,,,,
350001,3500151037,山口県,,“元気づくり”くだまつ総踊り2021,“ゲンキヅクリ”クダマツソウオドリ2021,,2021-09-25,2021-09-25,15:30,20:00,,"市内外から多数のよさこいチームが集い、華やかな衣装に身をまとい迫力満点の演技を披露する「よさこい踊り」、総勢600人を超える踊り手が１つの輪になって踊り歩く「市民総踊り」を中心とした、踊りで人々に元気を届けるイベントです。飛び入り参加も大歓迎です。場内には出店も多数あり、下松の特産品も堪能できます。
",,,下松市地域交流課,0833-45-1841,,,,山口県下松市中央町21-3,,34.018559,131.86322,"(1) 山陽自動車道徳山東ICから車で10分
(2) JR下松駅から徒歩で15分
",,,,,,,
350001,3500151038,山口県,,㈱山下工業所 アルミ製バイオリン展示,（カブ）ヤマシタコウギョウショ アルミセイバイオリンテンジ,,2022-01-01,2023-12-31,,,,"(株)山下工業所は、東海道新幹線開業の前年、1963年新幹線の顔をつくる会社として創業。
打ち出し板金技法により制作された「アルミ製のバイオリン」等を国民宿舎大城にて展示しています。
",,,国民宿舎　大城,0833-52-0138,,,"国民宿舎　大城
",山口県下松市笠戸島14-1,,33.969048,131.84671,"(1) 山陽自動車道　徳山東ＩＣから車で約20分
(2) ＪＲ山陽本線　下松駅からバスで20分
",,,,,,,
350001,3500151039,山口県,,笠戸島河津桜まつり,カサドシマカワヅザクラマツリ,,2022-02-下旬,2022-03-上旬,,,,"笠戸島に咲く、「河津桜」をご存知ですか？毎年2月中旬頃から3月中旬頃まで可憐な花を咲かせます。「河津桜のまつり」では、笠戸島から春の訪れをお知らせします。
",,,下松市観光協会事務局（下松商工会議所内）,0833-45-6911,,,"笠戸島家族旅行村
",山口県下松市大字笠戸島14-1,,33.969048,131.84671,"(1) ＪＲ下松駅からバスで15分 → 「国民宿舎前」下車から徒歩で15分
(2) 山陽自動車道徳山東ＩＣから車で約30分
",,,,,,,
350001,3500151040,山口県,,笠戸島まつり,カサドジママツリ,,2021-05-09,2021-05-09,10:00,14:30,,"島全体が瀬戸内海国立公園の美しい笠戸島を舞台に、ステージイベントや笠戸島の海の幸を楽しめる出店などで、毎年多くの家族連れでにぎわいます。その他に笠戸島の特産品が当たる大抽選会やもちまきなどが行われます。
",,,下松市観光協会,0833-45-6911,,,"国民宿舎　大城
",山口県下松市笠戸島14-1,,33.969048,131.84671,"(1) ＪＲ山陽本線下松駅からバスで20分
(2) 山陽自動車道徳山東ICから車で20分
",,,,,,,
350001,3500151041,山口県,,「きつねの嫁入り（稲穂祭）」,キツネノヨメイリ（イナホマツリ）,,2021-11-03,2021-11-03,,,,"「きつねの嫁入り」は、昭和25年（1950年）秋に、第1回の稲穂祭の催しのひとつとして誕生し、以来毎年、開催される神事です。
祭りでは、きつねの面をかぶった嫁入り行列が、花岡駅までの旧街道をゆっくりと進みます。
主役は、白狐の新郎新婦で仲良く並んで人力車に揺られ、後ろに紋付袴姿の親族やお供が続きます。
なお、当日は、出店やバザー、餅まき、福引大会などが盛大に行われます。
",,,花岡福徳稲荷社,0833-43-4500,,,"花岡福徳稲荷神社周辺
",山口県下松市大字末武上　戒町1224,,34.043716,131.869751,"(1) ＪＲ山陽本線下松駅からバスで15分
(2) ＪＲ岩徳線　周防花岡駅から徒歩で7分
",,,,,,,
350001,3500151042,山口県,,くだまつ笠戸島アイランドトレイル2022,クダマツカサドシマアイランドトレイル2022,,2022-02-中旬,2022-03-上旬,,,,"舞台となる、瀬戸内海国立公園「笠戸島」は、「七浦七岬」と呼ばれる変化に富んだ海岸線を持つ。整備されたハイキングコース、摺鉢山や高壺山など標高200mを超える山、海の上を走る海上遊歩道など豊かな自然の中を駆け巡る。かと思えば、タンカーなど大型船の造船所や戦争遺跡、恐竜の口の中！？など変化に富んだコースはランナーを飽きさせない。笠戸島全域を使ったアイランドトレイルお楽しみください。
",,,くだまつ笠戸島アイランドトレイル実行委員会事務局（下松商工会議所内）,0833-41-1070,,,"笠戸島
",山口県下松市大字笠戸島,,33.960022,131.854721,"(1) 山陽自動車道徳山東ＩＣから車で約20分
",,,,,,,
350001,3500151043,山口県,,くだまつ笠戸島マリンイカダレース大会,クダマツカサドジママリンイカダレースタイカイ,,2021-08-29,2021-08-29,09:10,13:30,,"下松の夏を代表する全国でも珍しい海で開催するイカダレースのイベントです。様々な形の手作りイカダをひっさげ、県内外から海上の猛者達が笠戸島のはなぐり浜に集結します。はなぐり浜から大城岬間の往復1.5kmのコースのタイムを競う「マリンイカダレース」を中心に、当日参加可能な「ビーチフラッグ大会」など、来場者全員が楽しめる参加型のイベントになっています。
",,,下松商工会議所青年部,0833-41-1070,,,"はなぐり海水浴場
",山口県下松市笠戸島はなぐり,,33.960022,131.854721,"(1) ＪＲ下松駅からバスで15分（笠戸島ハイツ下車）
(2) 山陽自動車道徳山東ICから車で20分
",,,,,,,
350001,3500151044,山口県,,下松市中小企業勤労者フェスタ,クダマツシチュウショウキギョウキンロウシャフェスタ,,2021-11-23,2021-11-23,,,,"下松市産業技術振興表彰式、歌謡ショー、お楽しみ抽選会などが行われます。
",,,下松市中小企業勤労福祉協議会事務局（下松市　産業振興課内）,0833-45-1840,,,"スターピアくだまつ　大ホール
",山口県下松市中央町21-1スターピアくだまつ　大ホール,,34.018559,131.86322,"(1) JR下松駅から徒歩で15分
",,,,,,,
350001,3500151045,山口県,,下松市農業公園秋まつり,クダマツシノウギョウコウエンアキマツリ,,2021-11-中旬,2021-11-中旬,,,,"農産物の販売、お楽しみ抽選会、もちまきなどが行われます。
",,,下松市農林水産課,0833-45-1844,,,"下松市農業公園
",山口県下松市大字来巻601番地2,,34.018188,131.922913,"(1) 山陽自動車道熊毛ICから車で20分
(2) JR岩徳線周防久保駅から徒歩で20分
",,,,,,,
