番号,施設名称,施設の種別,緯度,経度,郵便番号,住所,電話番号,利用可能日,利用可能開始時間,利用可能終了時間,設置階数,ドアの種別,ドアの属性,ドアのガラスの有無,便座スペースの方向,手すりの形状,補助器具等の有無と形状,非常用ボタンの有無,手洗い場下面における床からの高さ,鏡の有無,水道・自動か手動か,水道・手動の場合のハンドルの形状,温水の有無,石鹸の種類,照明・自動か手動か,照明・スイッチの床からの高さ,トイレットペーパーの床からの高さ,ウォシュレットの有無,ウォシュレットのスイッチの床からの高さ,水洗・自動か手動か,水洗用のスイッチまたはレバーの場所（未使用）,坂の有無,舗装の有無,スロープの有無,段差の有無,階段の有無,エレベータの有無,障がい者用駐車場の有無,駐車場台数,トイレまでの屋根の有無,オストメイトの有無,オムツ替え台の有無,ベビーチェアの有無,荷物や服等をかけるフックの有無,その他複雑な操作を必要とする機能の有無,画像,画像1,画像2,画像3,画像4,
11,宇部市立図書館,文化・教育施設,33.955828,131.249452,755-0033,山口県宇部市琴芝町一丁目1番33号,0836-21-1966,火-日　※年末年始及び月末日を除く（詳細は図書館HPに掲載）,9時,18時（土・日・祝）・19時（平日）,1階,引き戸,手動,無,男性用トイレは右・女性用トイレは左,L字手すり、可動式手すり,無,有,75㎝,有,自動・オストメイトは手動,オストメイトはハンドルをまわして開閉,水のみ・オストメイトは水とお湯,固形,手動（開館時は常時点灯）,-,80㎝,有,80㎝,自動（センサー）・手動（スイッチ）も有,,無,-,無,無,無,有,有,2台,無,有,有（女性用トイレ及び館内授乳室）,有,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_011_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_011_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_011_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_011_04.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_011_05.jpg,
12,宇部市総合福祉会館,文化・教育施設,33.953056,131.253246,755-0033,山口県宇部市琴芝町二丁目4番20号,0836-33-3156,月-日　※毎月第3水曜日、12月29日から1月3日を除く,9時,22時,1階,引き戸,手動（スイッチ）,無,左,L字手すり、可動式手すり,無,有,80㎝,有,自動,-,水のみ,液体,手動,100㎝,60㎝,有,80㎝,手動（スイッチ）,,無,-,有,無,無,有,有,4台,無,無,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_012_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_012_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_012_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_012_04.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_012_05.jpg,
13,ときわミュージアム,博物館,33.94966679,131.2815328,755-0025,山口県宇部市野中三丁目4番29号,0836-37-2888,月・水-日　※火曜日が休日・祝日の場合その翌日が休館日,9時,17時,1階,引き戸,手動,有,左,L字手すり、可動式手すり,無,有,65cm,有,自動,-,水のみ,泡（手動）,自動,-,85ｃｍ,無,-,自動,,有,アスファルト,無,無,無,無,有,4台,無,無,有,有,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_013_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_013_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_013_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_013_04.jpg,,
14,パルセンター宇部,スポーツ・レクリエーション施設,33.97322,131.223182,755-0808,山口県宇部市西平原四丁目9番1号,0836-31-2212,月-日　※12月29日～1月3日を除く,9時,21時,1階,引き戸,自動,有,右,L字手すり、可動式手すり,可動式手すり,有,70cm,有,手動,左右に動かすレバー,水のみ,液体,手動,110cm,90cm,有,110cm,手動（スイッチ）,,無,-,有,無,有,無,有,2台,無,無,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_014_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_014_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_014_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_014_04.jpg,,
15,ときわ公園（正面入口付近）,公園,33.94551,131.284593,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,24時間,24時間,-,引き戸,自動,有,右,L字手すり、可動式手すり,可動式手すり・背もたれ,有,65㎝,有,自動・オストメイトは手動,オストメイトは左右に動かすレバー,水のみ・オストメイトは水とお湯,無,自動,-,60㎝・85㎝,無,-,手動（スイッチ）,,無,-,無,無,無,無,有,3台,無,有,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_015_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_015_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_015_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_015_04.jpg,,
16,ときわ公園（石炭記念館付近）,公園,33.945619,131.285623,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,24時間,24時間,-,引き戸,手動,有,左,L字手すり、可動式手すり,無,有,65㎝,有,手動,左右に動かすレバー,水のみ,無,自動,-,100㎝,無,-,手動（スイッチ）,,無,-,無,無,無,無,無,-,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_016_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_016_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_016_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_016_04.jpg,,
17,ときわ公園（花笑花壇付近）,公園,33.947173,131.284281,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,24時間,24時間,-,引き戸,手動,有,左,L字手すり、可動式手すり,可動式手すり,有,65㎝,有,手動,左右に動かすレバー,水のみ,無,手動,95㎝,80㎝,有,100㎝,自動（センサー）・手動（レバー）,,有,コンクリート,有,無,無,無,無,-,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_017_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_017_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_017_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_017_04.jpg,,
18,ときわ公園（彫刻野外展示場付近）,公園,33.947547,131.282999,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,24時間,24時間,-,引き戸,手動,有,右,L字手すり、可動式手すり,無,有,65㎝,有,手動,左右に動かすレバー,水のみ,無,自動,-,55㎝・85㎝,無,-,手動（スイッチ）,,有,アスファルト,有,無,有,無,無,-,無,無,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_018_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_018_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_018_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_018_04.jpg,,
19,ときわ公園（ボタン苑付近）,公園,33.950006,131.281328,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,24時間,24時間,-,引き戸,手動,無,左,L字手すり、可動式手すり,無,有,65㎝,無,手動,左右に動かすレバー,水のみ,無,手動,85㎝,85㎝,無,-,手動（レバー）,,無,-,無,無,無,無,無,-,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_019_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_019_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_019_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_019_04.jpg,,
20,ときわ公園（しょうぶ苑付近）,公園,33.950619,131.280045,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,24時間,24時間,-,引き戸,手動,有,右,L字手すり、可動式手すり,無,有,65㎝,有,手動,左右に動かすレバー,水のみ,無,自動,-,55㎝・85㎝,無,-,手動（スイッチ）,,無,-,有,無,無,無,無,-,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_020_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_020_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_020_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_020_04.jpg,,
21,ときわ公園（梅園付近）,公園,33.947321,131.287501,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,24時間,24時間,-,引き戸,手動,無,左,L字手すり、可動式手すり,無,有,65㎝,無,手動,左右に動かすレバー,水のみ,無,自動,-,85㎝,無,-,手動（スイッチ）,,無,-,無,無,無,無,無,-,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_021_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_021_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_021_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_021_04.jpg,,
22,ときわ公園（ときわ少年キャンプ場）,公園,33.948987,131.288758,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,24時間,24時間,-,引き戸,手動,有,左,L字手すり、可動式手すり,無,有,65㎝,有,自動,-,水のみ,無,自動,-,75㎝・110㎝,無,-,手動（スイッチ）,,無,-,無,無,無,無,無,-,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_022_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_022_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_022_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_022_04.jpg,,
23,ときわ公園（ときわ湖畔北キャンプ場）,公園,33.960938,131.290012,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,24時間,24時間,-,引き戸,手動,有,右,L字手すり、可動式手すり,無,有,65㎝,有,手動,左右に動かすレバー,水のみ,無,手動,105㎝,80㎝,無,-,手動（スイッチ）,,無,-,有,無,無,無,無,-,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_023_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_023_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_023_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_023_04.jpg,,
24,ときわ動物園（ときわ動物園入口付近）,動物園,33.946253,131.283382,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日　※火を除く,9時30分,17時,-,引き戸,手動,無,右,L字手すり、可動式手すり,可動式手すり・背もたれ,有,65㎝,有,自動・オストメイトは手動,オストメイトは左右に動かすレバー,水のみ・オストメイトは水とお湯,液体,自動,-,80㎝,有,100㎝,手動（スイッチ）,,無,-,無,無,無,無,無,無,無,有,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_024_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_024_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_024_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_024_04.jpg,,
25,ときわ動物園（ときわ動物園内）,動物園,33.944817,131.282633,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日　※火を除く,9時30分,17時,-,引き戸,手動,無,右,L字手すり、可動式手すり,可動式手すり・背もたれ,有,65㎝,有,自動・オストメイトは手動,オストメイトは左右に動かすレバー,水のみ・オストメイトは水とお湯,液体,自動,-,75㎝,有,95㎝,手動（スイッチ）,,無,-,無,無,無,無,無,無,無,有,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_025_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_025_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_025_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_025_04.jpg,,
26,ときわ遊園地（ときわ遊園地内）,遊園地,33.945071,131.282609,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日　※火を除く,9時30分,17時,-,引き戸,手動,無,右,L字手すり、可動式手すり,可動式手すり・背もたれ,有,65㎝,有,自動・オストメイトは手動,オストメイトは左右に動かすレバー,水のみ・オストメイトは水とお湯,液体,自動,-,80㎝,有,100㎝,手動（スイッチ）,,無,-,無,無,無,無,無,無,無,有,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_026_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_026_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_026_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_026_04.jpg,,
27,ときわ公園（ときわレストハウス）,無料休憩施設,33.946852,131.283674,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,9時,17時,1階,引き戸,手動,有,右,L字手すり、可動式手すり,無,有,65㎝,有,手動,左右に動かすレバー,水のみ,無,自動,-,75㎝,有,45㎝,手動（スイッチ）,,無,-,無,無,無,有,有,5台,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_027_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_027_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_027_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_027_04.jpg,,
28,ときわ公園（ときわ湖水ホール1階）,文化・教育施設,33.948085,131.287961,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,9時,17時（施設利用予約あり）・22時（施設利用予約なし）,1階,引き戸,手動,有,左,L字手すり、可動式手すり,無,無,65㎝,有,手動,左右に動かすレバー,水のみ,固形,手動,100㎝,85㎝,無,-,手動（スイッチ）,,無,-,有,無,有,有,有,7台,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_028_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_028_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_028_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_028_04.jpg,,
29,ときわ公園（ときわ湖水ホール2階）,文化・教育施設,33.948085,131.287961,755-0001,山口県宇部市大字沖宇部２５４番地,0836-54-0551,月-日,9時,17時（施設利用予約あり）・22時（施設利用予約なし）,2階,引き戸,手動,有,右,L字手すり、可動式手すり,無,無,65㎝,有,手動,上下に動かすレバー,水のみ,無,手動,75㎝,85㎝,無,-,自動,,無,-,有,無,有,有,有,7台,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_029_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_029_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_029_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_029_04.jpg,,
30,西岐波市民センター,支所・市民センター,33.954578,131.312134,755-0153,山口県宇部市床波六丁目5番22号,0836-51-9001,月-金　※祝日、12月29日～1月3日を除く,8時30分,17時15分,１階,引き戸,手動,有,右,L字手すり、可動式手すり,可動式手すり,無,70ｃｍ,有,手動,左右に動かすレバー,水のみ,液体,手動,100ｃｍ,90ｃｍ,無,-,手動（スイッチ）,,無,-,有,有,有,無,有,2台,無,無,有,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_030_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_030_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_030_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_030_04.jpg,,
