全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,POIコード,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,画像,画像_ライセンス,URL,備考
352110,5000020352110,,山口県長門市,能満寺,ノウマンジ,,,,,俵山郷2441,山口県,長門市,俵山郷,2441,,34.28864782,131.12377278491203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（一社）長門市観光コンベンション協会,0837-26-0074,,,,,,,,https://nanavi.jp/sightseeing/noumanji/,
352110,5000020352110,,山口県長門市,八坂神社,ヤサカジンジャ,,,,,仙崎祇園町1342,山口県,長門市,仙崎祇園町,1342,,34.59376022,131.144678808484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,八坂神社,0837-26-1256,,,,,,,,https://nanavi.jp/sightseeing/yasakajinja/,
352110,5000020352110,,山口県長門市,飯山八幡宮,イイヤマハチマングウ,,,,,東深川藤中1832,山口県,長門市,東深川藤中,1832,,34.36641128,131.18586994692922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飯山八幡宮,0837-22-2732,,,,,,,,https://nanavi.jp/sightseeing/iiyamahatimanguu/,
352110,5000020352110,,山口県長門市,赤崎神社楽桟敷,アカサキジンジャガクサジキ,,,,,東深川藤中,山口県,長門市,東深川藤中,,,34.36513931,131.18310382883536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長門市役所教育委員会文化財保護室,0837-23-1264,,,,,,,,https://nanavi.jp/sightseeing/akasakisajiki/,
352110,5000020352110,,山口県長門市,青海島観光船案内所,オオミジマカンコウセンアンナイショ,,,,,仙崎字漁港南4297-2,山口県,長門市,仙崎字漁港南,4297-2,,34.39137601,131.2021712293925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青海島観光汽船株式会社,0837-26-0834,,,,,,,,https://nanavi.jp/pamphlets/%e9%9d%92%e6%b5%b7%e5%b3%b6%e8%a6%b3%e5%85%89%e6%b1%bd%e8%88%b9/,
352110,5000020352110,,山口県長門市,東後畑棚田,ヒガシウシロバタタナダ,,,,,油谷東後畑,山口県,長門市,油谷東後畑,,,34.40491964,131.05341911300812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（一社）長門市観光コンベンション協会,0837-26-0074,,,,,,,,https://nanavi.jp/sightseeing/tanada/,
352110,5000020352110,,山口県長門市,極楽寺（金銅一光三尊立像）,ゴクラクジ（コンドウイッコウサンソンリュウゾウ）,,,,,仙崎新町1504,山口県,長門市,仙崎新町,1504,,34.39425648,131.19758531534129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長門市教育委員会文化財保護室,0837-23-1264,,,,,,,,https://nanavi.jp/sightseeing/gokurakuji/,
352110,5000020352110,,山口県長門市,向岸寺（鯨位牌・鯨鯢過去帳）,コウガンジ（クジライハイ・ケイゲイカコチョウ）,,,,,通936,山口県,長門市,通,936,,34.43266974,131.25559923754489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,向岸寺,0837-28-0064,,,,,,,,https://nanavi.jp/sightseeing/kujirabaka/,
352110,5000020352110,,山口県長門市,俵島柱状節理,タワラジマチュウジョウセツリ,,,,,油谷向津具下,山口県,長門市,油谷向津具下,,,34.39291495,130.93275424417658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（一社）長門市観光コンベンション協会,0837-26-0074,,,,,,,,https://nanavi.jp/sightseeing/tawarajima/,
352110,5000020352110,,山口県長門市,遍照寺,ヘンショウジ,,,,,仙崎今浦町1776,山口県,長門市,仙崎今浦町,1776,,34.39633831,131.19828924521377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,遍照寺,0837-26-0483,,,,,,,,https://nanavi.jp/sightseeing/henjoji/,
352110,5000020352110,,山口県長門市,元乃隅神社【2021.4.7～参拝再開】,モトノスミジンジャ,,,,,油谷津黄498,山口県,長門市,油谷津黄,498,,34.41989199,131.06278337522323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（一社）長門市観光コンベンション協会,0837-26-0074,,,,,,,,https://nanavi.jp/sightseeing/motonosumiinarijinja/,
352110,5000020352110,,山口県長門市,極楽寺,ゴクラクジ,,,,,三隅下3633,山口県,長門市,三隅下,3633,,34.37896169,131.0439585558234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,極楽寺,0837-43-0625,,,,,,,,https://nanavi.jp/sightseeing/gokurakuji/,
352110,5000020352110,,山口県長門市,長門市観光案内所　YUKUTE,ナガトシカンコウアンナイジョ　ユクテ,,,,,仙崎4297－6,山口県,長門市,仙崎,,,34.39150819,131.20085091880475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（一社）長門市観光コンベンション協会,0837-26-0074,,,,,,,,https://nanavi.jp/senzakitchen/facility/yukute/,
352110,5000020352110,,山口県長門市,黄波戸温泉交流センター,キワドオンセンコウリュウセンター,,,,,日置上3137-1,山口県,長門市,日置上3137番地1,3173-1,,34.39631728,131.13227672858122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黄波戸温泉交流センター,0837-37-4320,,,,,,,,https://nanavi.jp/stay/kiwado/,
352110,5000020352110,,山口県長門市,俵山しゃくなげ園,シャクナゲエン,,,,,俵山大羽山,山口県,長門市,俵山大羽山,,,34.37063135,131.12729815002564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,俵山しゃくなげ園,0837-29-5070,,,,,,,,https://nanavi.jp/activities/tawarayamashakunageen/,
352113,5000020352110,,山口県長門市,青海島共和国,オオミジマキョウワコク,,,,,仙崎2874番地,山口県,長門市,仙崎,2874,,34.40041939,131.19270689770894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青海島共和国,0837-26-1120,,,,,,,,https://nanavi.jp/activities/omijimakyouwakoku/,
