#LINK<-- ファイルタイプの指定,http://linkdata.org/upload,<-- このURLのページからこのファイルをアップロードしてください。,,,,,,,,,,,,,,,,,,,
#file_name<-- ファイルの名前,ube_genki,,,,,,,,,,,,,,,,,,,,
#lang<-- 言語指定,ja,,,,,,,,,,,,,,,,,,,,
#attribution_name<-- 作成者の名前,宇部市,,,,,,,,,,,,,,,,,,,,
#property<-- プロパティの名前またはURI,title,http://purl.org/dc/elements/1.1/description,categories,artimg,artimg,price,shop,jigyosha,phone,fax,url,e-mail,ichijisanpin,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,,,,,,
#object_type_xsd<-- プロパティのデータ形式,string:ja,string:ja,string:ja,string:other,string:other,string:ja,string:ja,string:ja,string:en,string:en,string:en,string:ja,float,float,float,,,,,,
#property_context<-- プロパティのContext,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,,,,,,
11,うべ物語,宇部市小野地区にある「しんあい農園」の卵を活用。のびのびと広い鶏舎で育まれた鶏の卵は、味や風味など品質に優れています。合成添加物を一切使わず、安心安全なお菓子作りにこだわる、ピエロの生キャラメルケーキ。,認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/242/25ubemonogatari.jpg,,"135円／1個
820円／1箱6個入",お菓子のピエロ、山口宇部空港、アルク恩田店,有限会社お菓子のピエロ（宇部市大字西岐波1529番地20）,0836-51-5687,0836-51-5687,,piero@aurora.ocn.ne.jp,卵,33.963378,131.31699,25,,,,,
12,宇部炭都バーグ,かつて、宇部は炭都であったことから、石炭をイメージしたスポンジと、石炭の粒に見立てたレーズンを混ぜ込んだクリームとで表現した、宇部の歴史をふんわり挟みこんだ焼き菓子。ラムレーズン味とイチゴ味があります。,認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/245/30ubetantoba-gu.jpg,,"250円／1個
1,500円／1箱6個入",Bon appetit！,Bon appetit！（宇部市東新川町4番13号）,0836-38-1231,0836-38-1231,http://www.patissier-bonappetit.jimdo.com/,,卵,33.947929,131.254397,30,,,,,
13,宇部煉瓦,１つずつ小さな煉瓦の形をした器に入った焼き菓子。しっとりした生地にアーモンド、アンズを散りばめて、カリッとした食感をプラス。美しい桃色の宇部煉瓦を食べて、宇部の歴史に思いを馳せてみては。,認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/246/31uberenga.jpg,,"200円／1個
1,200円／1箱6個入",Bon appetit！,Bon appetit！（宇部市東新川町4番13号）,0836-38-1231,0836-38-1231,http://www.patissier-bonappetit.jimdo.com/,,卵,33.947929,131.254397,31,,,,,
14,茶葉まるごと 粉末緑茶,宇部市小野地区の山口茶を活用。春先に収穫した一番茶だけを、時間をかけて丁寧に加工した粉末茶。お湯に溶かしてそのまま飲んでいただくのはもちろん、料理、お菓子にもアレンジ可能。アイデアがふくらむ一品。,認証製品名からさがす(218:search_product)--お茶加工品(224:tea),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/247/32tyabamarugotohunmaturyokutya.jpg,,756円／1袋100g,"JA山口宇部緑茶センター　※事前予約用
農産物直売所　新鮮館、山口宇部空港",JA山口宇部緑茶センター（宇部市大字末信15番地1）,0836-41-0302,0836-44-7555,"
https://www.ja-ymg.or.jp/",ryokucya-c@jaymgube.or.jp,山口茶,34.016318,131.241801,32,,,,,
15,宇部沖 朝獲れ鮮魚の一夜干し,宇部沖で獲れた魚介類の美味しさを一夜干しでお届け。キスゴ、レンチョウ、甲イカ、白ミル貝など季節に応じた旬の魚を独自製法で、魚種別に味付け。そのまま焼くのはもちろん、様々な調理法を提案しています。,認証製品名からさがす(218:search_product)--水産加工品(220:suisan),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/249/35ubeokiasatoresengyonoitiyabosi.jpg,,オープン価格（魚種による）,有限会社魚千代,有限会社　魚千代（宇部市相生町3番17号）,0836-35-1270,0836-32-3369,http://www.uochiyo.com,uochiyo@gol.com,キスゴ（シロギス）、レンチョウ（アカシタビラメ）、甲イカ、白ミル貝(季節に応じて旬の魚),33.952494,131.245095,35,,,,,
16,宇部街日和,宇部の卵を活用。宇部の名所を散りばめた季節に応じたパッケージに、宇部色のフィナンシェを詰め合わせました。,認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/250/39ubematibiyori.jpg,,"180円／1個
1,120円／1箱5個入
2,020円／1箱10個入",創作洋菓子のロイヤル、菓子工房yakushiji、山口宇部空港創作洋菓子のロイヤルオンラインショップhttp://royal.theshop.jp/,創作洋菓子のロイヤル（宇部市あすとぴあ1丁目2番4号）,0836-33-0100,0836-22-0300,http://www.so-royal.com/,s-royal@live.jp,卵,33.959383,131.247095,39,,,,,
17,米まんじゅう 吉部の里,"「米・食味分析鑑定コンクール：国際大会」にて特別優秀賞を受賞した吉部産米を使用。
天日干しなどの手間を加えてパウダー状に仕上げ、ふんわり、もちもち、しっとりした食感の饅頭です。",認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/252/45.jpg,,130円／1個,"おいでませ吉部（第2水曜日）
40個以上注文の場合、予約にて可",おいでませ吉部（宇部市大字東吉部2818番地3）,0836-68-0141,,http://www.yamaguchi-slow.jp/contents/guide/78/,,米（米粉）,34.127816,131.285807,45,,,,,
18,焼酎乃御華士 長州侍,"宇部市小野地区にある「しんあい農園」の卵を活用。のびのびと広い鶏舎で育まれた鶏の卵は、味や風味など品質に優れている。芋焼酎「長州侍」を染み込ませた、芳醇な香りのバターケーキ。
※この製品はお酒を使用しています。",認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/253/46syoutyuunookasityousyuuzamurai.jpg,,"1,080円／1箱350g",お菓子のピエロ、山口宇部空港、アルク恩田店,有限会社お菓子のピエロ（宇部市大字西岐波1529番地20）,0836-51-5687,0836-51-5687,,piero@aurora.ocn.ne.jp,卵,33.963378,131.31699,46,,,,,
19,山口宇部牛100％のまるごと宇部元気バーガー,手作りのバター風味のバンズに、山口宇部牛100%のジューシーなハンバーグと宇部産たまごの目玉焼き、新鮮野菜をサンドした、地元の素材にとことんこだわった高級ハンバーガー。,認証製品名からさがす(218:search_product)--パン(226:bread),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/257/54yamagutiubebaga.jpg,,590円／1個,シュクルヴァン宇部店,シュクルヴァン宇部店 あさひ製菓株式会社（宇部市東梶返三丁目17番15号）,0836-37-0757,,http://www.kasinoki.co.jp/,info@kasinoki.co.jp,山口宇部牛、卵,33.948617,131.265364,54,,,,,
20,小川のういろう　宇部産緑茶,宇部市小野地区で採れるお茶を使ったういろう。自家製あん、本わらび粉、美味しい水にこだわり製造している。山口県銘菓ういろうを宇部産緑茶で表現したお土産におすすめの一品。,認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/259/56-3ogawanouirouubesanryokutya.jpg,,"102円/1本
334円/3本
649円/6本",小川蜜カス本舗、小川蜜カス本舗中野プラザ店、フジグラン宇部、ゆめタウン宇部、アルク恩田店,有限会社　小川蜜カス本舗（宇部市昭和町一丁目4番22号）,0836-21-0857,0836-31-8668,http://www.ogawamitsukasu.jp/,,山口茶,33.941513,131.254733,56,,,,,
21,やまぐちうべっちゃケーキ,宇部市小野地区で採れるお茶を使ったケーキ。煎茶が生地に混ぜ込んであり、お茶の風味だけでなく茶葉も楽しめます。,認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/261/58yamagutiubettyakeki.jpg,http://odcs.bodik.jp/352021/wp-content/uploads/sites/8/2017/02/genki_ogawamitsukasu03.jpg,180円／1個,小川蜜カス本舗、小川蜜カス本舗中野プラザ店、フジグラン宇部、ゆめタウン宇部、アルク恩田店,有限会社　小川蜜カス本舗（宇部市昭和町一丁目4番22号）,0836-21-0857,0836-31-8668,http://www.ogawamitsukasu.jp/,,山口茶,33.941513,131.254733,58,,,,,
22,ぐうですぐうのはちみつブルーベリーソース,"宇部産ブルーベリーと宇部で採取されたはちみつを使った甘さ控え目なソース。ヨーグルトやアイスクリームにかけることはもちろん、炭酸で割ったブルーベリーサワーもおすすめです。
",認証製品名からさがす(218:search_product)--農産加工品(223:nousan),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/262/_dsc0791_s.jpg,,620円/1個130ｇ,ぐうですCafe＆Foods、BarMielときわ遊園店／湖畔店,認定特定非営利活動法人ぐうですぐう（宇部市あすとぴあ三丁目3番33号）,0836-39-9033,0836-39-9058,http://www.goodesgoo.info,,ブルーベリー、蜂蜜,33.985253,131.299654,61,,,,,
23,ブランデーケーキ,宇部の卵を活用。1956年から作り続けている、ロイヤルのアイコンとなる伝統のケーキ。,認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/263/66burandekeki.jpg,,"【スタンダード】1,080円1,296円/1箱（Ｍサイズ）1,869円/1箱（Ｌサイズ）
【プレミアム】2,484円/1箱（Ｍサイズ）4,212円/1箱（Ｌサイズ）
【エクセレントXO】4,104円/1箱（Ｍサイズ）6,999円/1箱（Ｌサイズ）",創作洋菓子のロイヤル、菓子工房yakushiji、山口宇部空港、創作洋菓子のロイヤルオンラインショップhttp://royal.theshop.jp/,創作洋菓子のロイヤル（宇部市南小串二丁目4番2号）,0836-33-0100,0836-22-0300,http://www.so-royal.com/,s-royal@live.jp,卵,33.959383,131.247095,66,,,,,
24,吉部たけのこ物語　吉部炙り筍ご飯,"薫り高く肉厚で歯ごたえの良い吉部産筍を、贅沢にたっぷり使用したご飯の素。筍は炙ることで風味豊かに仕上げている。上品で優しい味わいをぜひどうぞ。
※この製品は調理が必要",認証製品名からさがす(218:search_product)--農産加工品(223:nousan),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/265/69kibetakenokonoaburitakenokogohan.jpg,http://odcs.bodik.jp/352021/wp-content/uploads/sites/8/2017/02/genki_3-2.jpg,オープン価格／1袋,「楠こもれびの郷」内　楠四季彩市,楠むらづくり株式会社（宇部市大字西万倉1662番地1）,0836-67-2617,0836-67-2616,http://www.komorebinosato.net/,kk-sato@c-able.ne.jp,筍,34.070079,131.244231,69,,,,,
25,肉厚　えいひれロール,"瀬戸内の豊かな自然が育んだエイを、漁業者の奥様方と加工のノウハウを持つ加工業者との連携により製品化に成功しました。
肉厚なエイのヒレ部分をふわっとやわらかく加工し、素材の良さが伝わる味付けに仕上げました。おやつやおつまみとして最適です。
開封後はそのまま食べられます。",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/266/71nikuatueihirero-ru.jpg,,オープン価格/1袋50ｇ,"うべ新鮮市場　元気一番（TEL.0836-31-7070）
（毎週金・土・日11：00～14：00）",山口県漁業協同組合　宇部岬支店（宇部市八王子町12番24号）,0836-31-0233,0836-31-0232,,,ナルトビエイ,,,71,,,,,
26,えいひれジャーキー,"瀬戸内の豊かな自然が育んだエイを、漁業者の奥様方が真心を込めて作り上げた商品です。
水揚直後に氷締めする等鮮度管理を徹底するとともに、山口県立大津緑洋高校（長門市）と産学連携で処理技術を確立し、特有の臭みもなく風味豊かに仕上げています。
レンジで10秒から20秒ほど温めてから食べてください。口の中で食材の旨味が溢れます。
お酒の肴として最適です。
",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/267/72eihireja-ki-.jpg,,オープン価格/1袋80ｇ,"うべ新鮮市場　元気一番（TEL.0836-31-7070）
（毎週金・土・日11：00～14：00）",山口県漁業協同組合　宇部岬支店（宇部市八王子町12番24号）,0836-31-0233,0836-31-0232,,,ナルトビエイ,,,72,,,,,
27,贈答用　プレミアム笑顔のきくらげ詰合せ,"天日干されたキクラゲ。ビタミンDや鉄分、カルシウム、水溶性食物繊維等の栄養素を多く含んでいます。
どんな料理にも合わせやすい肉厚プルプルジューシーなキクラゲの食感を、ぜひお楽しみください。",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/268/74-1zoutouyoupuremiamuegaonokikuragetumeawasepakke-zi.jpg,,"3,500円/ギフト1箱85ｇ",幸屋、楠こもれびの郷,株式会社サンアロー（宇部市芝中町11番46号）,0836-35-0035,0836-22-3389,,info@sunarrow.biz,①乾燥あらげきくらげ、②白いあらげきくらげ,,,74,,,,,
28,One Harb Gelee,"爽やかで酸味と優しい甘味で、パンやヨーグルト、クラッカーに良く合います。サラダに和えたり、アイスにかけても美味しくいただけます。
自分たちで栽培したハーブを、宇部西高校との連携により開発した製品で、ボランティア会員の募集や小野のPRにも繋がります。
ブラックペパーミントのすっきりとしたメントールと、ポットマリーゴールドの可愛らしい花びらが特徴的です。",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/270/onoharbgelee.jpg,,330円/1袋(150g入),主としてイベントで販売,"小野観光推進協議会
(ハーブ ネットワーク・サウスバーム部会)
（宇部市大字小野字山根8294番地(小野ふれあいセンター内)）
",0836-64-2024,0836-64-2024,,,ハーブ,,,76,,,,,
29,月でひろった卵　小野茶,"宇部の小野地区にある茶園は、「西日本一の規模を誇る大茶園」と言われ、お茶は宇部を代表する産品の1つ。地元特産品の美味しさをより広く知ってもらうため開発した製品です。
小野茶の香り高く、コクのある味わいを楽しめます。

",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/271/tukidehirottatamago.jpg,,"200円／1個
800円／4個入
1,200円／6個入
1,600円／8個入
2,400円／12個入
3,200円／16個入",果子乃季宇部ファーム店、果子乃季東岐波店、山口宇部空港,"果子乃季宇部ファーム店
",0836-33-0757,0836-33-0757,http://www.kasinoki.co.jp/,info@kasinoki.co.jp,緑茶,,,77,,,,,
30,うっぽくたけのこ（水煮）,"宇部北部(うっぽく)のミネラル豊富で良質な赤土が広がる地域で採れるタケノコは旨味が強く、柔らかいと言われ、色白の美しい容姿とともに古くから地域の食材として愛されてきました。
この特徴を損なうことなく、新鮮なうちに水煮にしています。
お求めやすい180g入りの真空パック包装で、若竹汁や筑前煮などご家庭の様々な料理にご利用いただけます。",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/273/uppokutakenoko.jpg,,オープン価格／1個(180グラム),丸久・アルク各店、JA新鮮館（厚南店）,うべる市民まちづくり株式会社,0836-48-9198,0836-48-9198,,,筍,,,80,,,,,
31,アルカンシエルポン,"宇部産の新鮮な卵を使用。5種類のフルーツ味のしっとりとしたスポンジに、ボナペティこだわりの生クリームを挟み込みました。
 「アルカンシエルルポン」とはフランス語で「虹の橋」を意味し、その名のとおり、インスタ映えする色鮮やかで、華やかなお菓子です。
おしゃれな若い女性のティータイムなどに！",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/274/arukanshieru.jpg,,"200円／1個(カット)
1,500円／1本(ロール)",Bon appetit!,Bon appetit!（ボナペティ！）（宇部市東新川町4番13号）,0836-38-1231,0836-38-1231,https://patissier-bonappetit.jimdofree.com/,,卵,,,81,,,,,
32,小野茶サブレ,宇部市小野地区で採れるお茶を活用。煎茶の渋みと苦味が甘さを抑え、サッパリした爽やかな食感のヘルシーなサブレ。小野茶の煎茶粉末と乳原料がマッチし、豊かな風味を味わえる。,認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/276/dscf6416-1_s.jpg,http://odcs.bodik.jp/352021/wp-content/uploads/sites/8/2017/02/genki_4-2.jpg,540円／1箱90ｇ,"山口茶業本社、山口井筒屋山口店、道の駅（きららあじす、北裏街道、豊北、センザキッチン、仁保の郷、おふく）
山口宇部空港(小野茶クッキー、小野茶サブレ、小野茶かりんとう、釜入り小野茶）、
楠こもれびの郷（小野茶クッキー、小野茶サブレ、小野茶かりんとう）、
フジグラン宇部（小野茶サブレ、小野茶ケーキ、小野茶かりんとう）、
ゆめタウン宇部（小野茶クッキー、小野茶かりんとう）、
幸屋（小野茶サブレ、小野茶かりんとう）",株式会社山口茶業（宇部市大字櫟原152番地13）,0836-64-2116,0836-64-2044,http://www.onocha.com/,"
info@onocha.com",小野茶,34.101232,131.308723,70,,,,,
33,うべつづり蜜ゼリ,"全て宇部産の果物を使用。
果物そのものを搾って加工しているので、安全・安心です。
果汁たっぷりの濃厚な味をご堪能下さい。",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/277/img_0969_s.jpg,,300円/1個,小川蜜カス本舗、小川蜜カス本舗中野プラザ店、楠こもれびの郷、おいでませ吉部、道の駅きららあじす," 有限会社　小川蜜カス本舗
（宇部市昭和町一丁目4番22号）",0836-21-0857,0836-31-8668,https://ogawamitsukasu.jp/,,"①ぶどう
②トマト
③桃
④タイガーメロン
⑤ 緑茶（粉末）",,,84,,,,,
,,,,,,,,,,,,,,,,,,,,,
うべ元気ブランド・ゴールド,,,,,,,,,,,,,,,,,,,,,
1,利休さん,"皇孫殿下御誕生慶祝記念全国名菓大品評会で全国最高賞を受賞するなど、宇部が誇る伝統銘菓。
職人の勘と技で練り上げられた絶品の甘さ控えめな餡が、宇部の天日干し米粉を使用した、もちっとした皮で包まれている一口サイズの蒸し饅頭です。
白餡と小豆餡の2種類の味を楽しめ、お茶請けやお土産にもぴったりです。",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/272/rikyuusan.jpg,,"360円/10個袋入
580円/16個入箱
860円/24個入箱
1,160円/32個入箱",有限会社吹上堂、ゆめタウン宇部、アルク、幸屋、山口宇部空港、キヨスク（セブンイレブン）,"有限会社吹上堂
(宇部市中央町二丁目2番1号)",0836-31-1012,0836-21-1012,https://www.fukiagedou.co.jp/,rikyusan@air.ocn.ne.jp,米粉,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,
うべ元気ブランドＳＤＧｓ認証製品,,,,,,,,,,,,,,,,,,,,,
1,ほおばり梅,"宇部市北部で収穫された農薬不使用の粒の大きい完熟梅と塩、手もみした紫蘇で作った食品添加物無添加の本格梅干し！
ふんわりと柔らかな果肉が特長。
 紅色で酸っぱい味が食欲をそそる逸品！",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/228/umehoobari.jpg,,300円,"(県内)
「楠こもれびの郷」内　楠四季菜市
(県外)
おいでませ山口館(東京都)
こだわり商店いなげや(東京都)","楠むらづくり株式会社
(宇部市大字西万倉1662番地1)",0836-67-2617,0836-67-2616,https://www.komorebinosato.net/,kk-sato@c-able.ne.jp,梅,,,1,,,,,
