市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考
352063,1830000011,山口県,防府市,防府天満宮御誕辰祭,ホウフテンマングウゴタンシンサイ,,2024/8/3,2024/8/5,9:00,21:00,,"防府天満宮で行われる菅原道真公の御生誕を祝う御誕辰祭です。2,000本余のろうそくの灯りが天満宮へと誘う万灯祭献灯は神秘的です。最終日には花火大会が開催され、天満宮で打ち上げられる色とりどりの花火が防府の夏を彩ります。音楽に合わせて上がる「創作花火」も好評です。",,,防府天満宮,0835-23-7700,,防府天満宮,防府天満宮,山口県防府市松崎町14-1,,34.06335,131.57408,"・山陽自動車道防府東I.C.、防府西I.C.から車で約10分
・JR防府駅から徒歩で約20分
・JR防府駅北口「阿弥陀寺行き」バスで約4分
　→「防府天満宮」バス停で下車",あり（約500台）,,,,,https://visit-hofu.jp/event/%e9%98%b2%e5%ba%9c%e5%a4%a9%e6%ba%80%e5%ae%ae%e3%80%80%e5%be%a1%e8%aa%95%e8%be%b0%e7%a5%ad/,
352063,1830000012,山口県,防府市,企画展『山口県文化財指定記念　武家のならわし　−大内氏故実書の世界−』,キカクテン『ヤマグチケンブンカザイシテイ　ブケノナラワシ　−オオウチシコジツショノセカイ−』,,2024/9/13,2024/10/27,9:00,17:00,入館は16：30まで,毛利氏は大内氏から多くを継承しました。儀礼や作法に関する故実書もその一つです。これら114点が山口県の文化財に指定されたことを記念し、大内氏故実の世界を紹介します。,900,"・毛利博物館：大人900円、小中学生250円
・毛利氏庭園：大人500円、小中学生250円
・共通券（博物館・庭園のセット券）：大人1,200円、小中学生250円
※団体（20名以上）は1割引",（公財）毛利報公会,0835-22-0001,,（公財）毛利報公会,毛利博物館,山口県防府市多々良一丁目15-1,,34.06357,131.58737,"・山陽自動車道防府東I.C.、防府西I.C.から車で約15分
・JR防府駅北口「阿弥陀寺行き」バスで約6分
　→「毛利本邸入口」バス停で下車",あり,,,,,https://c-able.ne.jp/~mouri-m/,
352063,1830000013,山口県,防府市,"実業団トップランナーと走ろう　
佐波川ロード記録会",ジツギョウダントハシロウ　サバガワロードキロクカイ,,2024/10/6,2024/10/6,9:00,12:00,,中長距離シーズンの到来を前に活躍できる中長距離選手の育成、強化を図り、トップランナーとの交流で小学生から一般の方々の更なるモチベーション向上や健康で明朗な生活づくりを目的として開催します。,4000,"小・中学生：1,000円
高校生：2,000円
一　般：4,000円

※２ｋｍ（小学生以上）８０名
　10ｋｍ（高校生以上）１２０名
　20ｋｍ（一般）１００名",防府市スポーツ協会事務局,0835-23-4510,,防府市スポーツ協会,佐波川河川敷緑地公園及び佐波川河川敷左岸,,,,,・山陽自動車道防府東I.C.、防府西I.C.から車で約5分,会場周辺にあり,,,,,,
352063,1830000014,山口県,防府市,ほうふスポーツフェスタ2024,ホウフスポーツフェスタ2024,,2024/10/20,2024/10/20,10:00,15:00,,"　スポーツの意義や体を動かす楽しさを感じていただける、多様なスポーツブースを設けたスポーツイベントです。
　また、飲食ブースやはたらくくるまのブースなども設ける予定としており、会場で一日楽しんでいただけます。",無料,無料,ほうふスポーツフェスタ実行委員会,0835-25-2274,,ほうふスポーツフェスタ実行委員会,キリンレモンスタジアム陸上競技場他,防府市大字浜方94-2,,,,"・山陽自動車道防府東I.C.、防府西I.C.から車で約25分
",会場周辺にあり,,,,,,
352063,1830000015,山口県,防府市,秋の幸せますフェスタ第13回ふるさと想い出花火,アキノシアワセマスフェスタダイ13カイフルサトオモイデハナビ,,2024/10/26,2024/10/26,19:00,19:30,,親子や家族、そして地域住民同士の交流、ふれあいが増えることを願い、催されます。一緒に花火を見て、同じ空間・時間を共有することで家族や社会の連帯感や絆が深まることを目指した花火大会です。,,,ふるさと想い出花火実行委員会,090-6417-5770,,ふるさと想い出花火実行委員会,三田尻港（潮彩市場防府側）,山口県防府市新築地町2-3,,34.03784,131.59726,"・山陽自動車道防府東I.C.、防府西I.C.から車で約15分
・JR防府駅南口イオンタウン防府シャトルバスで約10分
　→「イオンタウン防府」で下車、徒歩20分",あり（普通車142台、大型車8台、身障者用2台）,,,,,http://www.fo-hanabi.com/,
352063,1830000016,山口県,防府市,第32回塩田まつり,ダイ32カイエンデンマツリ,,2024/10/27,2024/10/27,9:00,14:00,,"江戸時代、防府は赤穂と並ぶ塩の大生産地として発展しました。
当時の塩田を復元したこの施設で年に一度行われる楽しいイベントです。
塩づくり体験や景品付きクイズ、浜子うたや塩浜太鼓の披露が行われます。",,まつり当日入園無料,三田尻塩田記念産業公園保存会,0835-25-3510,,三田尻塩田記念産業公園保存会,三田尻塩田記念産業公園,山口県防府市大字浜方381-3,,34.01804,131.55968,"・山陽自動車道防府東I.C.、防府西I.C.から車で約25分
・JR防府駅南口「中浦行き」バスで約15分
　→「長平橋」バス停から徒歩で約10分",あり,,,,,https://visit-hofu.jp/event/%e4%b8%89%e7%94%b0%e5%b0%bb%e5%a1%a9%e7%94%b0%e8%a8%98%e5%bf%b5%e7%94%a3%e6%a5%ad%e5%85%ac%e5%9c%92%e3%80%80%e7%ac%ac31%e5%9b%9e%e5%a1%a9%e7%94%b0%e3%81%be%e3%81%a4%e3%82%8a/,
352063,1830000017,山口県,防府市,特別展『国宝』,トクベツテン『コクホウ』,,2024/11/1,2024/12/2,9:00,17:00,入館は16：30まで,国宝の雪舟筆「四季山水図」や｢古今和歌集(高野切本)｣をはじめとする国宝や重要文化財など、美術的にも歴史的にも優れたことで知られる毛利家伝来の逸品を一堂に公開します。,"1,300","・毛利博物館：大人1,300円、小中学生250円
・毛利氏庭園：大人500円、小中学生250円
・共通券（博物館・庭園のセット券）：大人1,500円、小中学生250円
※団体（20名以上）は1割引",（公財）毛利報公会,0835-22-0001,,（公財）毛利報公会,毛利博物館,山口県防府市多々良一丁目15-1,,34.06357,131.58737,"・山陽自動車道防府東I.C.、防府西I.C.から車で約15分
・JR防府駅北口「阿弥陀寺行き」バスで約6分
　→「毛利本邸入口」バス停で下車",あり,,,,,https://c-able.ne.jp/~mouri-m/,
352063,1830000018,山口県,防府市,防府天満宮御神幸祭（裸坊祭）,ホウフテンマングウゴジンコウサイ（ハダカボウマツリ）,,2024/11/23,2024/11/23,18:00,21:00,,約5000人の裸坊が市内にあふれ、夕刻より巨大なお網代を引き、二体のお神輿をかついで、菅原道真公御着船ゆかりの地・勝間の浦（御旅所）までを往復する荒祭。特に、行きの大石段の下りと帰りの大石段の上りは圧巻。翌日24日の昼過ぎからはおんな神輿も登場します。,,,防府天満宮,0835-23-7700,,防府天満宮,防府天満宮,山口県防府市松崎町14-1,,34.06335,131.57408,"・山陽自動車道防府東I.C.、防府西I.C.から車で約10分
・JR防府駅から徒歩で約20分
・JR防府駅北口「阿弥陀寺行き」バスで約4分
　→「防府天満宮」バス停で下車",あり（約500台）,,,,,https://visit-hofu.jp/event/%e9%98%b2%e5%ba%9c%e5%a4%a9%e6%ba%80%e5%ae%ae%e3%80%80%e5%be%a1%e7%a5%9e%e5%b9%b8%e7%a5%ad%ef%bc%88%e8%a3%b8%e5%9d%8a%e7%a5%ad%ef%bc%89/,
352063,1830000019,山口県,防府市,光と音のページェント2024,ヒカリトオトノページェント2024,,2024/11/30,2025/1/13,17:00,22:00,,防府市中心市街地一帯を冬の灯りが灯ります。,,,防府商工会議所,0835-22-4352,,防府商工会議所,表参道・上天神、駅通り・天神ピア、アスピラート・ルルサス、駅周辺の各エリア,山口県防府市戎町一丁目ほか,,34.05344,131.56876,・JR防府駅,なし,,,,,https://visit-hofu.jp/event/%e5%85%89%e3%81%a8%e9%9f%b3%e3%81%ae%e3%83%9a%e3%83%bc%e3%82%b8%e3%82%a7%e3%83%b3%e3%83%882022/,
352063,1830000020,山口県,防府市,第５５回防府読売マラソン大会,ダイ５５カイホウフヨミウリマラソンタイカイ,55th Hofu Yomiuri Marathon,2024/12/1,2024/12/1,10:40,14:40,,　今大会で５５回の歴史を迎える、日本陸上競技連盟公認のマラソン大会。第５２回大会より、ＪＭＣ（ジャパンマラソンチャンピオンシップ）に参画し、オリンピックへ繋がる大会となった。第５３回よりＪＭＣグレード１を獲得し、国内エリートマラソン大会として更なる飛躍を目指す。,13000,"参加費　13,000円",防府読売マラソン大会実行委員会,0835-25-2274,,中国陸上競技協会、山口陸上競技協会、山口県、山口県体育協会、防府市、読売新聞社、ＫＲＹ山口放送,キリンレモンスタジアムソルトアリーナ防府　他,防府市大字浜方174-1,,,,"・山陽自動車道防府東I.C.、防府西I.C.から車で約25分
・防府駅より無料シャトルバスあり
",会場周辺にあり,,,,,https://hofu-yomiuri.jp,
352063,1830000021,山口県,防府市,企画展『毛利家のお正月』,キカクテン『モウリケノオショウガツ』,,2024/12/6,2025/1/20,9:00,17:00,入館は16：30まで,毛利家伝来の「正月飾り」をはじめ、正月にちなんで、福を招く吉祥の意匠が描かれた絵画や工芸品など、毛利家伝来の祝いを願う品々を展示します(12月22日〜31日は休館)。,900,"・毛利博物館：大人900円、小中学生250円
・毛利氏庭園：大人500円、小中学生250円
・共通券（博物館・庭園のセット券）：大人1,200円、小中学生250円
※団体（20名以上）は1割引",（公財）毛利報公会,0835-22-0001,,（公財）毛利報公会,毛利博物館,山口県防府市多々良一丁目15-1,,34.06357,131.58737,"・山陽自動車道防府東I.C.、防府西I.C.から車で約15分
・JR防府駅北口「阿弥陀寺行き」バスで約6分
　→「毛利本邸入口」バス停で下車",あり,,,,,https://c-able.ne.jp/~mouri-m/,
352063,1830000022,山口県,防府市,企画展『毛利家の雛まつり』,キカクテン『モウリケノヒナマツリ』,,2025/2/7,2025/4/7,9:00,17:00,入館は16：30まで,“ひなまつり”にちなみ、華やかな「古今雛」の段飾りをはじめ、毛利家伝来の雛道具や、姫君ゆかりの衣裳・調度など、毛利家の女性を魅了した華麗な品々を紹介します。,900,"・毛利博物館：大人900円、小中学生250円
・毛利氏庭園：大人500円、小中学生250円
・共通券（博物館・庭園のセット券）：大人1,200円、小中学生250円
※団体（20名以上）は1割引",（公財）毛利報公会,0835-22-0001,,（公財）毛利報公会,毛利博物館,山口県防府市多々良一丁目15-1,,34.06357,131.58737,"・山陽自動車道防府東I.C.、防府西I.C.から車で約15分
・JR防府駅北口「阿弥陀寺行き」バスで約6分
　→「毛利本邸入口」バス停で下車",あり,,,,,https://c-able.ne.jp/~mouri-m/,
352063,1830000023,山口県,防府市,防府市緑花祭,ホウフシリョッカサイ,,2025/4/19,2025/4/20,10:00,16:00,,緑化推進の一環として開催。花木の販売やステージイベント、子どもを対象とした体験やゲームなどがある。,無料,販売品は有料。,防府市都市計画課,0835-25-2435,565,防府市都市計画課,防府駅前広場・であいの広場・みずかぜ広場,山口県防府市戎町一丁目1-1外,,34.0532592,131.5691102,　JR防府駅前,無し,無し,,,,,
