全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,POIコード,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,画像,画像_ライセンス,URL,備考
352080,,600011,山口県岩国市,レイクプラザやさか,レイクプラザヤサカ,,1001,352080,,山口県岩国市美和町百合谷10281番地1,山口県,岩国市美和町百合谷10281番地1,,,,34.236198,132.139649,,,月水木金土日,9:00:00,17:00:00,火曜日、年末年始休館。,1時間：200円,,弥栄大橋の隣に位置し、２階のカフェテラスからは弥栄湖を一望できる。1階はレストランとお土産品売り場があり、地域の名産品を多く取り扱っている。,,生活交通バス　百合谷口バス停より徒歩１分,有り,,,,,,,,,,,,,,,,,,㈱やさか,0827-96-0569,,,,,,,,http://lakeplaza-yasaka.com/,多目的トイレ１棟
352080,,600012,山口県岩国市,美和パークゴルフ場,ミワパークゴルフジョウ,,1139,352080,,山口県岩国市美和町百合谷地内,山口県,岩国市美和町百合谷地内,,,,34.236388,132.140438,,,月水木金土日,9:00:00,17:00:00,,１ラウンド　大人1000円・小人500円、会員1日900円（年会費2000円）,１ラウンド追加,弥栄湖と弥栄大橋の景色を堪能できる全18ホールのゴルフ場。老若男女を問わず、１年を通して利用客が多く訪れる。,,生活交通バス　百合谷口バス停より徒歩３分,有り,,,,,,,,,,,,,,,,,,美和パークゴルフ,0827-96-1838,,,,,,,,http://lakeplaza-yasaka.com/,多目的トイレ１棟
352080,,600013,山口県岩国市,弥栄湖レンタルボート,ヤサカコレンタルボート,,1099,352080,,山口県岩国市美和町百合谷地内,山口県,岩国市美和町百合谷地内,,,,34.236825,132.140787,,,月水木金土日,7:00:00,17:00:00,12月～2月までは午前8時から午後5時まで,"持ち込みボート1艇1回1,300円、レンタルボート（レジャー）足漕ぎ1000円/時間、（釣り）足漕ぎ500円/時間・エレキ半日4500円～1日7500円、駐車場：1回（1台）300円",,観光やルアーフィッシングで弥栄湖を満喫できるレンタルボート。自家用ボートの搬入も可能。,,生活交通バス　百合谷口バス停より徒歩５分,有り,,,,,,,,,,,,,,,,,,弥栄湖レンタルボート,080-5696-12039,,,,,,,,http://lakeplaza-yasaka.com/,
352080,,600014,山口県岩国市,弥栄湖スポーツ公園,ヤサカコスポーツコウエン,,1106,352080,,山口県岩国市美和町黒沢地内,山口県,岩国市美和町黒沢地内,,,,34.237939,132.128128,,,月水木金土日,9:00:00,17:00:00,利用可能日時は受付,【テニスコート】1コート1時間　300円【管理棟シャワー】1回100円、【グラウンド】1日2000円,,サッカー、野球等各種スポーツを楽しめる多目的グラウンドや、人工芝のテニスコート管理棟にはシャワールームも完備されている。春には花見スポットとしても人気がある。,,生活交通バス　黒沢バス停より徒歩５分,有り,,,,,,,,,,,,,,,,,,㈱やさか,0827-96-0569,,,,,,,,http://lakeplaza-yasaka.com/,多目的トイレ１棟
352080,,600015,山口県岩国市,弥栄キャンプ村,ヤサカキャンプムラ,,2314,352080,,山口県岩国市美和町釜ヶ原地内,山口県,岩国市美和町釜ヶ原地内,,,,34.265685,132.135658,,,月水木金土日,9:00:00,17:00:00,4月～10月まで。利用可能日時は受付。,【デイユース】午前10時～午後3時　オートキャンプ場：1000円、【1泊】午後4時～翌日の午前9時、ケビン：8300円・オートキャンプ場：2000円,,小瀬川を挟んで3つのキャンプ場がある。豊かな自然に囲まれて、ゆったりとしたひとときを満喫できる。それぞれに炊飯棟、トイレを完備。弥栄キャンプ場には5棟のケビン、売店やシャワー設備もある。,,生活交通バス　大三郎バス停より徒歩１０分,有り,,,,,,,,,,,,,,,,,,弥栄キャンプ村管理棟,0827-56-0208,,,,0827-95-1123（予約）,,,,http://lakeplaza-yasaka.com/,
352080,,600016,山口県岩国市,長谷日宛さざなみ公園,ナガタニヒナタサザナミコウエン,,1002,352080,,山口県岩国市美和町大根川地内,山口県,岩国市美和町大根川地内,,,,34.22262,132.124731,,,月火水木金土日,,,,,,弥栄湖の長谷・日宛地区側に位置する公園。菖蒲園の散策や昆虫観察、水辺生物観察ができる。ホタルが多く見られることでも有名。,,生活交通バス　日宛バス停より徒歩５分,有り,,,,,,,,,,,,,,,,,,美和総合支所　地域振興課,0827-96-1111,,,,,,,,,多目的トイレ１棟
352080,,600017,山口県岩国市,大根川みがき公園,オオネガワミガキコウエン,,1002,352080,,山口県岩国市美和町大根川地内,山口県,岩国市美和町大根川地内,,,,34.227888,132.126569,,,月火水木金土日,,,,,,弥栄湖の大根川地区に位置する公園。昆虫観察の森、観光栗園を通る遊歩道があり、ゆったり散歩できる。秋には栗拾いイベントを開催し、人気がある。,,生活交通バス　上大根川バス停より徒歩３分,有り,,,,,,,,,,,,,,,,,,美和総合支所　地域振興課,0827-96-1111,,,,,,,,,多目的トイレ１棟
352080,,600018,山口県岩国市,がんね白滝公園,ガンネシラタキコウエン,,1002,352080,,山口県岩国市美和町岸根地内,山口県,岩国市美和町岸根地内,,,,34.240411,132.133727,,,月火水木金土日,,,,,,弥栄湖の岸根側に位置する公園。近隣公園では珍しいラジコンサーキット場やバスケットコートなどがある。東屋、トイレも設置されている。,,生活交通バス　岸根バス停より徒歩３分,有り,,,,,,,,,,,,,,,,,,美和総合支所　地域振興課,0827-96-1111,,,,,,,,http://lakeplaza-yasaka.com/,多目的トイレ１棟
352080,,600019,山口県岩国市,明神原なごみ広場,ミョウジンバラナゴミヒロバ,,1002,352080,,山口県岩国市美和町中垣内地内,山口県,岩国市美和町中垣内地内,,,,34.237853,132.123243,,,月火水木金土日,,,バーベキュー棟の利用は先着順,,,弥栄湖の上流、中垣内地区に位置する公園。水車小屋と炭焼き小屋、開放的な芝生空間の中の小川のせせらぎは、田舎の風景をイメージしている。バーベキュー小屋もある。,,生活交通バス　中垣内バス停より徒歩５分,有り,,,,,,,,,,,,,,,,,,美和総合支所　地域振興課,0827-96-1111,,,,,,,,http://lakeplaza-yasaka.com/,
352080,,600020,山口県岩国市,百合谷水辺公園,ユリタニミズベコウエン,,1002,352080,,山口県岩国市美和町百合谷地内,山口県,岩国市美和町百合谷地内,,,,34.232682,132.138494,,,月火水木金土日,,,,,,弥栄湖の百合谷地区側に位置する公園。広大な斜面に四季折々の花が植えられた花壇があり、季節を満喫しながら散歩できる。,,生活交通バス　百合谷口バス停より徒歩１５分,有り,,,,,,,,,,,,,,,,,,㈱やさか,0827-96-0569,,,,,,,,http://lakeplaza-yasaka.com/,
352080,,600021,山口県岩国市,岩国シロヘビの館,イワクニシロヘビノヤカタ,Iwakuni Shirohebi Museum,0808,352080,,山口県岩国市横山二丁目6-52,山口県,山口県岩国市横山二丁目6-52,,,,34.170825,132.1756306,,,月火水木金土日,9:00:00,17:00:00,保守点検等の臨時休館あり,大人：200円　小人：100円,乳幼児は無料。15名以上の団体及びセット券提示：大人160円、小人80円。障がい者は半額（手帳の提示要）,国の天然記念物「岩国のシロヘビ」は、アオダイショウの白色変種が岩国市の限られた地域に多く生息しているもので、世界的にみても他に例がなく、学術的に極めて貴重な存在です。岩国市では、市民と共にシロヘビを保護し、広く周知をはかっています。,"It is an albino mutation of the Japanese rat snake; a rare species whose habitat has been confined to the Iwakuni area more than hundreds years ago. Together with the citizens of Iwakuni, the municipal government is promoting activities for its protection and preservation while also taking measures to spread understanding of the snake.",新岩国駅から：タクシー乗車（約10分）　いわくにバス「錦帯橋行」乗車、「錦帯橋バスセンター」下車　徒歩10分（約30分）　岩国駅から：いわくにバス「錦帯橋行」乗車、「錦帯橋バスセンター」下車　徒歩10分（約40分）　山陽自動車道：岩国ICから錦帯橋方面へ約5km（約10分）　岩国錦帯橋空港から：タクシー乗車（約10分）,岩国城ロープウエー駐車場を利用,,,,,,,,,,,,,,,,,,岩国シロヘビの館,0827-35-5303,,,,,,,,http://shirohebi.info/,
