市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
,,,,こうだクリニック,コウダクリニック,無床診療所,柳井市ニュータウン南町２４番,,,,0820-24-3000,,,,,,月火水木金土,9:00,17:30,火曜日、木曜日、土曜日は12：30まで,,"泌尿器科, 皮膚科",,,
,,,,河内山医院,コウチヤマイイン,無床診療所,柳井市中央２丁目１０－３,,,,0820-22-0023,,,,,,月火水木金土,9:00,18:00,木曜日、土曜日は午前中のみ,,"内科, 消化器内科（胃腸内科）",,,
,,,,小林内科クリニック,コバヤシナイカクリニック,無床診療所,柳井市東土手１４番１０号,,,,0820-23-5588,,,,,,月火水木金土,9:00,18:00,木曜日、土曜日は午前中のみ,,"内科, 消化器内科, 肝臓内科, リハビリテーション科",,,
,,,,最所クリニック,サイショクリニック,無床診療所,柳井市大畠９０９－７,,,,0820-45-2252,,,,,,月火水木金土,9:00,18:00,水曜日、土曜日は午前中のみ,,"内科, 消化器内科, 肝臓内科, リハビリテーション科",,,
,,,,坂本病院,サカモトビョウイン,病院,柳井市余田３６２６－２,,,,0820-23-6800,,,,,,月火水木金,9:00,12:00,,,"内科, 消化器内科（胃腸内科）, 循環器内科, 呼吸器内科",100,,
,,,,志熊眼科,シクマガンカ,有床診療所,柳井市中央３丁目１３－１０,,,,0820-22-0148,,,,,,月火水木金土,8:45,18:00,木曜日、土曜日は午前中のみ,,眼科,5,,
,,,,JA山口厚生連周東総合病院,シュウトウソウゴウビョウイン,病院,柳井市古開作１０００－１,,,,0820-22-3456,,,,,,月火水木金,8:30,17:00,,,"内科, 消化器内科, 循環器内科, 血液内科, 小児科, 外科, 心臓血管外科, 脳神経外科, 整形外科, 眼科, 耳鼻いんこう科, 皮膚科, 泌尿器科, 産婦人科, 精神科, 脳神経内科, 放射線科, 麻酔科, リハビリテーション科, 歯科口腔外科, 乳腺外科",360,,
,,,,たじり皮フ科医院,タジリヒフカイイン,無床診療所,柳井市中央２丁目１９番８号,,,,0820-23-1180,,,,,,月火水木金土,9:15,17:15,水曜日、土曜日は12：30まで,,皮膚科,,,
,,,,野田整形外科クリニック,ノダセイケイゲカクリニック,無床診療所,柳井市天神１７番１６号,,,,0820-24-2345,,,,,,月火水木金土,9:00,18:00,木曜日、土曜日は午前中のみ,,"整形外科, リウマチ科, リハビリテーション科",,,
,,,,浜田内科循環器科,ハマダナイカジュンカンキカ,無床診療所,柳井市新庄１５２９番地１,,,,0820-23-1137,,,,,,月火水木金土,9:00,18:00,木曜日、土曜日は12：30まで,,"内科, 循環器科",,,
,,,,柊診療所,ヒイラギシンリョウショ,無床診療所,柳井市柳井４７０９－１,,,,0820-23-5400,,,,,,火,9:00,19:00,,,内科,,,
,,,,弘田脳神経外科,ヒロタノウシンケイゲカ,有床診療所,柳井市古開作５７５－７,,,,0820-23-7119,,,,,,月火水木金土,8:45,18:00,土曜日のみ13:00まで,,"脳神経外科, 外科, リハビリテーション科, 放射線科",17,,
,,,,藤本眼科,フジモトガンカ,有床診療所,柳井市南町７丁目７－７,,,,0820-23-8777,,,,,,月火水木金土,8:30,18:00,木曜日、土曜日は午前中のみ,,眼科,15,,
,,,,平郡診療所,ヘイグンシンリョウショ,無床診療所,柳井市平郡１８２４番地１１,,,,0820-47-2032,,,,,,火,10:30,16:30,,,内科,,,
,,,,平郡西出張診療所,ヘイグンニシシュッチョウシンリョウショ,無床診療所,柳井市平郡４６９４,,,,0820-47-2888,,,,,,木,10:00,13:45,,,内科,,,
,,,,政井医院,マサイイイン,無床診療所,柳井市柳井５０３３－２,,,,0820-22-1068,,,,,,月火水木金土,8:30,17:30,水曜日、土曜日は11:30まで,,"内科, 皮膚科",,,
,,,,増本クリニック,マシモトクリニック,無床診療所,柳井市天神１８－９,,,,0820-23-3121,,,,,,月火水木金土,9:00,18:00,木曜日、土曜日は午前中のみ,,"精神科, 内科, 心療内科",,,
,,,,松井クリニック,マツイクリニック,有床診療所,柳井市南浜１丁目８番３号,,,,0820-24-5311,,,,,,月火水木金土,8:30,18:00,木曜日、土曜日は12：30まで,,"消化器外科（胃腸外科）, 肛門外科, 外科, 内科, 麻酔科, リハビリテーション科",12,,
,,,,松田医院,マツダイイン,無床診療所,柳井市柳井古市３７１５－１,,,,"0820-24-3387
0820-24-5678",,,,,,月火水木金土,8:30,18:00,木曜日、土曜日は午前中のみ,,"耳鼻いんこう科, 糖尿病内科（代謝内科）",,,
,,,,まつばら内科・胃腸科,マツバラナイカ・イチョウカ,無床診療所,柳井市南町７丁目２－３,,,,0820-25-2266,,,,,,月火水木金土,9:00,18:00,木曜日、土曜日は13：00まで,,"内科, 消化器内科（胃腸内科）",,,
,,,,南町内科循環器科,ミナミマチナイカジュンカンキカ,無床診療所,柳井市南町６丁目５番１号,,,,0820-23-5757,,,,,,月火水木金土,9:00,18:00,木曜日、土曜日は12：45まで,,内科循環器科,,,
,,,,柳井医療センター,ヤナイイリョウセンター,病院,柳井市伊保庄９５,,,,0820-27-0211,,,,,,月火水木金,8:30,12:00,,,"内科, 脳神経内科, 外科, 循環器科, 皮膚科, 泌尿器科, 整形外科, 呼吸器内科",280,,
,,,,柳井皮フ科,ヤナイヒフカ,無床診療所,柳井市新庄２１番地５８,,,,0820-22-7714,,,,,,月火水木金土,9:00,18:00,木曜日、土曜日は午前中のみ,,皮膚科,,,
,,,,吉浦耳鼻咽喉科医院,ヨシウラジビインコウカイイン,無床診療所,柳井市中央一丁目９－１５,,,,0820-22-2269,,,,,,月火水木金土,9:00,18:00,木曜日、土曜日は午前中のみ,,耳鼻いんこう科,,,
,,,,吉田クリニック,ヨシダクリニック,無床診療所,柳井市南町１丁目１１－５,,,,0820-24-1212,,,,,,月火水木金土,9:00,18:00,木曜日、土曜日は13：00まで,,"外科, 内科, 消化器内科（胃腸内科）, 肛門外科, リハビリテーション科",,,
