都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
352136,0000000014,山口県,美祢市,あきよし竹尾クリニック,ｱｷﾖｼﾀｹｵｸﾘﾆｯｸ,無床診療所,山口県美祢市秋芳町秋吉5441-3,,34.214444,131.289093,0837-63-0088,,,,,,月火水木金土,08:30,18:00,午前は診療開始時間８時３０分から診療終了時間１２時３０分。午後は診療開始時間１４時００分から診療終了時間１８時００分まで。土曜日診療終了時間１６時００分。木曜日午後休診。,,内科、外科、リハビリ科,0,,
352136,0000000015,山口県,美祢市,さかい内科クリニック,ｻｶｲﾅｲｶｸﾘﾆｯｸ,無床診療所,山口県美祢市秋芳町秋吉5341-3,,34.213992,131.293489,0837-62-1200,,,,,,月火水木金土,08:30,18:30,午前は診療開始時間８時３０分から診療終了時間１２時３０分。午後は診療開始時間１４時３０分から診療終了時間１８時３０分まで。水曜日午後休診。,,循環器内科、呼吸器内科、内科、整形外科,0,,
352136,0000000016,山口県,美祢市,時澤医院,ﾄｷｻﾜｲｲﾝ,無床診療所,山口県美祢市秋芳町秋吉5044,,34.21546,131.29195,0837-62-0015,,,,,,火木,08:30,17:30,午前は診療開始時間８時３０分から診療終了時間１２時００分。午後は診療開始時間１４時００分から診療終了時間１７時３０分まで。木曜日午後休診。,,内科,0,,
352136,0000000017,山口県,美祢市,伊佐歯科診療所,ｲｻｼｶｼﾝﾘｮｳｼﾞｮ,無床診療所,山口県美祢市伊佐町伊佐4843,,34.16591,131.22026,0837-52-0814,,,,,,月火水木金土,09:00,18:30,午前は診療開始時間９時００分から診療終了時間１２時３０分。午後は診療開始時間１４時００分から診療終了時間１８時３０分まで。木曜日土曜日午後休診。ただし、祝日のある週の木曜日・土曜日の午後は診療を行う。,,歯科,0,,
352136,0000000018,山口県,美祢市,きじま歯科クリニック,ｷｼﾞﾏｼｶｸﾘﾆｯｸ,無床診療所,山口県美祢市大嶺町東分1384-1,,34.177573,131.211767,0837-52-1826,,,,,,月火水木金土,09:30,19:00,午前は診療開始時間９時３０分から診療終了時間１２時３０分。午後は診療開始時間１４時３０分から診療終了時間１９時００分まで。,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,,
352136,0000000019,山口県,美祢市,小林歯科医院,ｺﾊﾞﾔｼｼｶｲｲﾝ,無床診療所,山口県美祢市大嶺町東分3423,,34.168278,131.204193,0837-52-0422,,,,,,月水金土,09:00,17:30,午前は診療開始時間９時００分から診療終了時間１２時００分。午後は診療開始時間１５時００分から診療終了時間１７時３０分まで。土曜日午後休診。,,歯科,0,,
352136,0000000020,山口県,美祢市,つじ歯科クリニック,ﾂｼﾞｼｶｸﾘﾆｯｸ,無床診療所,山口県美祢市大嶺町東分290-8,,34.166355,131.207822,0837-54-1000,,,,,,月火水木金土,09:00,17:30,午前は診療開始時間９時００分から診療終了時間１１時３０分。午後は診療開始時間１３時３０分から診療終了時間１７時３０分まで。ただし、水曜日のみ午後診療終了時間１７時００分。木曜日土曜日午後休診。,,歯科,0,,
352136,0000000021,山口県,美祢市,美祢歯科医院,ﾐﾈｼｶｲｲﾝ,無床診療所,山口県美祢市大嶺町東分375-1,,34.169934,131.208535,0837-53-0020,,,,,,月火水金土,09:00,18:30,午前は診療開始時間９時００分から診療終了時間１２時３０分。午後は診療開始時間１４時３０分から診療終了時間１８時３０分まで。ただし、土曜日午後診療開始時間１４時００分から診療終了時間１７時３０分。,,歯科、矯正歯科、小児歯科,0,,
352136,0000000022,山口県,美祢市,みのだ歯科医院,ﾐﾉﾀﾞｼｶｲｲﾝ,無床診療所,山口県美祢市伊佐町伊佐4808-11,,34.16642,131.218930,0837-53-1838,,,,,,月火水木金土,09:00,18:30,午前は診療開始時間９時００分から診療終了時間１２時３０分。午後は診療開始時間１４時００分から診療終了時間１８時３０分まで。木曜日午後休診。,,歯科、矯正歯科、小児歯科,0,,
352136,0000000023,山口県,美祢市,大田歯科医院,ｵｵﾀﾞｼｶｲｲﾝ,無床診療所,山口県美祢市美東町大田5785-３,,34.220259,131.34277,08396-2-0735,,,,,,月火金土,09:00,18:00,午前は診療開始時間９時００分から診療終了時間１２時３０分。午後は診療開始時間１４時００分から診療終了時間１８時００分まで。,,歯科,0,,
352136,0000000024,山口県,美祢市,はしもと歯科医院,ﾊｼﾓﾄｼｶｲｲﾝ,無床診療所,山口県美祢市美東町大田5365-1,,34.215791,131.348270,08396-2-0199,,,,,,月火水木金土,09:30,18:30,午前は診療開始時間９時３０分から診療終了時間１３時００分。午後は診療開始時間１４時３０分から診療終了時間１８時３０分まで。ただし、土曜日午後診療終了時間１７時００分。水曜日午後休診。毎月第３第５水曜日休診。,,歯科、小児歯科,0,,
352136,0000000025,山口県,美祢市,みとう歯科医院,ﾐﾄｳｼｶｲｲﾝ,無床診療所,山口県美祢市美東町綾木2649-1,,34.197062,131.348111,08396-2-5656,,,,,,月火水木金土,09:00,20:00,午前は診療開始時間９時００分から診療終了時間１３時００分。午後は診療開始時間１４時３０分から診療終了時間２０時００分まで。ただし、土曜日午後診療終了時間１８時００分。木曜日午後休診。,,歯科、小児歯科,0,,
352136,0000000026,山口県,美祢市,秋芳歯科医院,ｼｭｳﾎｳｼｶｲｲﾝ,無床診療所,山口県美祢市秋芳町秋吉5368-2,,34.214259,131.290988,0837-62-1716,,,,,,月火水木金土,09:00,19:00,午前は診療開始時間９時００分から診療終了時間１２時００分。午後は診療開始時間１４時００分から診療終了時間１９時００分まで。ただし、土曜日午後診療終了時間１８時００分。木曜日午後休診。,,歯科、矯正歯科、小児歯科,0,,
