都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,電話番号,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,診療科目,病床数,
352161,300032,山口県,山陽小野田市,医療法人社団　長谷川眼科,イリョウホウジンシャダン　ハセガワガンカ,無床診療所,山陽小野田市中川４丁目４番１号,0836-83-3476,月火水木金土,9:00,18:00,12：00～14：00は、休診。木曜日は、9：00～12：00のみ（午後休診）。土曜日は、9：00～12：00、14：00～16：00。第2・第4土曜日は休診,眼科,,
352161,300033,山口県,山陽小野田市,わたなべ泌尿器科,ワタナベヒニョウキカ,無床診療所,山陽小野田市中川４丁目６番１３号,0836-81-4777,月火水木金土,8:30,18:00,12：30～14：00は、休診。木曜日は、8：30～12：30のみ（午後休診）。土曜日は、8：30～13：00のみ（午後休診）,泌尿器科,,
352161,300034,山口県,山陽小野田市,医療法人社団　たかはし小児科医院,イリョウホウジンシャダン　タカハシショウニカイイン,無床診療所,山陽小野田市大字西高泊７５８の１,0836-81-5181,月火水木金土,8:30,18:00,12：00～14：00は、休診。木曜日・土曜日は、8：30～12：00のみ（午後休診）,小児科,,
352161,300035,山口県,山陽小野田市,医療法人社団　岡野整形外科クリニック,イリョウホウジンシャダン　オカノセイケイゲカクリニック,無床診療所,山陽小野田市大字西高泊６４８の２４,0836-83-0062,月火水木金土,8:30,18:30,12：00～14：00は、休診。木曜日は、8：30～12：00のみ（午後休診）。土曜日は、8：30～12：00、13：00～15：00,整形外科;リハビリテーション内科,,
352161,300036,山口県,山陽小野田市,博和会みみ・はな・のど内科クリニック,ハクワカイミミ・ハナ・ノドナイカクリニック,無床診療所,山陽小野田市大字厚狭４６７の１,0836-72-3387,月火水金土,9:00,18:00,13：00～16：00は、休診。土曜日は、9：00～13：00のみ（午後休診）,耳鼻咽喉科;内科;アレルギー科;リハビリテーション内科,,
352161,300037,山口県,山陽小野田市,しらさわ内科クリニック,シラサワナイカクリニック,無床診療所,山陽小野田市北竜王町１０番１０号,0836-81-2600,月火水木金土,8:30,18:00,12：00～14：00は、休診。木曜日・土曜日は、8：30～12：00のみ（午後休診）,内科;放射線科;消火器内科,,
352161,300038,山口県,山陽小野田市,医療法人てらい内科クリニック,イリョウホウジンテライナイカクリニック,無床診療所,山陽小野田市桜一丁目１番５号,0836-71-0022,月火水木金土,8:30,18:00,12：30～14：00は、休診。水曜日・土曜日は、8：30～12：30のみ（午後休診）,内科,,
352161,300039,山口県,山陽小野田市,耳鼻咽喉科伯野医院,ジビインコウカハクノイイン,無床診療所,山陽小野田市大字山川４５の２,0836-73-0059,月火水金土,8:30,18:00,12：00～14：30は、休診,耳鼻咽喉科;アレルギー科,,
352161,300040,山口県,山陽小野田市,ジョイ皮ふ科クリニック,ジョイヒフカクリニック,無床診療所,山陽小野田市中川６丁目４番１号おのだサンパーク東館,0836-81-4112,月火水木金土,9:00,17:30,12：30～14：00は、休診。木曜日・土曜日は、9：00～12：30のみ（午後休診）,皮膚科;アレルギー科,,
352161,300041,山口県,山陽小野田市,河野内科,,無床診療所,山陽小野田市厚狭６８０の２３,0836-71-0009,月火水木金土,8:30,12:30,木曜日は、8：00～12：30、16：00～19：00。訪問診療は、別時間帯にあり,内科;アレルギー科;リウマチ科;小児科,,
352161,300042,山口県,山陽小野田市,紫苑リハビリ内科クリニック,シオンリハビリナイカクリニック,有床診療所,山陽小野田市厚狭埴生田５０３の１,0836-71-1300,月火水木金土,9:00,18:00,12：00～13：00は、休診。木曜日・土曜日は、9：30～12：00のみ（午後休診）,内科;リハビリテーション内科,19,
352161,300043,山口県,山陽小野田市,吉武医院,ヨシタケイイン,無床診療所,山陽小野田市厚狭字沖田２７－１,0836-72-1110,月火水木金土,8:00,18:00,12：00～14：00は、休診。木曜日・土曜日は、8：00～12：00のみ（午後休診）,内科;リハビリテーション内科;小児科;麻酔科,,
352161,300044,山口県,山陽小野田市,医療法人社団　田原耳鼻咽喉科医院,イリョウホウジンシャダン　タハラジビインコウカ,無床診療所,山陽小野田市住吉本町一丁目５番２７号,0836-83-3428,月火水木金土,9:00,18:00,12：30～14：00は、休診。木曜日は、9：00～12：30のみ（午後休診）。土曜日は、9：00～12：30、14：00～16：00,耳鼻咽喉科;アレルギー科,,
352161,300045,山口県,山陽小野田市,おのだサンパークアイクリニック,オノダサンパークアイクリニック,無床診療所,山陽小野田市中川６－４－１おのだサンパーク,0836-81-2303,月火木金土日,10:30,17:50,12：30～14：00は、休診。土曜日・日曜日は、10：30～12：50、14：00～17：50,眼科;内科,,
352161,300046,山口県,山陽小野田市,ねもと皮ふ科クリニック,ネモトヒフカクリニック,無床診療所,山陽小野田市くし山一丁目１番７号,0836-81-3888,月火水木金土,8:30,18:00,12：30～14：30は、休診。木曜日・土曜日は、8：30～12：30のみ（午後休診）,皮膚科;アレルギー科,,
352161,300047,山口県,山陽小野田市,中島内科在宅診療所,ナカシマナイカザイタクシンリョウショ,無床診療所,山陽小野田市日の出３－１５－１2,0836-83-3910,月火水木金土,8:30,18:00,12：30～14：00は、休診。木曜日・土曜日は、8：30～12：30のみ（午後休診）,内科;麻酔科;神経内科;リハビリテーション内科,,
352161,300048,山口県,山陽小野田市,はせがわ耳鼻クリニック,ハセガワミミハナクリニック,無床診療所,山陽小野田市大字厚狭４５８番地１３,0836-71-1187,月火水木金土,8:30,18:00,12：00～14：00は、休診。水曜日は、8：30～12：00、14：00～17：00。木曜日・土曜日は、8：30～12：00のみ（午後休診）,耳鼻咽喉科,,
352161,300049,山口県,山陽小野田市,医療法人社団平成会すながわこどもクリニック,イリョウホウジンシャダンヘイセイカイスナガワコドモクリニック,無床診療所,山陽小野田市日の出２丁目２番６号,0836-43-9200,月火水木金土,8:30,18:30,12：00～14：00は、休診。木曜日・土曜日は、8：30～12：00のみ（午後休診）,小児科,,
352161,300050,山口県,山陽小野田市,医療法人和耀会むらた循環器内科,イリョウホウジンワヨウカイムラタジュンカンキナイカ,無床診療所,山陽小野田市西高泊６７２番地２,0836-39-8660,月火水木金土,9:00,18:00,12：30～14：00は、休診。水曜日・土曜日は、9：00～12：30のみ（午後休診）,内科;循環器内科,,
352161,300051,山口県,山陽小野田市,女性クリニックおがた,ジョセイクリニックオガタ,無床診療所,山陽小野田市中央３丁目６番３０号,0836-83-3859,月火水木金土,9:00,18:00,12：30～14：30は、休診。火曜日・金曜日は、9：30～12：30、15：30～18：00。土曜日は、9：30～12：30、14：30～17：00,産婦人科;内科,,
352161,300052,山口県,山陽小野田市,はらだクリニック,ハラダクリニック,有床診療所,山陽小野田市大字津布田２５０６の１,0836-76-3121,月火水木金土,8:30,17:30,12：00～14：00は、休診。水、土曜日は、8：30～12：00のみ（午後休診）,内科;外科;リハビリテーション,,内容修正
352161,300053,山口県,山陽小野田市,医療法人　河村医院,イリョウホウジン　カワムライイン,無床診療所,山陽小野田市大字鴨庄１８の６,0836-72-0270,月火水木金土,8:30,17:30,11：30～15：00は、休診。木・土曜日は、8：30～11：30のみ（午後休診）,整形外科;外科;内科;リハビリテーション内科,,
352161,300054,山口県,山陽小野田市,医療法人社団　久保整形外科医院,イリョウホウジンシャダン　クボセイケイゲカイイン,無床診療所,山陽小野田市大字厚狭１３２の１,0836-72-1711,月火水木金土,8:00,18:00,12：00～14：00は、休診。木・土曜日は、8：00～12：00のみ（午後休診）,整形外科;リウマチ科;リハビリテーション内科,,
352161,300055,山口県,山陽小野田市,医療法人社団民正会たみたに内科循環器科,イリョウホウジンシャダンミンセイカイタミタニナイカジュンカンキカ,無床診療所,山陽小野田市大字鴨庄１１の３,0836-72-4970,月火水木金土,8:30,18:00,12：30～14：00は、休診。木・土曜日は、8：30～12：30のみ（午後休診）,内科;循環器内科;呼吸器科;リハビリテーション内科;胃腸科,,
352161,300056,山口県,山陽小野田市,医療法人社団あさひクリニック,イリョウホウジンシャダンアサヒクリニック,無床診療所,山陽小野田市大字郡４４５の５,0836-71-0148,月火水木金土,8:30,18:30,13：00～15：00は、休診。土曜日は、8：30～13：00、15：00～17：30,内科;呼吸器内科;小児科;リハビリテーション内科;循環器内科,,
352161,300057,山口県,山陽小野田市,かわむら内科,カワムラナイカ,無床診療所,山陽小野田市大字郡３２１１の１,0836-78-1433,月火水木金土,8:30,18:00,12：30～14：00は、休診。木・土曜日は、8：30～12：30のみ（午後休診）,内科;呼吸器内科;胃腸科;循環器内科;リハビリテーション内科;放射線科,,
352161,300058,山口県,山陽小野田市,医療法人隆正会吉武内科クリニック,イリョウホウジンリュウセイカイヨシタケナイカクリニック,無床診療所,山陽小野田市大字厚狭１０４０の１,0836-73-0095,月火水木金土,8:30,18:00,12：30～14：00は、休診。土曜日は、8：30～12：30のみ（午後休診）,内科;消化器内科;小児科;リハビリテーション内科,,
352161,300059,山口県,山陽小野田市,医療法人聖比留会　厚狭セントヒル泌尿器科,イリョウホウジンセイヒルカイ　アサセントヒルヒニョウキカ,無床診療所,山陽小野田市大字厚狭１４４５の１,0836-71-2111,月火水木金土,8:30,17:00,12：00～13：00は、休診。土曜日は、8：30～12：00のみ（午後休診）,泌尿器科,,
352161,300060,山口県,山陽小野田市,田中としろう眼科,タナカトシロウガンカ,無床診療所,山陽小野田市大字厚狭１４３４の１８,0836-71-1046,月火水木金土,9:00,18:00,12：00～14：30は、休診。火曜日・木曜日は、9：00～12：00（午後休診）。土曜日は、9：00～12：00、14：30～17：00,眼科,,
