どんな場所ですか？,誰に教えたいですか？,どんなことを伝える情報ですか？,どれくらい伝えたい情報ですか？,経度,緯度,画像
地域のおすすめ箇所,大人,和光保育園　安全に園児を通わせることができる、お寺付きの保育園。土地が低いから災害の時に、にげた方がいい。,絶対に伝えたい,131.8201766,34.04066059,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_041.jpeg
地域のおすすめ箇所,地域のみんな,速玉公園　遊ぶことができ、防災倉庫もあるので災害時には避難もできます。,絶対に伝えたい,131.8101528,34.04529114,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_044.jpeg
地域のおすすめ箇所,"子ども,大人,お年寄り,地域のみんな",いろんな種類のラーメンがあってとても美味しいラーメンが食べられる。,伝えたい,131.8182435,34.04158151,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_049.jpeg
地域のおすすめ箇所,子ども,菅文具　文具を買うことができて、便利。,どちらでもよい,131.812838,34.0459948,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_051.jpeg
地域のおすすめ箇所,"子ども,大人,地域のみんな",Tres. 歩いて行ける距離でケーキやパンやランチが食べれて果物の種類が豊富で美味しい,絶対に伝えたい,131.8225195,34.04328833,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_053.jpeg
地域のおすすめ箇所,地域のみんな,ほっともっと　晩ごはんなどにおすすめでいろいろなメニューがあって美味しい。,どちらでもよい,131.8214057,34.04125971,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_054.jpeg
地域のおすすめ箇所,子ども,周南フレンドパーク…遊具がたくさんあって楽しい！,伝えたい,131.8330455,34.040904,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_057.jpeg
地域のおすすめ箇所,"子ども,大人,お年寄り,地域のみんな",万葉の森の公園　遊具があるし、色々と運動ができるからと思う。,伝えたい,131.8171373,34.04905074,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_062.jpeg
地域のおすすめ箇所,地域のみんな,かしのき　ケーキが美味しくて、自分でオリジナルのバースデーケーキが作れるし、ケーキバイキングもあるからおすすめ！,伝えたい,131.8219254,34.04211294,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_064.jpeg
地域のおすすめ箇所,子ども,遠石小学校の近くのひろぶん　安いお菓子がたくさんある。,どちらでもよい,131.8174347,34.04304064,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_069.jpeg
地域のおすすめ箇所,地域のみんな,遠石八幡宮　少し高いから避難場所にもなる。,伝えたい,131.8231729,34.03984455,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_076.jpeg
地域のおすすめ箇所,"子ども,大人,お年寄り,地域のみんな",ひろ文　学校からも近くて、沢山の駄菓子が売ってあるので是非行ってみて下さい。,伝えたい,131.8173733,34.04302449,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_078.jpeg
地域のおすすめ箇所,"子ども,大人,お年寄り,地域のみんな",慶万のアルクの前の坂　海が見えるし、島も綺麗だから。,伝えたい,131.81596,34.04828841,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_081.jpeg
地域のおすすめ箇所,地域のみんな,ひろ文                安くて色々なお菓子があって美味しい。大人も懐かしいお菓子があるのでおすすめ。,伝えたい,131.8173606,34.0429851,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_082.jpeg
地域のおすすめ箇所,子ども,フレンドパーク　楽しいし、遊具がたくさんあるから。,伝えたい,131.8266757,34.04291002,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_084.jpeg
地域のおすすめ箇所,子ども,万葉の森の公園　　　　　　　　　　遊具は少ないけど、広くて遊びやすい。注意　野球はダメ,伝えたい,131.8170521,34.04899604,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_088.jpeg
地域のおすすめ箇所,"子ども,大人,お年寄り,地域のみんな",二幸　美味しいお菓子やケーキがあるので、ぜひ買ってみてください。,絶対に伝えたい,131.817058,34.04379138,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_091.jpeg
地域のおすすめ箇所,"子ども,お年寄り,地域のみんな",青山公園　車いすが通れるので一緒に遊べます。,伝えたい,131.8180478,34.04354147,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_094.jpeg
地域のおすすめ箇所,地域のみんな,老女阿米像。海抜が8、3m,伝えたい,131.8100961,34.04650149,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_098.jpeg
地域のおすすめ箇所,地域のみんな,ばり馬ラーメンの近くの場所　　　　　ラーメン屋も近くにあって、ゆめタウンにはいろいろなものが揃っている。,どちらでもよい,131.8168659,34.04275643,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_100.jpeg
地域のおすすめ箇所,"子ども,大人,お年寄り,地域のみんな",サンジェルマン　美味しいパンが沢山売ってあるので一度行ってみてください。,絶対に伝えたい,131.8192552,34.0452587,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_101.jpeg
地域のおすすめ箇所,"子ども,お年寄り",医師会病院の下の公園　遊具があって、楽しいから小さい子におすすめです。,伝えたい,131.8171363,34.04898237,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_108.jpeg
地域のおすすめ箇所,地域のみんな,セブンイレブン遠石店　気軽に食べ物を買える。小腹がすいた時はよればいい。車が急に出てくるから気をつけを付けよう。,伝えたい,131.8221467,34.04258746,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_110.jpeg
地域のおすすめ箇所,地域のみんな,"菅文具店

文房具が売ってある。",伝えたい,131.8127642,34.04600573,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_051.jpeg
地域のおすすめ箇所,地域のみんな,"たこ太鼓
美味しいたこ焼きが売っている。",絶対に伝えたい,131.8108877,34.04732856,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_119.jpeg
地域のおすすめ箇所,"大人,お年寄り",八丁槍　めっちゃ美味しいお食事どころ。でも値段が高い。大人向けの料理がたくさんあるから、子供には向いていない。,どちらでもよい,131.8226488,34.042611,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_122.jpeg
地域のおすすめ箇所,地域のみんな,スマホなどを買える便利な場所。とても時間がかかるから、早めに行こう。,どちらでもよい,131.8220275,34.04173227,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_126.jpeg
地域のおすすめ箇所,地域のみんな,"パン屋　カンパーニュ
美味しいパンが売ってある",伝えたい,131.8108923,34.04751971,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_127.jpeg
地域のおすすめ箇所,地域のみんな,若草公園　東山町から簡単に行ける若草町の公園です。遊具は、滑り台、ブランコ、鉄棒がある。,伝えたい,131.8173665,34.04886215,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_131.jpeg
地域のおすすめ箇所,地域のみんな,"SADAO
美味しいお菓子が売ってある。",伝えたい,131.809905,34.04664429,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_138.jpeg
地域のおすすめ箇所,子ども,おもしろい石の積み重ねがある。,どちらでもよい,131.8135268,34.04436844,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_153.jpeg
地域のおすすめ箇所,地域のみんな,ドラッグストアコスモス　ちょっとした買い物に便利。毎日安い。災害が起きたときは来たらダメ,絶対に伝えたい,131.8236268,34.0443226,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_155.jpeg
地域のおすすめ箇所,子ども,緑地公園。不思議な形の葉っぱがある。,伝えたい,131.816465,34.04195926,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_158.jpeg
地域のおすすめ箇所,地域のみんな,菓子の木人通りが多くて、防犯も安全。スイーツが多くて楽しめるケーキが作れて楽しい。誕生日ケーキにもオススメ。,伝えたい,131.8220342,34.0422013,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_161.jpeg
地域のおすすめ箇所,地域のみんな,栄光岩…鳥居に石を投げて、鳥居に乗っかると運が良くなるらしい。,どちらでもよい,131.82605,34.0388415,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_165.jpeg
地域のおすすめ箇所,地域のみんな,こうち医院,絶対に伝えたい,131.8134143,34.04656107,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_170.jpeg
地域のおすすめ箇所,地域のみんな,東山薬局,伝えたい,131.813799,34.04697543,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_173.jpeg
地域のおすすめ箇所,地域のみんな,遠石八幡宮…おみくじをすることができたり、お守りを買うことができるので来て欲しい。,伝えたい,131.8231405,34.03983717,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_179.jpeg
地域のおすすめ箇所,地域のみんな,"周南市福祉センター
福祉に優しい",伝えたい,131.8094725,34.04618037,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_182.jpeg
地域のおすすめ箇所,地域のみんな,火事以外のとき避難できる。,伝えたい,131.8096192,34.04621848,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_182.jpeg
地域のおすすめ箇所,"大人,地域のみんな",センタクロース　洗濯機が壊れた時に役にたつ場所。,伝えたい,131.8219212,34.04572027,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_189.jpeg
地域のおすすめ箇所,地域のみんな,二幸ケーキが美味しく、その中でチョコまんじゅうが美味しい。,伝えたい,131.8170141,34.04366052,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_201.jpeg
