警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
光,3,負傷,0,1,市道,光市,2023,1,3,13,57,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m以上,直路,単独（交差点付近を含む）,規制なし,人対車両,75歳以上,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.98646778,131.9225572,火曜,その他
光,2,負傷,0,4,県道,光市,2023,1,3,14,55,2昼,晴,非市街地,舗装　乾燥,橋,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.00012861,131.9686564,火曜,その他
防府,11,負傷,0,2,市道,防府市,2023,1,3,16,16,2昼,晴,非市街地,舗装　乾燥,交差点,点滅１灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　小　小,直路,交差点内,規制なし,車両相互,35～44歳,35～44歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.04323861,131.5712081,火曜,その他
小串,4,負傷,0,3,国道191号,下関市,2023,1,4,0,50,5夜,晴,市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,25～34歳,軽乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.12725778,130.9129614,水曜,その他
高速隊,2,負傷,0,1,高速道路,周南市,2023,1,4,3,25,5夜,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m以上,直路,単独（交差点付近を含む）,規制なし,車両単独,75歳以上,不明,軽乗用,物件等,自家用,対象外当事者,損傷なし,対象外当事者,34.04549083,131.8531067,水曜,その他
宇部,20,負傷,0,1,市道,宇部市,2023,1,4,7,56,1昼明,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.00479194,131.2083094,水曜,その他
周南,7,負傷,0,1,市道,周南市,2023,1,4,8,13,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　小　小,直路,交差点内,規制なし,車両相互,25～34歳,35～44歳,普通乗用,駆動補助装置付自転車,自家用,自転車,損傷なし,負傷,34.04643944,131.8351019,水曜,その他
山陽小野田,1,負傷,0,1,県道,山陽小野田市,2023,1,4,12,1,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,規制なし,車両相互,01～24歳,45～54歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.98764917,131.1727758,水曜,その他
宇部,8,負傷,0,1,国道190号,宇部市,2023,1,4,12,47,2昼,晴,非市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,規制なし,車両相互,75歳以上,25～34歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.96099111,131.3168067,水曜,その他
周南,24,負傷,0,1,その他,周南市,2023,1,4,18,47,5夜,晴,市街地,舗装　乾燥,その他,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,一般交通の場所,一般交通の場所,単独（交差点付近を含む）,規制なし,人対車両,45～54歳,25～34歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.03654833,131.8423369,水曜,その他
防府,7,負傷,0,1,県道,防府市,2023,1,4,19,52,5夜,曇,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　中　中,直路,交差点内,規制なし,人対車両,45～54歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.05104139,131.5445906,水曜,その他
宇部,11,負傷,0,1,県道,宇部市,2023,1,5,8,25,1昼明,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　小　小,直路,交差点内,規制なし,車両相互,65～74歳,45～54歳,軽乗用,自転車,自家用,自転車,損傷なし,負傷,33.95377556,131.2544506,木曜,その他
岩国,5,負傷,0,1,国道188号,岩国市,2023,1,5,14,2,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,人対車両,65～74歳,65～74歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.12099361,132.2002428,木曜,その他
山口南,5,負傷,0,1,県道,山口市,2023,1,5,14,23,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　13.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.08965861,131.3902203,木曜,その他
柳井,9,負傷,0,1,県道,田布施町,2023,1,5,15,24,2昼,晴,非市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,規制なし,車両相互,01～24歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.94085667,132.0291136,木曜,その他
光,6,負傷,0,1,国道188号,光市,2023,1,5,17,46,3昼暮,晴,非市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,規制なし,車両相互,45～54歳,01～24歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,33.9724825,131.9214503,木曜,その他
宇部,25,負傷,0,1,市道,宇部市,2023,1,6,7,3,1昼明,曇,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,規制なし,車両相互,55～64歳,01～24歳,普通乗用,自転車,自家用,自転車,損傷なし,負傷,33.9622275,131.2535894,金曜,その他
宇部,45,負傷,0,1,市道,宇部市,2023,1,6,7,21,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,規制なし,車両相互,01～24歳,25～34歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.96449083,131.2835136,金曜,その他
山口,4,負傷,0,1,市道,山口市,2023,1,6,14,37,2昼,晴,市街地,舗装　乾燥,交差点,点滅１灯式,標識　規制なし,表示あり,標識　規制なし,表示あり,交差点　中　中,直路,交差点内,規制なし,車両相互,65～74歳,25～34歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.16103833,131.4945731,金曜,その他
下松,7,負傷,0,1,国道188号,下松市,2023,1,6,15,45,2昼,晴,市街地,舗装　乾燥,交差点付近,点灯３灯式,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,75歳以上,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.02945694,131.8637917,金曜,その他
岩国,13,負傷,0,1,市道,岩国市,2023,1,6,16,30,3昼暮,晴,市街地,舗装　乾燥,交差点付近,点灯３灯式,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,55～64歳,普通乗用,原付一種,自家用,自家用,損傷なし,負傷,34.16472917,132.1936283,金曜,その他
山口,5,負傷,0,1,市道,山口市,2023,1,6,17,30,4夜暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,45～54歳,軽乗用,自転車,自家用,自転車,損傷なし,負傷,34.16619556,131.4809828,金曜,その他
周南,21,負傷,0,1,県道,周南市,2023,1,6,20,8,5夜,晴,市街地,舗装　乾燥,交差点,点灯押ボ式,標識　標準　反射式,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,規制なし,車両相互,25～34歳,01～24歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.07040889,131.7564489,金曜,その他
山口,13,負傷,0,1,国道９号,山口市,2023,1,7,10,43,2昼,雨,非市街地,舗装　湿潤,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,75歳以上,軽乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.2544325,131.5337744,土曜,その他
山口南,6,負傷,0,2,市道,山口市,2023,1,7,16,4,3昼暮,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,規制なし,車両相互,65～74歳,25～34歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.089935,131.40383,土曜,その他
光,5,負傷,0,2,国道２号,周南市,2023,1,7,19,50,5夜,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　13.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,01～24歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.07593528,131.9912053,土曜,その他
周南,31,負傷,0,1,国道２号,周南市,2023,1,7,20,6,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,25～34歳,普通乗用,軽二輪　126～250cc,自家用,自家用,損傷なし,負傷,34.05572167,131.8202569,土曜,その他
岩国,21,負傷,0,1,国道188号,岩国市,2023,1,8,11,50,2昼,晴,市街地,舗装　乾燥,交差点付近,点灯３灯式,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.13554306,132.1945969,日曜,前日
山陽小野田,2,負傷,0,1,国道190号,山陽小野田市,2023,1,8,16,54,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,01～24歳,普通乗用,普通乗用,自家用,自家用,損傷なし,損傷なし,33.97769694,131.1871825,日曜,前日
岩国,6,負傷,0,1,市道,岩国市,2023,1,8,18,28,5夜,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　大　小,直路,交差点内,規制なし,車両相互,25～34歳,01～24歳,普通乗用,自転車,自家用,自転車,損傷なし,負傷,34.16842056,132.2219683,日曜,前日
山口,14,負傷,0,1,市道,山口市,2023,1,8,21,22,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m以上,直路,単独（交差点付近を含む）,規制なし,人対車両,01～24歳,75歳以上,軽二輪　126～250cc,歩行者,自家用,対象外当事者,損傷なし,負傷,34.15955472,131.4594714,日曜,前日
柳井,37,負傷,0,1,県道,柳井市,2023,1,9,7,3,1昼明,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,01～24歳,普通乗用,軽貨物,自家用,自家用,損傷なし,負傷,33.95889444,132.1162039,月曜,当日
光,7,負傷,0,2,国道188号,光市,2023,1,9,11,13,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　小,直路,交差点内,規制なし,車両相互,25～34歳,35～44歳,普通乗用,小型二輪　751cc以上,自家用,自家用,損傷なし,負傷,33.97242306,131.9218564,月曜,当日
下松,3,負傷,0,1,市道,下松市,2023,1,9,15,38,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,規制なし,車両相互,01～24歳,01～24歳,軽乗用,自転車,自家用,自転車,損傷なし,負傷,34.003445,131.8761922,月曜,当日
長府,8,負傷,0,1,国道２号,下関市,2023,1,9,22,3,5夜,曇,非市街地,舗装　乾燥,交差点付近,点灯３灯式,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,45～54歳,普通乗用,普通貨物,自家用,自家用,損傷なし,負傷,34.02750972,131.0089083,月曜,当日
光,9,負傷,0,1,市道,光市,2023,1,10,11,20,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　大　小,直路,交差点内,規制なし,人対車両,45～54歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.97440556,131.9104039,火曜,その他
防府,16,負傷,0,1,県道,防府市,2023,1,10,12,21,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,65～74歳,大型貨物,軽乗用,事業用,自家用,損傷なし,負傷,34.04524667,131.6093078,火曜,その他
長府,4,負傷,0,1,県道,下関市,2023,1,10,14,0,2昼,晴,市街地,舗装　乾燥,交差点付近,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,01～24歳,軽乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.09199917,130.9617122,火曜,その他
周南,12,負傷,0,1,市道,周南市,2023,1,10,17,50,4夜暮,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　中　小,直路,交差点内,規制なし,人対車両,75歳以上,65～74歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.1165075,131.8623608,火曜,その他
山口,8,負傷,0,1,市道,山口市,2023,1,11,6,25,6夜明,晴,市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,カーブ右,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,35～44歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.19253056,131.4833725,水曜,その他
下関,14,負傷,0,1,県道,下関市,2023,1,11,7,2,6夜明,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　中　中,直路,交差点内,規制なし,人対車両,65～74歳,65～74歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.94339194,130.9113361,水曜,その他
宇部,21,負傷,0,1,市道,宇部市,2023,1,11,8,47,1昼明,晴,市街地,舗装　乾燥,交差点付近,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.95557056,131.2702039,水曜,その他
岩国,15,負傷,0,1,国道２号,岩国市,2023,1,11,9,40,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,75歳以上,軽乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.17481444,132.1620714,水曜,その他
岩国,12,負傷,0,1,国道188号,岩国市,2023,1,11,10,40,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,35～44歳,軽乗用,軽貨物,自家用,自家用,損傷なし,負傷,34.10683028,132.2014047,水曜,その他
柳井,5,死亡,1,0,県道,柳井市,2023,1,11,19,3,5夜,晴,市街地,舗装　乾燥,橋,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,75歳以上,普通乗用,原付二種　51～125cc,自家用,自家用,損傷なし,死亡,33.9698625,132.1003072,水曜,その他
萩,1,負傷,0,1,国道191号,萩市,2023,1,11,20,17,5夜,晴,市街地,舗装　乾燥,交差点,点灯押ボ式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,規制なし,車両相互,75歳以上,01～24歳,軽貨物,自転車,自家用,自転車,損傷なし,負傷,34.40950111,131.4071872,水曜,その他
山口,16,負傷,0,1,県道,山口市,2023,1,12,7,10,1昼明,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,01～24歳,軽貨物,自転車,自家用,自転車,損傷なし,負傷,34.16675389,131.4822753,木曜,その他
周南,18,負傷,0,1,市道,周南市,2023,1,12,7,23,1昼明,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　標準　反射式,表示あり,交差点　中　小,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,65～74歳,普通乗用,小型二輪　751cc以上,自家用,自家用,損傷なし,負傷,34.03805278,131.8268856,木曜,その他
防府,13,負傷,0,1,その他,防府市,2023,1,12,7,40,1昼明,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,01～24歳,普通乗用,自転車,自家用,自転車,損傷なし,負傷,34.025285,131.5565017,木曜,その他
下関,8,負傷,0,2,市道,下関市,2023,1,12,11,28,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,75歳以上,65～74歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.003635,130.9246967,木曜,その他
防府,9,負傷,0,1,県道,防府市,2023,1,12,12,37,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　標準　反射式,表示あり,交差点　中　中,直路,交差点内,規制なし,車両相互,45～54歳,65～74歳,軽乗用,軽貨物,自家用,自家用,損傷なし,負傷,34.0602925,131.5606683,木曜,その他
山陽小野田,3,負傷,0,1,市道,山陽小野田市,2023,1,12,16,57,3昼暮,晴,市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,カーブ左,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,45～54歳,普通貨物,軽乗用,自家用,自家用,負傷,損傷なし,33.95926472,131.1785983,木曜,その他
周南,27,負傷,0,5,市道,周南市,2023,1,12,17,12,3昼暮,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,規制なし,車両相互,45～54歳,01～24歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.05588083,131.8072531,木曜,その他
宇部,17,負傷,0,1,市道,宇部市,2023,1,12,17,29,4夜暮,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,35～44歳,軽乗用,小型二輪　251～400cc,自家用,自家用,損傷なし,負傷,33.96468167,131.2395906,木曜,その他
下関,39,負傷,0,1,港湾道,下関市,2023,1,13,6,28,6夜明,曇,市街地,舗装　湿潤,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　大　小,カーブ左,交差点内,規制なし,人対車両,55～64歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.94640472,130.9220175,金曜,その他
山口,9,負傷,0,1,県道,山口市,2023,1,13,7,44,1昼明,曇,市街地,舗装　湿潤,交差点,点灯押ボ式,標識　標準　反射式,表示なし,標識　規制なし,表示なし,交差点　大　小,直路,交差点内,規制なし,車両相互,35～44歳,45～54歳,普通乗用,自転車,自家用,自転車,損傷なし,負傷,34.15178833,131.4650583,金曜,その他
宇部,48,負傷,0,1,市道,宇部市,2023,1,13,8,45,2昼,雨,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,規制なし,車両相互,45～54歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.00265972,131.2072053,金曜,その他
周南,17,負傷,0,1,国道２号,周南市,2023,1,13,16,19,2昼,雨,市街地,舗装　湿潤,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,01～24歳,軽乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.06362889,131.8044903,金曜,その他
岩国,10,負傷,0,2,国道２号,岩国市,2023,1,13,17,13,3昼暮,雨,市街地,舗装　湿潤,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,25～34歳,普通貨物,軽乗用,自家用,自家用,損傷なし,負傷,34.0751975,132.2082897,金曜,その他
防府,17,負傷,0,1,県道,防府市,2023,1,13,19,19,5夜,雨,市街地,舗装　湿潤,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,55～64歳,軽乗用,原付二種　51～125cc,自家用,自家用,損傷なし,負傷,34.03578,131.5709256,金曜,その他
防府,15,負傷,0,1,県道,防府市,2023,1,13,20,6,5夜,雨,市街地,舗装　湿潤,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　大　中,直路,交差点内,規制なし,人対車両,55～64歳,25～34歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.02298778,131.5170306,金曜,その他
周南,33,負傷,0,1,市道,周南市,2023,1,13,21,15,5夜,雨,市街地,舗装　湿潤,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,人対車両,65～74歳,55～64歳,普通乗用,歩行者,事業用,対象外当事者,損傷なし,負傷,34.05153417,131.8040222,金曜,その他
