警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
防府,0021,負傷,000,001,市道,防府市,2019,01,05,07,30,1昼明,曇,非市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,車両相互,01～24歳,65～74歳,普通乗用,軽貨物,自家用,自家用,損傷なし,負傷,34.05672806,131.5467328,土曜,その他
防府,0009,負傷,000,001,県道,防府市,2019,01,05,08,40,2昼,曇,市街地,舗装　湿潤,交差点付近,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,01～24歳,01～24歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.05199361,131.5634658,土曜,その他
光,0013,負傷,000,002,市道,光市,2019,01,05,11,55,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　小,直路,交差点内,車両相互,45～54歳,55～64歳,軽乗用,軽貨物,自家用,自家用,負傷,損傷なし,33.95600667,131.9575322,土曜,その他
光,0006,負傷,000,001,県道,光市,2019,01,05,14,16,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,55～64歳,普通乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.00622611,131.9682133,土曜,その他
岩国,0014,負傷,000,001,県道,岩国市,2019,01,05,16,29,3昼暮,晴,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,カーブ右,単独（交差点付近を含む）,車両相互,01～24歳,01～24歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.16915083,132.1808375,土曜,その他
岩国,0047,負傷,000,003,国道188号,岩国市,2019,01,05,16,34,3昼暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,35～44歳,普通乗用,普通乗用,事業用,自家用,損傷なし,負傷,34.11882917,132.19879,土曜,その他
山口,0015,負傷,000,001,国道９号,山口市,2019,01,05,17,50,4夜暮,晴,市街地,舗装　乾燥,交差点付近,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,35～44歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.40820361,131.7405911,土曜,その他
下関,0523,負傷,000,001,県道,下関市,2019,01,05,17,50,4夜暮,晴,非市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　小,直路,交差点内,車両相互,65～74歳,35～44歳,普通乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.01766083,130.9451244,土曜,その他
下関,0025,負傷,000,001,市道,下関市,2019,01,05,21,00,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,人対車両,45～54歳,01～24歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.95097917,130.9296889,土曜,その他
下関,0012,負傷,000,002,県道,下関市,2019,01,06,14,42,2昼,雨,市街地,舗装　湿潤,交差点付近,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,01～24歳,01～24歳,軽乗用,軽貨物,自家用,自家用,負傷,損傷なし,33.96895833,130.9414322,日曜,その他
岩国,0017,負傷,000,001,県道,岩国市,2019,01,07,07,20,6夜明,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,25～34歳,普通乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.12182472,132.130445,月曜,その他
下関,0030,負傷,000,001,県道,下関市,2019,01,07,07,50,1昼明,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.99930278,130.9520272,月曜,その他
下関,0052,負傷,000,002,県道,下関市,2019,01,07,08,45,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,01～24歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.01857,130.9540372,月曜,その他
山口,0018,負傷,000,002,国道９号,山口市,2019,01,07,11,20,2昼,晴,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,25～34歳,中型貨物,軽乗用,自家用,自家用,損傷なし,負傷,34.15676528,131.4339011,月曜,その他
下関,0028,負傷,000,001,県道,下関市,2019,01,07,12,52,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,車両相互,65～74歳,45～54歳,普通乗用,軽貨物,自家用,自家用,損傷なし,負傷,33.98245056,130.9512797,月曜,その他
下関,0014,負傷,000,001,市道,下関市,2019,01,07,13,18,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m以上,直路,単独（交差点付近を含む）,人対車両,25～34歳,35～44歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.00469389,130.9265642,月曜,その他
光,0004,負傷,000,001,国道188号,光市,2019,01,07,14,00,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,車両相互,65～74歳,65～74歳,軽乗用,駆動補助装置付自転車,自家用,対象外当事者,損傷なし,負傷,33.95691333,131.9488742,月曜,その他
宇部,0015,負傷,000,001,市道,宇部市,2019,01,07,14,06,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,車両相互,75歳以上,01～24歳,普通乗用,軽乗用,事業用,自家用,損傷なし,負傷,33.93969389,131.2557358,月曜,その他
山口,0037,負傷,000,001,県道,山口市,2019,01,07,14,16,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,75歳以上,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.18858583,131.4940358,月曜,その他
光,0002,負傷,000,001,国道188号,光市,2019,01,07,14,40,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　大　中,直路,交差点内,人対車両,75歳以上,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.95917222,131.9452742,月曜,その他
岩国,0032,負傷,000,001,県道,岩国市,2019,01,07,15,18,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,対象外当事者,その他,交差点　中　小,直路,交差点内,人対車両,25～34歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.17209944,132.2233956,月曜,その他
宇部,0014,負傷,000,001,国道190号,宇部市,2019,01,07,17,13,3昼暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,35～44歳,45～54歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,33.96118611,131.3170547,月曜,その他
防府,0030,負傷,000,001,市道,防府市,2019,01,07,17,26,4夜暮,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,車両相互,55～64歳,01～24歳,普通乗用,自転車,自家用,対象外当事者,損傷なし,負傷,34.04814389,131.5918353,月曜,その他
長府,0010,負傷,000,001,県道,下関市,2019,01,07,17,58,4夜暮,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　中,カーブ右,交差点内,人対車両,45～54歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.05337611,131.0251556,月曜,その他
岩国,0005,死亡,001,000,国道188号,岩国市,2019,01,07,18,31,5夜,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　中,カーブ左,交差点内,人対車両,75歳以上,75歳以上,軽貨物,歩行者,自家用,対象外当事者,損傷なし,死亡,34.07009583,132.2063133,月曜,その他
山陽小野田,0009,負傷,000,001,県道,山陽小野田市,2019,01,07,18,40,5夜,晴,非市街地,舗装　乾燥,交差点付近,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,35～44歳,35～44歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.04338083,131.1725392,月曜,その他
下関,0054,負傷,000,001,県道,下関市,2019,01,07,23,18,5夜,晴,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,01～24歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.96870028,130.9410897,月曜,その他
長府,0006,負傷,000,001,国道９号,下関市,2019,01,08,07,23,1昼明,晴,市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,カーブ左,単独（交差点付近を含む）,車両相互,25～34歳,25～34歳,普通乗用,軽貨物,自家用,自家用,負傷,損傷なし,33.98171917,130.9812267,火曜,その他
山口,0009,負傷,000,001,県道,山口市,2019,01,08,08,37,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,車両相互,65～74歳,35～44歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.13509806,131.4342297,火曜,その他
長府,0005,負傷,000,001,国道９号,下関市,2019,01,08,09,35,2昼,晴,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,65～74歳,普通乗用,軽貨物,自家用,自家用,損傷なし,負傷,33.99772389,130.9909967,火曜,その他
宇部,0042,負傷,000,002,市道,宇部市,2019,01,08,09,54,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,車両相互,35～44歳,35～44歳,普通乗用,普通乗用,自家用,自家用,負傷,負傷,33.94605583,131.2515175,火曜,その他
山口,0008,負傷,000,001,県道,山口市,2019,01,08,10,05,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,車両相互,25～34歳,01～24歳,普通乗用,軽貨物,自家用,自家用,損傷なし,負傷,34.15160889,131.4902783,火曜,その他
長府,0004,負傷,000,002,国道９号,下関市,2019,01,08,17,39,4夜暮,晴,市街地,舗装　乾燥,交差点付近,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,75歳以上,45～54歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.98764556,130.9900956,火曜,その他
長府,0025,負傷,000,001,国道２号,下関市,2019,01,08,18,02,4夜暮,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,車両相互,65～74歳,01～24歳,軽乗用,自転車,自家用,対象外当事者,損傷なし,負傷,34.0040125,130.9911397,火曜,その他
防府,0022,負傷,000,001,県道,防府市,2019,01,09,07,57,1昼明,晴,非市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,車両相互,75歳以上,65～74歳,軽乗用,軽貨物,自家用,自家用,損傷なし,負傷,34.04895972,131.5341147,水曜,その他
周南,0014,負傷,000,002,その他(広場等),周南市,2019,01,09,14,00,2昼,曇,非市街地,舗装　乾燥,その他,施設なし,対象外当事者,その他,対象外当事者,その他,一般交通の場所,その他,単独（交差点付近を含む）,人対車両,55～64歳,25～34歳,普通乗用,歩行者,事業用,対象外当事者,損傷なし,負傷,34.0840025,131.6800564,水曜,その他
下関,0029,負傷,000,001,国道191号,下関市,2019,01,09,15,02,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,35～44歳,45～54歳,準中型貨物,軽貨物,自家用,自家用,損傷なし,負傷,34.04266972,130.9147056,水曜,その他
下関,0038,負傷,000,001,県道,下関市,2019,01,09,18,08,4夜暮,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,25～34歳,軽乗用,軽乗用,自家用,自家用,損傷なし,損傷なし,33.96168389,130.9138819,水曜,その他
宇部,0019,負傷,000,001,国道190号,宇部市,2019,01,09,18,34,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,45～54歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,33.97110417,131.3321972,水曜,その他
下関,0040,負傷,000,001,県道,下関市,2019,01,09,18,47,5夜,曇,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　大　中,直路,交差点内,人対車両,35～44歳,25～34歳,普通貨物,歩行者,自家用,対象外当事者,損傷なし,負傷,34.00491722,130.9250003,水曜,その他
長府,0016,負傷,000,001,市道,下関市,2019,01,09,19,00,5夜,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,車両相互,45～54歳,35～44歳,軽乗用,軽貨物,自家用,事業用,損傷なし,負傷,34.01077083,130.9861525,水曜,その他
