警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
山陽小野田,0008,負傷,000,002,県道,山陽小野田市,2020,01,02,16,32,3昼暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,65～74歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.99020833,131.1694694,木曜,その他
下関,0004,負傷,000,001,県道,下関市,2020,01,02,17,35,4夜暮,晴,非市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,規制なし,車両相互,65～74歳,01～24歳,普通乗用,小型二輪　251～400cc,自家用,自家用,損傷なし,負傷,33.977565,130.9434603,木曜,その他
下関,0002,負傷,000,001,市道,下関市,2020,01,02,17,38,4夜暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,01～24歳,普通乗用,原付一種,自家用,自家用,損傷なし,負傷,33.99061167,130.9310608,木曜,その他
小串,0004,負傷,000,003,国道191号,下関市,2020,01,02,17,52,4夜暮,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,75歳以上,01～24歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.12350056,130.9123081,木曜,その他
周南,0010,負傷,000,001,その他(広場等),周南市,2020,01,02,20,53,5夜,晴,市街地,舗装　乾燥,その他,施設なし,対象外当事者,その他,対象外当事者,その他,一般交通の場所,その他,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,45～54歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.02861444,131.8418897,木曜,その他
山口,0008,負傷,000,001,県道,山口市,2020,01,03,16,44,3昼暮,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,規制なし,車両相互,25～34歳,01～24歳,軽乗用,軽二輪　126～250cc,自家用,自家用,損傷なし,負傷,34.15693417,131.4962322,金曜,その他
長府,0011,負傷,000,001,県道,下関市,2020,01,04,08,12,1昼明,晴,市街地,舗装　乾燥,交差点,点灯押ボ式,標識　規制なし,表示なし,対象外当事者,その他,交差点　小　小,直路,交差点内,規制なし,人対車両,65～74歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.06393417,131.0524222,土曜,その他
宇部,0014,負傷,000,001,市道,宇部市,2020,01,04,09,13,2昼,晴,非市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　大　小,直路,交差点内,規制なし,車両単独,75歳以上,不明,原付一種,物件等,自家用,対象外当事者,負傷,対象外当事者,33.96047139,131.2587989,土曜,その他
長府,0004,負傷,000,001,県道,下関市,2020,01,04,10,35,2昼,晴,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,25～34歳,軽貨物,軽貨物,自家用,自家用,損傷なし,負傷,34.13061,131.0340528,土曜,その他
高速隊,0002,負傷,000,004,高速道路,岩国市,2020,01,04,12,00,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.18115222,132.1696258,土曜,その他
防府,0016,負傷,000,001,国道２号,防府市,2020,01,04,13,46,2昼,晴,非市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,規制なし,車両相互,25～34歳,45～54歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.05337833,131.6503072,土曜,その他
高速隊,0003,負傷,000,002,高速道路,岩国市,2020,01,04,14,18,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.14170722,132.1214375,土曜,その他
宇部,0025,負傷,000,001,市道,宇部市,2020,01,04,15,36,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,75歳以上,55～64歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.93595,131.2690728,土曜,その他
周南,0009,負傷,000,001,県道,周南市,2020,01,04,15,53,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,規制なし,車両相互,65～74歳,65～74歳,普通乗用,自転車,事業用,対象外当事者,損傷なし,負傷,34.03985583,131.8205508,土曜,その他
下松,0015,負傷,000,001,市道,下松市,2020,01,04,16,20,3昼暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両単独,75歳以上,不明,原付一種,相手なし,自家用,対象外当事者,負傷,対象外当事者,34.00907528,131.8683311,土曜,その他
周南,0032,負傷,000,002,県道,周南市,2020,01,04,23,31,5夜,晴,市街地,舗装　乾燥,交差点付近,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,45～54歳,普通乗用,普通貨物,自家用,自家用,負傷,損傷なし,34.07180778,131.7597431,土曜,その他
周南,0006,負傷,000,001,市道,周南市,2020,01,05,08,51,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,規制なし,車両相互,25～34歳,45～54歳,普通乗用,原付一種,自家用,自家用,損傷なし,負傷,34.04882139,131.8340328,日曜,その他
小串,0002,負傷,000,001,県道,下関市,2020,01,05,12,03,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,35～44歳,軽乗用,小型二輪　751cc以上,自家用,自家用,損傷なし,負傷,34.34740278,130.8954478,日曜,その他
下松,0003,負傷,000,001,市道,下松市,2020,01,05,14,18,2昼,曇,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　小　小,直路,交差点内,規制なし,車両相互,65～74歳,25～34歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.01056583,131.8655661,日曜,その他
防府,0008,負傷,000,001,県道,防府市,2020,01,05,15,08,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,01～24歳,軽乗用,原付一種,自家用,自家用,損傷なし,負傷,34.04725889,131.5285489,日曜,その他
防府,0011,負傷,000,001,県道,防府市,2020,01,05,15,10,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　標準　反射式,表示あり,交差点　大　中,直路,交差点内,規制なし,車両相互,55～64歳,55～64歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.057315,131.5654408,日曜,その他
下関,0005,負傷,000,001,県道,下関市,2020,01,05,16,46,3昼暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,45～54歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,33.9775775,130.9433889,日曜,その他
下関,0011,負傷,000,001,国道２号,下関市,2020,01,05,16,50,3昼暮,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示なし,標識　規制なし,表示なし,交差点　小　小,直路,交差点内,規制なし,車両相互,45～54歳,55～64歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.98160472,130.9500536,日曜,その他
長府,0014,負傷,000,001,国道９号,下関市,2020,01,05,18,16,4夜暮,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　大　中,直路,交差点内,規制なし,人対車両,35～44歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.98732917,130.9897119,日曜,その他
周南,0013,負傷,000,001,県道,周南市,2020,01,05,20,58,5夜,晴,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,45～54歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.02872028,131.8423681,日曜,その他
山口,0012,負傷,000,001,市道,山口市,2020,01,05,22,33,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,25～34歳,軽乗用,小型二輪　251～400cc,自家用,自家用,損傷なし,負傷,34.14417528,131.4690933,日曜,その他
周南,0007,負傷,000,001,国道２号,周南市,2020,01,06,07,30,1昼明,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,75歳以上,軽乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.0670825,131.7981047,月曜,その他
宇部,0004,負傷,000,001,国道490号,宇部市,2020,01,06,09,20,2昼,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,01～24歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.948185,131.2518819,月曜,その他
下関,0026,負傷,000,001,市道,下関市,2020,01,06,10,47,2昼,曇,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,55～64歳,普通乗用,普通乗用,自家用,事業用,損傷なし,損傷なし,33.96116389,130.9299528,月曜,その他
下関,0014,負傷,000,001,市道,下関市,2020,01,06,13,24,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示なし,標識　標準　反射式,表示なし,交差点　大　中,直路,交差点内,規制なし,車両相互,55～64歳,25～34歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.97995611,130.9327206,月曜,その他
宇部,0005,負傷,000,001,国道190号,宇部市,2020,01,06,16,07,2昼,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,45～54歳,普通乗用,自転車,自家用,対象外当事者,損傷なし,負傷,33.95341278,131.2410597,月曜,その他
長門,0002,負傷,000,001,国道191号,長門市,2020,01,06,16,14,2昼,曇,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,45～54歳,軽乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.37268583,131.1371208,月曜,その他
防府,0018,負傷,000,004,県道,防府市,2020,01,06,17,11,3昼暮,晴,非市街地,舗装　湿潤,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,規制なし,車両相互,45～54歳,25～34歳,普通貨物,軽乗用,自家用,自家用,負傷,負傷,34.04318778,131.5945903,月曜,その他
山陽小野田,0025,負傷,000,001,県道,山陽小野田市,2020,01,06,18,36,5夜,雨,非市街地,舗装　湿潤,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,規制なし,車両相互,45～54歳,01～24歳,普通乗用,自転車,自家用,対象外当事者,損傷なし,負傷,34.05696889,131.1492358,月曜,その他
下関,0013,負傷,000,001,県道,下関市,2020,01,06,22,09,5夜,雨,市街地,舗装　湿潤,直路,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.96871944,130.9367378,月曜,その他
周南,0020,負傷,000,001,市道,周南市,2020,01,07,13,39,2昼,雨,非市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,35～44歳,準中型貨物,軽貨物,事業用,自家用,損傷なし,負傷,34.11775,131.8643767,火曜,その他
下関,0003,負傷,000,001,国道191号,下関市,2020,01,07,13,58,2昼,曇,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,45～54歳,準中型貨物,普通乗用,事業用,自家用,負傷,損傷なし,34.02084944,130.9171581,火曜,その他
宇部,0009,負傷,000,001,市道,宇部市,2020,01,07,18,02,4夜暮,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,25～34歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,33.95775694,131.2552636,火曜,その他
山口南,0007,負傷,000,001,県道,山口市,2020,01,08,00,59,5夜,雨,市街地,舗装　湿潤,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　小　小,直路,交差点内,規制なし,車両相互,01～24歳,55～64歳,軽乗用,軽乗用,自家用,自家用,損傷なし,損傷なし,34.09837278,131.3990389,水曜,その他
宇部,0012,負傷,000,001,市道,宇部市,2020,01,08,07,32,1昼明,曇,非市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,25～34歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.98850917,131.3059647,水曜,その他
山陽小野田,0015,負傷,000,001,市道,山陽小野田市,2020,01,08,08,11,1昼明,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,65～74歳,普通乗用,原付一種,自家用,自家用,損傷なし,負傷,33.97760583,131.1794181,水曜,その他
下松,0009,負傷,000,001,国道188号,下松市,2020,01,08,08,22,2昼,雨,非市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,35～44歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.98841528,131.8871197,水曜,その他
山口,0017,負傷,000,001,県道,山口市,2020,01,08,08,25,2昼,雨,市街地,舗装　湿潤,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,規制なし,車両相互,55～64歳,01～24歳,軽乗用,原付一種,自家用,自家用,損傷なし,負傷,34.14764944,131.4627494,水曜,その他
山口,0009,負傷,000,001,国道９号,山口市,2020,01,08,08,26,2昼,雨,市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,45～54歳,準中型貨物,軽乗用,自家用,自家用,損傷なし,負傷,34.17815472,131.4641617,水曜,その他
宇部,0027,負傷,000,001,市道,宇部市,2020,01,08,15,00,2昼,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両単独,45～54歳,不明,原付一種,物件等,自家用,対象外当事者,負傷,対象外当事者,33.94399111,131.2661739,水曜,その他
岩国,0022,負傷,000,001,市道,岩国市,2020,01,08,15,35,2昼,雨,市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,人対車両,25～34歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.13346333,132.1965294,水曜,その他
山口南,0010,負傷,000,002,国道２号,山口市,2020,01,08,16,16,2昼,曇,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,01～24歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.08233778,131.4472914,水曜,その他
長府,0007,負傷,000,002,市道,下関市,2020,01,08,17,14,3昼暮,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,25～34歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.00422611,130.9912078,水曜,その他
山陽小野田,0013,負傷,000,002,国道190号,山陽小野田市,2020,01,08,17,39,4夜暮,曇,非市街地,舗装　湿潤,交差点,施設なし,標識　標準　反射式,表示なし,標識　標準　反射式,表示なし,交差点　中　小,直路,交差点内,規制なし,車両相互,25～34歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.00127417,131.1828992,水曜,その他
岩国,0026,負傷,000,001,国道188号,岩国市,2020,01,09,09,05,2昼,晴,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　3.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,01～24歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.12851556,132.1913131,木曜,その他
萩,0003,負傷,000,001,県道,萩市,2020,01,09,16,34,3昼暮,晴,市街地,舗装　乾燥,交差点,点灯押ボ式,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,規制なし,車両相互,55～64歳,45～54歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.40802056,131.4106742,木曜,その他
山口南,0009,負傷,000,001,国道９号,山口市,2020,01,09,17,43,4夜暮,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　大　中,直路,交差点内,規制なし,人対車両,75歳以上,55～64歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.10148306,131.3938578,木曜,その他
防府,0004,死亡,001,000,市道,防府市,2020,01,09,17,43,4夜暮,曇,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　中,カーブ右,交差点内,規制なし,人対車両,35～44歳,65～74歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.01933889,131.5491931,木曜,その他
長門,0003,負傷,000,001,国道191号,長門市,2020,01,09,17,55,4夜暮,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,75歳以上,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.36308333,131.2430156,木曜,その他
山口,0052,負傷,000,001,国道９号,山口市,2020,01,10,10,17,2昼,曇,市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,35～44歳,軽乗用,軽貨物,自家用,事業用,損傷なし,負傷,34.39960722,131.7265339,金曜,その他
宇部,0015,負傷,000,001,市道,宇部市,2020,01,10,13,55,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,65～74歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,33.96615944,131.3052344,金曜,その他
防府,0048,負傷,000,001,市道,防府市,2020,01,10,16,00,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,その他,交差点　小　小,直路,交差点内,規制なし,人対車両,55～64歳,01～24歳,軽二輪　126～250cc,歩行者,自家用,対象外当事者,損傷なし,負傷,34.027785,131.5556047,金曜,その他
山陽小野田,0022,負傷,000,001,その他(幅員測定可),山陽小野田市,2020,01,10,18,08,4夜暮,晴,市街地,舗装　乾燥,その他,施設なし,対象外当事者,その他,対象外当事者,その他,一般交通の場所,その他,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,45～54歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.98572833,131.1780683,金曜,その他
岩国,0027,負傷,000,001,市道,岩国市,2020,01,10,20,09,5夜,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,規制なし,車両相互,01～24歳,35～44歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.15111611,132.2152322,金曜,その他
高速隊,0006,負傷,000,002,高速道路,美祢市,2020,01,11,07,07,6夜明,晴,非市街地,舗装　乾燥,その他,施設なし,対象外当事者,その他,対象外当事者,その他,一般交通の場所,その他,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,01～24歳,軽乗用,軽乗用,自家用,自家用,損傷なし,損傷なし,34.1524375,131.3382264,土曜,その他
光,0005,負傷,000,001,市道,光市,2020,01,11,08,01,1昼明,晴,非市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,規制なし,車両相互,55～64歳,55～64歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.99101667,131.9690253,土曜,その他
周南,0021,負傷,000,001,市道,周南市,2020,01,11,10,01,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示なし,標識　規制なし,表示なし,交差点　小　小,直路,交差点内,規制なし,車両相互,75歳以上,55～64歳,普通乗用,自転車,自家用,対象外当事者,損傷なし,負傷,34.04769667,131.8110517,土曜,その他
下関,0019,負傷,000,001,県道,下関市,2020,01,11,10,04,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,55～64歳,普通乗用,軽貨物,自家用,自家用,負傷,損傷なし,33.93228417,130.9118061,土曜,その他
宇部,0010,負傷,000,002,国道190号,宇部市,2020,01,11,10,13,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,75歳以上,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.97720028,131.2100539,土曜,その他
