警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
長門,0001,負傷,000,001,国道191号,長門市,2022,01,07,07,05,6夜明,曇,市街地,舗装　湿潤,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直線,交差点内,規制なし,車両相互,45～54歳,35～44歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.37506944,131.1922283,金曜,その他
岩国,0028,負傷,000,001,国道２号,岩国市,2022,01,07,07,11,6夜明,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,65～74歳,普通貨物,軽乗用,自家用,自家用,負傷,損傷なし,34.09252528,132.0499514,金曜,その他
下関,0008,負傷,000,001,県道,下関市,2022,01,07,08,41,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示なし,標識　規制なし,表示なし,交差点　大　小,直線,交差点内,規制なし,車両相互,25～34歳,55～64歳,軽貨物,自転車,自家用,自転車,損傷なし,負傷,33.99530139,130.9255158,金曜,その他
周南,0009,負傷,000,001,その他,周南市,2022,01,07,11,50,2昼,晴,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直線,単独（交差点付近を含む）,規制なし,車両相互,75歳以上,75歳以上,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.06597194,131.7967942,金曜,その他
下関,0022,負傷,000,001,市道,下関市,2022,01,07,14,30,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　13.0m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.95002694,130.9268681,金曜,その他
岩国,0011,負傷,000,001,県道,岩国市,2022,01,07,17,32,4夜暮,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直線,交差点内,規制なし,車両相互,65～74歳,01～24歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.09262667,132.083465,金曜,その他
防府,0001,負傷,000,001,市道,防府市,2022,01,07,19,53,5夜,曇,非市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直線,交差点内,規制なし,車両相互,65～74歳,45～54歳,軽乗用,自転車,自家用,自転車,損傷なし,負傷,34.07039472,131.5401892,金曜,その他
山陽小野田,0006,負傷,000,001,国道２号,山陽小野田市,2022,01,08,05,45,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,45～54歳,大型貨物,普通乗用,事業用,自家用,損傷なし,負傷,34.04611111,131.1255556,土曜,その他
美祢,0001,負傷,000,001,県道,美祢市,2022,01,08,07,36,1昼明,晴,非市街地,舗装　乾燥,その他,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,65～74歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.13542306,131.2239417,土曜,その他
山口,0021,負傷,000,001,市道,山口市,2022,01,08,09,03,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,人対車両,35～44歳,45～54歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.15550833,131.5091611,土曜,その他
下松,0006,負傷,000,001,市道,下松市,2022,01,08,13,01,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,75歳以上,普通乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.02385778,131.8507222,土曜,その他
周南,0013,負傷,000,001,県道,周南市,2022,01,08,14,11,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直線,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,75歳以上,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.03548528,131.8325747,土曜,その他
下松,0008,負傷,000,002,国道２号,下松市,2022,01,08,16,25,3昼暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　13.0m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,55～64歳,普通乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.03171556,131.8591978,土曜,その他
下関,0014,負傷,000,001,国道９号,下関市,2022,01,08,19,47,5夜,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示なし,標識　規制なし,表示なし,交差点　大　中,直線,交差点内,規制なし,車両相互,55～64歳,75歳以上,普通乗用,駆動補助装置付自転車,自家用,自転車,損傷なし,負傷,33.95089222,130.9252919,土曜,その他
下関,0041,負傷,000,001,市道,下関市,2022,01,09,12,29,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　中　中,直線,交差点内,規制なし,車両相互,25～34歳,25～34歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.95800972,130.9457208,日曜,前日
防府,0012,負傷,000,001,県道,防府市,2022,01,09,18,19,4夜暮,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直線,交差点内,規制なし,車両相互,55～64歳,55～64歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.05754833,131.563175,日曜,前日
岩国,0010,負傷,000,001,一般の交通の用に供するその他の道路,岩国市,2022,01,10,08,35,2昼,晴,市街地,舗装　乾燥,その他,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,一般交通の場所,一般交通の場所,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,55～64歳,準中型貨物,軽乗用,自家用,自家用,損傷なし,負傷,34.06958222,132.2063617,月曜,当日
下関,0026,負傷,000,001,市道,下関市,2022,01,10,12,22,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直線,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,35～44歳,普通乗用,小型二輪　251～400cc,自家用,自家用,損傷なし,負傷,34.00289694,130.9377058,月曜,当日
周南,0012,負傷,000,001,その他,周南市,2022,01,10,13,32,2昼,晴,非市街地,舗装　乾燥,その他,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,一般交通の場所,一般交通の場所,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,35～44歳,普通乗用,普通乗用,自家用,自家用,負傷,損傷なし,34.03798639,131.8444519,月曜,当日
山口,0005,負傷,000,001,国道９号,山口市,2022,01,10,15,35,2昼,晴,非市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　大,直線,交差点内,規制なし,車両相互,25～34歳,35～44歳,普通乗用,駆動補助装置付自転車,自家用,自転車,損傷なし,負傷,34.15971778,131.4378228,月曜,当日
山陽小野田,0007,負傷,000,001,市道,山陽小野田市,2022,01,10,18,11,4夜暮,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,75歳以上,01～24歳,普通乗用,自転車,自家用,自転車,損傷なし,負傷,34.00759583,131.1769694,月曜,当日
長府,0011,負傷,000,001,国道491号,下関市,2022,01,11,07,13,6夜明,雨,市街地,舗装　湿潤,交差点付近,点灯３灯式,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,01～24歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.06966306,131.0371811,火曜,その他
小串,0004,負傷,000,001,国道191号,下関市,2022,01,11,07,15,6夜明,雨,非市街地,舗装　湿潤,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,人対車両,01～24歳,35～44歳,自転車,歩行者,自転車,対象外当事者,損傷なし,負傷,34.13026083,130.9136617,火曜,その他
防府,0007,負傷,000,001,国道262号,防府市,2022,01,11,07,23,1昼明,雨,非市街地,舗装　湿潤,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,55～64歳,準中型貨物,普通乗用,自家用,自家用,損傷なし,損傷なし,34.07511139,131.553065,火曜,その他
下関,0033,負傷,000,001,県道,下関市,2022,01,11,08,35,2昼,曇,市街地,舗装　湿潤,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,25～34歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,33.97328528,130.9465011,火曜,その他
岩国,0018,負傷,000,001,県道,岩国市,2022,01,11,14,39,2昼,雨,非市街地,舗装　湿潤,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,75歳以上,25～34歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.15239417,132.1721556,火曜,その他
下関,0027,負傷,000,001,市道,下関市,2022,01,11,17,48,4夜暮,曇,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,対象外当事者, 交差点　大　小,カーブ右,交差点内,規制なし,人対車両,01～24歳,35～44歳,原付一種,歩行者,自家用,対象外当事者,損傷なし,負傷,33.98724917,130.9320847,火曜,その他
宇部,0020,負傷,000,002,国道190号,宇部市,2022,01,11,17,56,4夜暮,曇,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　大,直線,交差点内,規制なし,車両相互,55～64歳,25～34歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.95075917,131.2469558,火曜,その他
宇部,0016,負傷,000,001,市道,宇部市,2022,01,11,17,58,4夜暮,曇,市街地,舗装　乾燥,交差点,点滅３灯式,標識　その他,表示なし,標識　規制なし,表示なし,交差点　大　中,直線,交差点内,規制なし,車両相互,55～64歳,65～74歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.95693556,131.2576922,火曜,その他
周南,0014,負傷,000,001,国道２号,周南市,2022,01,11,17,58,4夜暮,曇,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,01～24歳,準中型貨物,軽貨物,事業用,自家用,損傷なし,負傷,34.0678875,131.6665661,火曜,その他
光,0003,負傷,000,001,市道,光市,2022,01,11,18,04,4夜暮,晴,非市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　中　小,直線,交差点内,規制なし,人対車両,35～44歳,01～24歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.99097222,131.9653333,火曜,その他
宇部,0019,負傷,000,001,市道,宇部市,2022,01,11,18,11,4夜暮,雪,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,25～34歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.94825861,131.2637642,火曜,その他
岩国,0022,負傷,000,001,国道188号,岩国市,2022,01,12,01,15,5夜,晴,非市街地,舗装　乾燥,交差点,点灯押ボ式,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　中　小,直線,交差点内,規制なし,人対車両,25～34歳,65～74歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.04138611,132.2135297,水曜,その他
柳井,0002,負傷,000,001,国道437号,周防大島町,2022,01,12,08,03,1昼明,晴,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,75歳以上,軽乗用,軽貨物,自家用,自家用,負傷,損傷なし,33.94783278,132.2100861,水曜,その他
宇部,0021,負傷,000,001,市道,宇部市,2022,01,12,12,03,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　中　中,直線,交差点内,規制なし,車両相互,75歳以上,01～24歳,普通乗用,軽二輪　126～250cc,自家用,自家用,損傷なし,負傷,33.94906139,131.2757197,水曜,その他
山口,0013,負傷,000,002,県道,山口市,2022,01,12,13,43,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,45～54歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.1572825,131.4946456,水曜,その他
小串,0002,負傷,000,002,市道,下関市,2022,01,12,16,20,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m以上,直線,単独（交差点付近を含む）,規制なし,車両単独,25～34歳,不明,普通乗用,物件等,自家用,対象外当事者,負傷,対象外当事者,34.35072222,130.8557778,水曜,その他
下関,0044,負傷,000,001,国道２号,下関市,2022,01,12,18,08,4夜暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,25～34歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.99907667,130.9613769,水曜,その他
