警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
高速隊,0017,死亡,001,002,高速道路,防府市,2019,03,18,19,50,5夜,曇,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,カーブ左,単独（交差点付近を含む）,車両相互,45～54歳,55～64歳,大型貨物,大型貨物,事業用,事業用,負傷,負傷,34.07265111,131.4956806,月曜,その他
光,0029,死亡,001,000,国道188号,光市,2019,03,19,14,45,2昼,晴,非市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　標準　反射式,表示あり,交差点　中　小,直路,交差点内,車両相互,75歳以上,75歳以上,軽貨物,自転車,自家用,対象外当事者,損傷なし,死亡,33.93032,131.9745158,火曜,その他
山口,0084,死亡,001,000,国道９号,山口市,2019,04,16,21,17,5夜,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　大　中,直路,交差点内,人対車両,25～34歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.17171639,131.4544808,火曜,その他
長府,0062,死亡,001,000,国道435号,下関市,2019,04,23,03,00,5夜,曇,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両単独,75歳以上,不明,軽貨物,相手なし,自家用,対象外当事者,死亡,対象外当事者,34.25760639,131.03509,火曜,その他
下関,0185,死亡,001,000,県道,下関市,2019,04,30,04,30,6夜明,雨,市街地,舗装　湿潤,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,車両単独,65～74歳,不明,普通乗用,物件等,自家用,対象外当事者,死亡,対象外当事者,33.94045167,130.9015878,火曜,当日
萩,0024,死亡,001,000,県道,萩市,2019,05,06,13,05,2昼,雨,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,人対車両,65～74歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.43154083,131.4891294,月曜,当日
山口,0121,死亡,001,000,県道,山口市,2019,06,12,22,34,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,人対車両,01～24歳,55～64歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.1600575,131.4574942,水曜,その他
山陽小野田,0058,死亡,001,000,国道190号,山陽小野田市,2019,06,23,12,47,2昼,晴,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,車両単独,75歳以上,不明,普通乗用,物件等,自家用,対象外当事者,損傷なし,対象外当事者,34.02417778,131.1310411,日曜,その他
山陽小野田,0070,死亡,001,000,県道,山陽小野田市,2019,07,19,12,01,2昼,曇,市街地,舗装　湿潤,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　中,直路,交差点内,人対車両,75歳以上,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,33.97376611,131.1769025,金曜,その他
下松,0076,死亡,001,000,市道,下松市,2019,07,26,23,11,5夜,晴,市街地,舗装　乾燥,交差点,点滅３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　中,直路,交差点内,人対車両,25～34歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.00700806,131.87315,金曜,その他
山口南,0094,死亡,001,000,市道,山口市,2019,07,31,21,00,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m未満,直路,単独（交差点付近を含む）,車両単独,65～74歳,不明,自転車,相手なし,対象外当事者,対象外当事者,死亡,対象外当事者,34.07481806,131.4215214,水曜,その他
長門,0017,死亡,001,000,県道,長門市,2019,08,04,13,33,2昼,晴,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,車両相互,65～74歳,35～44歳,軽乗用,軽乗用,自家用,自家用,損傷なし,損傷なし,34.31892806,131.1580947,日曜,その他
宇部,0228,死亡,001,000,県道,宇部市,2019,08,05,09,30,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　中,直路,交差点内,人対車両,55～64歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,33.94931833,131.2464492,月曜,その他
岩国,0179,死亡,001,000,県道,岩国市,2019,08,21,15,42,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　中,直路,交差点内,人対車両,75歳以上,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.09256833,132.0833536,水曜,その他
萩,0043,死亡,001,001,国道315号,萩市,2019,08,22,07,10,2昼,晴,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,車両相互,55～64歳,25～34歳,軽乗用,軽乗用,自家用,自家用,死亡,負傷,34.61819889,131.6134775,木曜,その他
下松,0086,死亡,001,004,国道２号,下松市,2019,08,22,10,54,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,75歳以上,大型貨物,軽貨物,事業用,自家用,死亡,負傷,34.03475583,131.8847328,木曜,その他
柳井,0092,死亡,001,000,市道,柳井市,2019,08,23,22,00,5夜,雨,非市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m以上,直路,単独（交差点付近を含む）,車両単独,75歳以上,不明,自転車,相手なし,対象外当事者,対象外当事者,死亡,対象外当事者,33.98067806,132.0992256,金曜,その他
高速隊,0062,死亡,001,001,高速道路,美祢市,2019,08,28,20,23,5夜,雨,非市街地,舗装　湿潤,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,カーブ右,単独（交差点付近を含む）,車両相互,45～54歳,45～54歳,大型貨物,普通貨物,事業用,自家用,損傷なし,負傷,34.16417639,131.2410939,水曜,その他
岩国,0182,死亡,001,000,県道,岩国市,2019,08,29,16,42,2昼,雨,市街地,舗装　湿潤,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,車両相互,45～54歳,75歳以上,軽貨物,自転車,自家用,対象外当事者,損傷なし,死亡,34.1733675,132.2276569,木曜,その他
山口,0179,死亡,001,000,国道９号,山口市,2019,09,08,07,38,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　標準　反射式,表示あり,交差点　大　小,直路,交差点内,車両相互,35～44歳,75歳以上,普通乗用,自転車,自家用,対象外当事者,損傷なし,死亡,34.16112028,131.4400336,日曜,その他
周南,0232,死亡,001,000,国道２号,周南市,2019,09,15,20,26,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,人対車両,75歳以上,65～74歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.08060389,131.7163842,日曜,前日
柳井,0104,死亡,001,000,国道188号,柳井市,2019,09,24,11,11,2昼,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,75歳以上,75歳以上,軽乗用,軽乗用,自家用,自家用,損傷なし,損傷なし,33.96360389,132.1807589,火曜,その他
下関,0414,死亡,001,000,県道,下関市,2019,10,07,03,10,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,人対車両,65～74歳,01～24歳,準中型貨物,歩行者,自家用,対象外当事者,損傷なし,死亡,34.01455861,130.9535522,月曜,その他
山口,0200,死亡,001,000,市道,山口市,2019,10,18,18,13,4夜暮,雨,市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,人対車両,25～34歳,55～64歳,軽貨物,歩行者,自家用,対象外当事者,損傷なし,死亡,34.16289917,131.4693919,金曜,その他
宇部,0298,死亡,001,000,国道２号,宇部市,2019,10,26,05,35,6夜明,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,65～74歳,中型貨物,軽乗用,事業用,自家用,損傷なし,死亡,34.05629194,131.3183081,土曜,その他
山口,0210,死亡,001,000,市道,山口市,2019,10,28,14,27,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m未満,直路,単独（交差点付近を含む）,車両単独,75歳以上,不明,軽車両その他,相手なし,対象外当事者,対象外当事者,死亡,対象外当事者,34.48917972,131.6637772,月曜,その他
防府,0251,死亡,001,000,県道,防府市,2019,11,10,17,41,4夜暮,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　小,直路,交差点内,人対車両,01～24歳,75歳以上,小型二輪　251～400cc,歩行者,自家用,対象外当事者,損傷なし,死亡,34.06859889,131.5485464,日曜,その他
下関,0458,死亡,001,000,国道191号,下関市,2019,11,17,05,25,5夜,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　大　小,直路,交差点内,人対車両,75歳以上,75歳以上,普通乗用,歩行者,事業用,対象外当事者,損傷なし,死亡,33.96442917,130.918215,日曜,その他
宇部,0338,死亡,001,000,市道,宇部市,2019,11,30,16,15,3昼暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,人対車両,65～74歳,75歳以上,軽貨物,歩行者,自家用,対象外当事者,損傷なし,死亡,33.94064333,131.2652236,土曜,その他
長門,0028,死亡,001,000,市道,長門市,2019,12,07,21,00,5夜,曇,非市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　小,直路,交差点内,車両単独,65～74歳,不明,駆動補助装置付自転車,相手なし,対象外当事者,対象外当事者,死亡,対象外当事者,34.39372583,131.1030544,土曜,その他
高速隊,0087,死亡,001,000,高速道路,下関市,2019,12,14,19,00,5夜,曇,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,カーブ右,単独（交差点付近を含む）,人対車両,45～54歳,65～74歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.05009611,131.00411,土曜,その他
周南,0309,死亡,002,002,国道２号,周南市,2019,12,16,14,01,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,75歳以上,中型貨物,軽乗用,自家用,自家用,損傷なし,死亡,34.07624389,131.6854597,月曜,その他
防府,0289,死亡,001,000,市道,防府市,2019,12,22,18,21,5夜,雨,市街地,舗装　湿潤,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　中,直路,交差点内,人対車両,01～24歳,65～74歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.05641417,131.5752789,日曜,その他
山口南,0133,死亡,001,000,市道,山口市,2019,12,26,07,04,6夜明,雨,非市街地,舗装　湿潤,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　小,直路,交差点内,車両単独,75歳以上,不明,軽乗用,物件等,自家用,対象外当事者,死亡,対象外当事者,34.090125,131.4248744,木曜,その他
