警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
長門,0012,死亡,001,000,国道191号,長門市,2022,05,24,10,09,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　中　小,直線,交差点内,規制なし,人対車両,75歳以上,65～74歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.38370806,131.1071831,火曜,その他
高速隊,0015,死亡,001,001,高速道路,山口市,2022,05,27,03,45,5夜,曇,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　13.0m以上,カーブ右,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,45～54歳,大型貨物,準中型貨物,事業用,自家用,負傷,死亡,34.13263,131.4274381,金曜,その他
山口南,0032,死亡,001,000,県道,山口市,2022,06,08,13,49,2昼,晴,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,35～44歳,準中型貨物,原付二種　51～125cc,自家用,自家用,損傷なし,死亡,34.02936222,131.3327503,水曜,その他
萩,0030,死亡,001,002,国道191号,萩市,2022,06,17,12,25,2昼,晴,市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,65～74歳,普通乗用,軽乗用,自家用,自家用,負傷,死亡,34.44131639,131.4227617,金曜,その他
高速隊,0022,死亡,001,001,高速道路,岩国市,2022,07,07,04,01,5夜,曇,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　13.0m以上,カーブ左,単独（交差点付近を含む）,規制なし,車両単独,35～44歳,不明,大型貨物,物件等,事業用,対象外当事者,負傷,対象外当事者,34.22097528,132.1995217,木曜,その他
長府,0085,死亡,001,000,市道,下関市,2022,08,03,15,53,2昼,晴,非市街地,非舗装,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,カーブ左,単独（交差点付近を含む）,規制なし,車両単独,75歳以上,不明,小型特殊その他,相手なし,対象外当事者,対象外当事者,死亡,対象外当事者,34.0935475,131.0672922,水曜,その他
高速隊,0029,死亡,001,002,高速道路,山口市,2022,08,16,13,37,2昼,曇,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　13.0m以上,カーブ右,単独（交差点付近を含む）,規制なし,車両単独,35～44歳,不明,普通貨物,物件等,自家用,対象外当事者,負傷,対象外当事者,34.12950222,131.4362822,火曜,その他
柳井,0066,死亡,001,004,県道,柳井市,2022,08,23,14,08,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,35～44歳,普通乗用,普通乗用,自家用,自家用,負傷,負傷,34.01905222,132.1042456,火曜,その他
長門,0032,死亡,001,000,市道,長門市,2022,09,14,08,23,2昼,曇,市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,規制なし,車両単独,45～54歳,不明,軽乗用,物件等,自家用,対象外当事者,死亡,対象外当事者,34.40723,130.9593258,水曜,その他
周南,0146,死亡,001,000,市道,周南市,2022,09,30,18,28,4夜暮,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　中　小,直線,交差点内,規制なし,人対車両,55～64歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.06286639,131.8284761,金曜,その他
小串,0018,死亡,001,000,県道,下関市,2022,10,08,14,15,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両単独,75歳以上,不明,軽貨物,物件等,自家用,対象外当事者,死亡,対象外当事者,34.25299444,130.9168356,土曜,その他
長門,0033,死亡,001,000,市道,長門市,2022,10,10,19,00,5夜,曇,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直線,単独（交差点付近を含む）,規制なし,車両単独,55～64歳,不明,軽乗用,相手なし,自家用,対象外当事者,死亡,対象外当事者,34.40576778,131.0157492,月曜,当日
長門,0034,死亡,001,000,県道,長門市,2022,10,12,13,05,2昼,晴,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,55～64歳,大型貨物,軽二輪　126～250cc,事業用,自家用,損傷なし,死亡,34.26565611,131.1194444,水曜,その他
長府,0104,死亡,001,000,国道491号,下関市,2022,10,25,05,41,6夜明,雨,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　13.0m以上,直線,単独（交差点付近を含む）,規制なし,人対車両,35～44歳,75歳以上,大型貨物,歩行者,事業用,対象外当事者,損傷なし,死亡,34.07317,131.0374981,火曜,その他
防府,0162,死亡,001,000,県道,防府市,2022,10,30,21,00,5夜,晴,市街地,舗装　乾燥,交差点付近,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両単独,75歳以上,不明,自転車,相手なし,自転車,対象外当事者,死亡,対象外当事者,34.06926222,131.5496172,日曜,その他
下関,0269,死亡,001,000,市道,下関市,2022,10,31,06,05,6夜明,晴,市街地,舗装　乾燥,交差点,点灯押ボ式,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　中　中,直線,交差点内,規制なし,人対車両,75歳以上,65～74歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.00467139,130.9474775,月曜,その他
光,0080,死亡,001,000,県道,周南市,2022,11,13,17,19,4夜暮,晴,非市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直線,交差点内,規制なし,車両相互,25～34歳,75歳以上,普通乗用,駆動補助装置付自転車,自家用,自転車,損傷なし,死亡,34.04381917,131.9972489,日曜,その他
長府,0109,死亡,001,000,国道２号,下関市,2022,11,25,20,47,5夜,曇,市街地,舗装　乾燥,交差点,点灯押ボ式,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　大　小,直線,交差点内,規制なし,人対車両,01～24歳,01～24歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.02477528,131.0063319,金曜,その他
小串,0025,死亡,001,000,一般の交通の用に供するその他の道路,下関市,2022,12,07,14,28,2昼,晴,非市街地,舗装　乾燥,その他,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,一般交通の場所,一般交通の場所,単独（交差点付近を含む）,規制なし,車両単独,75歳以上,不明,軽乗用,物件等,自家用,対象外当事者,死亡,対象外当事者,34.21362694,130.9499072,水曜,その他
山口南,0074,死亡,001,001,県道,山口市,2022,12,09,14,28,2昼,晴,市街地,舗装　乾燥,交差点付近,点灯押ボ式,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,75歳以上,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.07490639,131.3771142,金曜,その他
