どんな場所ですか？,誰に教えたいですか？,どんなことを伝える情報ですか？,どれくらい伝えたい情報ですか？,経度,緯度,画像
【交通】危険な場所,子ども,車の交通量が多いから、横に広がらないで歩く。,絶対に伝えたい,131.832745,34.04759935,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_020.jpeg
【交通】危険な場所,地域のみんな,自動車がよく通るから左右をよく見てください。,絶対に伝えたい,131.8314234,34.0481808,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_023.jpeg
【交通】危険な場所,地域のみんな,道が狭くて、自転車もとおるから危険。,絶対に伝えたい,131.833156,34.04796191,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_024.jpeg
【交通】危険な場所,子ども,車がよく通るので、車がきていないかをよく確認した方が良い。,絶対に伝えたい,131.8335412,34.04832705,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_027.jpeg
【交通】危険な場所,地域のみんな,段差があるから人にも車にも気をつけてください。,伝えたい,131.8301275,34.04524313,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_029.jpeg
【交通】危険な場所,お年寄り,車が止まっている時は、車に注意して通るとよい。,伝えたい,131.8360883,34.04797042,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_032.jpeg
【交通】危険な場所,大人,曲がり角だからとおってる人が見えなくて、事故が起きる。,絶対に伝えたい,131.8243463,34.05028801,
【交通】危険な場所,地域のみんな,壁が近くにあって、車が見えにくい。,伝えたい,131.8347306,34.04853175,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_036.jpeg
【交通】危険な場所,子ども,急に車が飛び出して来るので注意してください。,伝えたい,131.8316948,34.04666493,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_046.jpeg
【交通】危険な場所,地域のみんな,車の通りが多いので通る時は信号をよく見て渡りましょう。,絶対に伝えたい,131.8318206,34.04790639,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_047.jpeg
【交通】危険な場所,子ども,みとうしが悪くて、車が見えにくく、夜は街灯が少なくて車が見えにくいからよく見て通る。,伝えたい,131.8362135,34.04975523,
【交通】危険な場所,子ども,曲がり角なので、車や子供が飛び出すと、とても危険です。また、車の通りも少なくないので、周りを見て通って下さい。,伝えたい,131.8243108,34.05137624,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_049.jpeg
【交通】危険な場所,地域のみんな,車の出入りが多いからよく気をつけて渡って下さい。,伝えたい,131.8318954,34.04679715,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_052.jpeg
【交通】危険な場所,地域のみんな,車の出入りが多いので、周囲を確認しましょう。,伝えたい,131.8309135,34.04845795,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_054.jpeg
【交通】危険な場所,地域のみんな,車の出入りが多いから左右をよく見て車に気をつける,絶対に伝えたい,131.8326986,34.04772438,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_057.jpeg
【交通】危険な場所,子ども,車が通るし、歩道がせまいので1列になって歩きましょう。,伝えたい,131.8304277,34.04816398,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_059.jpeg
【交通】危険な場所,地域のみんな,道が狭く、歩道がないので、通る時は車に注意して下さい。,伝えたい,131.8250201,34.04968634,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_062.jpeg
【交通】危険な場所,地域のみんな,道が狭いから通る時は自転車に気をつけて歩く,絶対に伝えたい,131.8327763,34.04765326,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_065.jpeg
【交通】危険な場所,地域のみんな,車がたくさん通るから渡る時には､よく見て通ってください。,絶対に伝えたい,131.8325641,34.04743992,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_067.jpeg
【交通】危険な場所,子ども,横断歩道が無いので、左右に気を付けて渡りましょう。,伝えたい,131.8290233,34.04590895,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_069.jpeg
【交通】危険な場所,地域のみんな,車の出入りが多いから通る時は気をつけてください。,伝えたい,131.8310764,34.04854042,
【交通】危険な場所,子ども,車が多くて、スピードが速いからかべぎわを歩く。,伝えたい,131.8328901,34.04987035,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_073.jpeg
【交通】危険な場所,子ども,道幅が狭いので一列で歩きましょう。,伝えたい,131.8293212,34.04918151,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_074.jpeg
【交通】危険な場所,地域のみんな,車の出入りが多くて危険なので車をよく見てわたりましょう,伝えたい,131.8342979,34.04878805,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_077.jpeg
【交通】危険な場所,地域のみんな,車のスピードが速くて交通量が多いから、しっかり車がきていないかをよく確認した方がよい。,絶対に伝えたい,131.8327063,34.05032563,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_079.jpeg
【交通】危険な場所,子ども,横断歩道が無いのでわたる時は、左右をみて渡りましょう。,伝えたい,131.8273721,34.04889818,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_080.jpeg
【交通】危険な場所,子ども,家で車が見えなくて、歩道がわかれてない。,伝えたい,131.8319994,34.04875328,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_081.jpeg
【交通】危険な場所,地域のみんな,横断歩道がなくて車がよく通っていて危ないからよく見て渡ってください。,伝えたい,131.8284116,34.04830053,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_082.jpeg
【交通】危険な場所,地域のみんな,夜は暗くなるのでなるべく一人で歩かないようにしましょう,絶対に伝えたい,131.8362474,34.04975764,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_086.jpeg
【交通】危険な場所,地域のみんな,道幅が狭く、大きい車などがよく通るから気をつけて渡ってください。,絶対に伝えたい,131.8290119,34.04906896,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_089.jpeg
【交通】危険な場所,地域のみんな,カーブになっているのでよく見て渡りましょう。,絶対に伝えたい,131.8331015,34.05007138,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_093.jpeg
【交通】危険な場所,地域のみんな,車の出入りが多いので左右をよく見て渡りましょう。,伝えたい,131.8327712,34.05041104,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_096.jpeg
【交通】危険な場所,地域のみんな,大谷公園の前の道に横断歩道が無いから､危ないので通るときは気をつけてください。,絶対に伝えたい,131.8272334,34.04899007,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_098.jpeg
