都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
352012,0000000012,山口県,下関市,安岡公民館,ヤスオカコウミンカン,,1307,山口県下関市安岡駅前二丁目7番1号,,,,083-258-4792,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000013,山口県,下関市,吉見公民館,ヨシミコウミンカン,,1307,山口県下関市大字吉見下1533番地,,,,083-286-2121,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000014,山口県,下関市,吉母公民館,ヨシモコウミンカン,,1307,山口県下関市大字吉母401番地24,,,,083-286-6226,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;入口スロープ有り,,
352012,0000000015,山口県,下関市,北部公民館,ホクブコウミンカン,,1307,山口県下関市山の田東町4番13号,,,,083-253-3371,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000016,山口県,下関市,西部公民館,セイブコウミンカン,,1307,山口県下関市伊崎町一丁目4番30号,,,,083-231-6587,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000017,山口県,下関市,玄洋公民館,ゲンヨウコウミンカン,,1307,山口県下関市彦島西山町四丁目1番28号,,,,083-266-5455,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;入口スロープ有り,,
352012,0000000018,山口県,下関市,長府東公民館,チョウフヒガシコウミンカン,,1307,山口県下関市長府松小田本町4番15号,,,,083-246-1266,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000019,山口県,下関市,楢崎公民館,ナラザキコウミンカン,,1307,山口県下関市菊川町大字楢崎790番地1,,,,,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,,入口スロープ有り,,"問合せ先：菊川教育支所
（℡　083-287-4026）"
352012,0000000020,山口県,下関市,殿居公民館,トノイコウミンカン,,1307,山口県下関市豊田町大字殿居1039番地2,,,,083-768-0556,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,,,
352012,0000000021,山口県,下関市,豊田中公民館,トヨタナカコウミンカン,,1307,山口県下関市豊田町大字八道2544番地1,,,,083-766-2361,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;入口スロープ有り,,
352012,0000000022,山口県,下関市,三豊公民館,サンポウコウミンカン,,1307,山口県下関市豊田町大字地吉122番地,,,,083-766-3551,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;入口スロープ有り,,
352012,0000000023,山口県,下関市,西市公民館,ニシイチコウミンカン,,1307,山口県下関市豊田町大字矢田153番地1,,,,083-766-3511,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000024,山口県,下関市,豊田下公民館,トヨタシモコウミンカン,,1307,山口県下関市豊田町大字手洗285番地1,,,,083-766-2556,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,入口スロープ有り,,
352012,0000000025,山口県,下関市,小串公民館,コグシコウミンカン,,1307,山口県下関市豊浦町大字小串2207番地1,,,,083-772-2001,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;入口スロープ有り,,
352012,0000000026,山口県,下関市,川棚公民館,カワタナコウミンカン,,1307,山口県下関市豊浦町大字川棚6167番地2,,,,083-772-2120,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000027,山口県,下関市,黒井公民館,クロイコウミンカン,,1307,山口県下関市豊浦町大字黒井2345番地1,,,,083-775-4182,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,,,
352012,0000000028,山口県,下関市,室津公民館,ムロツコウミンカン,,1307,山口県下関市豊浦町大字室津下681番地3,,,,083-772-0055,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,入口スロープ有り,,
352012,0000000029,山口県,下関市,神玉公民館,カミタマコウミンカン,,1307,山口県下関市豊北町大字神田上2709番地,,,,083-788-1043,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;入口スロープ有り,,
352012,0000000030,山口県,下関市,角島公民館(角島開発総合センター),ツノシマコウミンカン（ツノシマカイハツソウゴウセンター）,,1307,山口県下関市豊北町大字角島1413番地1,,,,083-786-0734,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;入口スロープ有り,,
352012,0000000031,山口県,下関市,阿川公民館,アガワコウミンカン,,1307,山口県下関市豊北町大字阿川3752番地,,,,083-786-1010,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;入口スロープ有り,,
352012,0000000032,山口県,下関市,粟野公民館,アワノコウミンカン,,1307,山口県下関市豊北町大字粟野3333番地2,,,,083-785-0001,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,身障者トイレ有り,,
352012,0000000033,山口県,下関市,田耕公民館,タスキコウミンカン,,1307,山口県下関市豊北町大字田耕4332番地,,,,083-783-0722,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;入口スロープ有り,,ＡＥＤ・入口スロープ・多目的トイレは隣接する田耕農林漁家婦人活動促進センターにあり
352012,0000000034,山口県,下関市,滝部公民館（滝部活動拠点施設・太陽館）,タキベコウミンカン（タキベカツドウキョテンシセツ・タイヨウカン）,,1307,山口県下関市豊北町大字滝部3397番地12,,,,083-782-1296,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
