教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,教育機関_緯度,教育機関_経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード
B135210000624,C1,35,2,,,,,山口市立名田島小学校,ヤマグチシリツナタジマショウガッコウ,,山口市,名田島,1538ｰ2,7540892,34.076546,131.415234,,(083)972-0711,,,,
B135210002515,C1,35,2,,,,,山口市立上郷小学校,ヤマグチシリツカミゴウショウガッコウ,,山口市,小郡みらい町二丁目,14ｰ1,7540032,34.12159,131.398292,,(083)973-3120,,,,
B135210002506,C1,35,2,,,,,山口市立小郡小学校,ヤマグチシリツオゴオリショウガッコウ,,山口市,小郡下郷,254ｰ3,7540002,34.106628,131.400202,,(083)973-0408,,,,
B135210002524,C1,35,2,,,,,山口市立小郡南小学校,ヤマグチシリツオゴオリミナミショウガッコウ,,山口市,小郡緑町,1ｰ1,7540013,34.090552,131.399955,,(083)973-2521,,,,
B135210002490,C1,35,2,,,,,山口市立大海小学校,ヤマグチシリツオオミショウガッコウ,,山口市,秋穂東,2299,7541101,34.02136,131.463278,,(083)984-2253,,,,
B135210002463,C1,35,2,,,,,山口市立八坂小学校,ヤマグチシリツヤサカショウガッコウ,,山口市,徳地八坂,1226,7470344,34.237994,131.657875,,(0835)56-0324,,,,
B135210002445,C1,35,2,,,,,山口市立島地小学校,ヤマグチシリツシマジショウガッコウ,,山口市,徳地島地,16,7470522,34.158833,131.70027,,(0835)54-0101,,,,
B135210002935,C1,35,2,,,,,山口市立徳佐小学校,ヤマグチシリツトクサショウガッコウ,,山口市,阿東徳佐中,3292,7591512,34.396442,131.724601,,(083)956-0024,,,,
B135210000544,C1,35,2,,,,,山口市立宮野小学校,ヤマグチシリツミヤノショウガッコウ,,山口市,宮野下,3017,7530011,34.199936,131.506499,,(083)928-0244,,,,
B135210000615,C1,35,2,,,,,山口市立陶小学校,ヤマグチシリツスエショウガッコウ,,山口市,陶,3544,7540891,34.090229,131.429935,,(083)972-0703,,,,
B135210000660,C1,35,2,,,,,山口市立佐山小学校,ヤマグチシリツサヤマショウガッコウ,,山口市,佐山,2731,7540894,34.036366,131.360595,,(083)989-3020,,,,
B135210000642,C1,35,2,,,,,山口市立嘉川小学校,ヤマグチシリツカガワショウガッコウ,,山口市,嘉川,4986,7540897,34.076232,131.375677,,(083)989-2206,,,,
B135210000651,C1,35,2,,,,,山口市立興進小学校,ヤマグチシリツコウシンショウガッコウ,,山口市,江崎,2284,7540896,34.057522,131.36997,,(083)989-2513,,,,
B135210002917,C1,35,2,,,,,山口市立生雲小学校,ヤマグチシリツイクモショウガッコウ,,山口市,阿東生雲中,319,7591342,34.384875,131.599958,,(083)954-0109,,,,
B135210002926,C1,35,2,,,,,山口市立さくら小学校,ヤマグチシリツサクラショウガッコウ,,山口市,阿東地福下,1234ｰ1,7591422,34.358403,131.661338,,(083)952-0304,,,,
C135210000294,C2,35,2,,,,,山口市立宮野中学校,ヤマグチシリツミヤノチュウガッコウ,,山口市,桜畠四丁目,9ｰ1,7530021,34.197557,131.501238,,(083)928-0144,,,,
C135210000383,C2,35,2,,,,,山口市立大内中学校,ヤマグチシリツオオウチチュウガッコウ,,山口市,大内長野,555,7530211,34.154453,131.521134,,(083)927-0024,,,,
C135210000338,C2,35,2,,,,,山口市立鴻南中学校,ヤマグチシリツコウナンチュウガッコウ,,山口市,維新公園四丁目,7ｰ1,7530815,34.15402,131.434402,,(083)922-2475,,,,
C135210000329,C2,35,2,,,,,山口市立湯田中学校,ヤマグチシリツユダチュウガッコウ,,山口市,楠木町,7ｰ1,7530065,34.171797,131.452237,,(083)922-1189,,,,
C135210001300,C2,35,2,,,,,山口市立小郡中学校,ヤマグチシリツオゴオリチュウガッコウ,,山口市,小郡下郷,879ｰ1,7540002,34.106032,131.398164,,(083)973-0508,,,,
C135210001480,C2,35,2,,,,,山口市立阿東中学校,ヤマグチシリツアトウチュウガッコウ,,山口市,阿東地福上,1874,7591421,34.360392,131.665425,,(083)952-0318,,,,
C135210000301,C2,35,2,,,,,山口市立大殿中学校,ヤマグチシリツオオドノチュウガッコウ,,山口市,古熊一丁目,4ｰ1,7530031,34.177134,131.484318,,(083)922-0688,,,,
C135210000374,C2,35,2,,,,,山口市立仁保中学校,ヤマグチシリツニホチュウガッコウ,,山口市,仁保中郷,84,7530302,34.215495,131.558361,,(083)929-0028,,,,
C135210001499,C2,35,2,,,,,山口市立阿東東中学校,ヤマグチシリツアトウヒガシチュウガッコウ,,山口市,阿東徳佐中,3288ｰ1,7591512,34.395831,131.725368,,(083)956-0039,,,,
C135210000356,C2,35,2,,,,,山口市立川西中学校,ヤマグチシリツカワニシチュウガッコウ,,山口市,嘉川,4352ｰ2,7540897,34.067917,131.367745,,(083)989-2209,,,,
C135210000392,C2,35,2,,,,,山口市立平川中学校,ヤマグチシリツヒラカワチュウガッコウ,,山口市,黒川,1231ｰ1,7530851,34.139698,131.457283,,(083)924-7700,,,,
C135210000562,C2,35,2,,,,,山口市立白石中学校,ヤマグチシリツシライシチュウガッコウ,,山口市,白石二丁目,7ｰ1,7530070,34.176595,131.469032,,(083)922-0387,,,,
C135210000409,C2,35,2,,,,,山口市立大内中学校氷上分校,ヤマグチシリツオオウチチュウガッコウヒカミブンコウ,,山口市,大内氷上七丁目,5ｰ1,7530231,34.161421,131.507169,,(083)927-3736,,,,
C135210001284,C2,35,2,,,,,山口市立徳地中学校,ヤマグチシリツトクヂチュウガッコウ,,山口市,徳地堀,1606ｰ1,7470231,34.191097,131.65919,,(0835)52-0039,,,,
C135210001319,C2,35,2,,,,,山口市立阿知須中学校,ヤマグチシリツアジスチュウガッコウ,,山口市,阿知須,5094ｰ3,7541277,34.013395,131.353544,,(0836)65-2074,,,,
C135210000347,C2,35,2,,,,,山口市立二島中学校,ヤマグチシリツフタジマチュウガッコウ,,山口市,秋穂二島,10558ｰ1,7540893,34.040859,131.42463,,(083)987-2007,,,,
C135210000365,C2,35,2,,,,,山口市立潟上中学校,タマグチシリツカタガミチュウガッコウ,,山口市,陶,1912,7540891,34.079224,131.432228,,(083)986-2011,,,,
C135210001293,C2,35,2,,,,,山口市立秋穂中学校,ヤマグチシリツアイオチュウガッコウ,,山口市,秋穂東,10615ｰ1,7541101,34.01451,131.440942,,(083)984-2114,,,,
